section,label,class,n,win,win_rate_pct,invest,return,roi_pct
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,全体,1123,114,10.15,11400,527450,4626.75
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,2勝×ダ,197,28,14.21,2800,100900,3603.57
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,2勝×芝,223,29,13.0,2900,55340,1908.28
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,3勝×ダ,110,10,9.09,1000,116550,11655.0
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,3勝×芝,176,17,9.66,1700,47010,2765.29
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,OP×ダ,79,9,11.39,900,43120,4791.11
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,OP×芝,88,5,5.68,500,74940,14988.0
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,重賞×ダ,24,2,8.33,200,5440,2720.0
Step2_agari_diff_win_rate,0.0〜0.3（最速級）,重賞×芝,226,14,6.19,1400,84150,6010.71
Step2_agari_diff_win_rate,0.0〜0.5（上位）,全体,770,60,7.79,6000,412660,6877.67
Step2_agari_diff_win_rate,0.0〜0.5（上位）,2勝×ダ,147,10,6.8,1000,43120,4312.0
Step2_agari_diff_win_rate,0.0〜0.5（上位）,2勝×芝,185,21,11.35,2100,185510,8833.81
Step2_agari_diff_win_rate,0.0〜0.5（上位）,3勝×ダ,81,7,8.64,700,61670,8810.0
Step2_agari_diff_win_rate,0.0〜0.5（上位）,3勝×芝,120,5,4.17,500,9080,1816.0
Step2_agari_diff_win_rate,0.0〜0.5（上位）,OP×ダ,50,5,10.0,500,6360,1272.0
Step2_agari_diff_win_rate,0.0〜0.5（上位）,OP×芝,57,5,8.77,500,43430,8686.0
Step2_agari_diff_win_rate,0.0〜0.5（上位）,重賞×ダ,11,2,18.18,200,14240,7120.0
Step2_agari_diff_win_rate,0.0〜0.5（上位）,重賞×芝,119,5,4.2,500,49250,9850.0
Step2_agari_diff_win_rate,0.5〜1.0（中位）,全体,1732,101,5.83,10100,696770,6898.71
Step2_agari_diff_win_rate,0.5〜1.0（中位）,2勝×ダ,377,24,6.37,2400,100130,4172.08
Step2_agari_diff_win_rate,0.5〜1.0（中位）,2勝×芝,361,20,5.54,2000,103660,5183.0
Step2_agari_diff_win_rate,0.5〜1.0（中位）,3勝×ダ,203,11,5.42,1100,81540,7412.73
Step2_agari_diff_win_rate,0.5〜1.0（中位）,3勝×芝,288,18,6.25,1800,167380,9298.89
