segment,馬券種,n,的中数,的中率,総投資額,総回収額,ROI
全体,単勝,330,69,20.9,33000,28910,87.6
全体,複勝,330,156,47.3,33000,27610,83.7
全体,馬連1-2,303,28,9.2,30300,41190,135.9
全体,馬連1-3,303,24,7.9,30300,42010,138.6
全体,馬連3点BOX,303,63,20.8,90900,104100,114.5
全体,三連複1-2-3,266,10,3.8,26600,18210,68.5
全体,三連複1軸×2-3-4-5,266,41,15.4,106400,128100,120.4
全体,三連複4頭BOX,266,24,9.0,106400,77560,72.9
全体,三連複5頭BOX,266,55,20.7,266000,208810,78.5
全体,三連複6頭BOX,266,81,30.5,532000,326970,61.5
3勝クラス×芝,単勝,38,8,21.1,3800,4600,121.1
3勝クラス×芝,複勝,38,16,42.1,3800,2980,78.4
3勝クラス×芝,馬連1-2,36,3,8.3,3600,12220,339.4
3勝クラス×芝,馬連1-3,36,4,11.1,3600,3660,101.7
3勝クラス×芝,馬連3点BOX,36,7,19.4,10800,15880,147.0
3勝クラス×芝,三連複1-2-3,28,1,3.6,2800,780,27.9
3勝クラス×芝,三連複1軸×2-3-4-5,28,3,10.7,11200,7730,69.0
3勝クラス×芝,三連複4頭BOX,28,2,7.1,11200,3720,33.2
3勝クラス×芝,三連複5頭BOX,28,6,21.4,28000,18120,64.7
3勝クラス×芝,三連複6頭BOX,28,10,35.7,56000,59760,106.7
3勝クラス×ダ,単勝,43,11,25.6,4300,4540,105.6
3勝クラス×ダ,複勝,43,25,58.1,4300,4810,111.9
3勝クラス×ダ,馬連1-2,43,4,9.3,4300,2180,50.7
3勝クラス×ダ,馬連1-3,43,3,7.0,4300,10500,244.2
3勝クラス×ダ,馬連3点BOX,43,9,20.9,12900,15680,121.6
3勝クラス×ダ,三連複1-2-3,40,1,2.5,4000,1200,30.0
3勝クラス×ダ,三連複1軸×2-3-4-5,40,5,12.5,16000,14530,90.8
3勝クラス×ダ,三連複4頭BOX,40,5,12.5,16000,8050,50.3
3勝クラス×ダ,三連複5頭BOX,40,8,20.0,40000,19270,48.2
3勝クラス×ダ,三連複6頭BOX,40,14,35.0,80000,38780,48.5
OP×芝,単勝,36,7,19.4,3600,2090,58.1
OP×芝,複勝,36,16,44.4,3600,2290,63.6
OP×芝,馬連1-2,32,2,6.2,3200,2840,88.8
OP×芝,馬連1-3,32,2,6.2,3200,1590,49.7
OP×芝,馬連3点BOX,32,6,18.8,9600,13470,140.3
OP×芝,三連複1-2-3,28,0,0.0,2800,0,0.0
OP×芝,三連複1軸×2-3-4-5,28,7,25.0,11200,41570,371.2
OP×芝,三連複4頭BOX,28,4,14.3,11200,41250,368.3
OP×芝,三連複5頭BOX,28,9,32.1,28000,81250,290.2
OP×芝,三連複6頭BOX,28,11,39.3,56000,84690,151.2
OP×ダ,単勝,29,5,17.2,2900,5280,182.1
OP×ダ,複勝,29,11,37.9,2900,2450,84.5
OP×ダ,馬連1-2,26,5,19.2,2600,14100,542.3
OP×ダ,馬連1-3,26,1,3.8,2600,8300,319.2
OP×ダ,馬連3点BOX,26,7,26.9,7800,23300,298.7
OP×ダ,三連複1-2-3,21,1,4.8,2100,1410,67.1
OP×ダ,三連複1軸×2-3-4-5,21,4,19.0,8400,16880,201.0
OP×ダ,三連複4頭BOX,21,1,4.8,8400,1410,16.8
OP×ダ,三連複5頭BOX,21,4,19.0,21000,16880,80.4
OP×ダ,三連複6頭BOX,21,4,19.0,42000,16880,40.2
重賞×芝,単勝,35,5,14.3,3500,1950,55.7
重賞×芝,複勝,35,15,42.9,3500,2760,78.9
重賞×芝,馬連1-2,32,1,3.1,3200,1550,48.4
重賞×芝,馬連1-3,32,2,6.2,3200,5260,164.4
重賞×芝,馬連3点BOX,32,4,12.5,9600,7990,83.2
重賞×芝,三連複1-2-3,29,0,0.0,2900,0,0.0
重賞×芝,三連複1軸×2-3-4-5,29,3,10.3,11600,3370,29.1
重賞×芝,三連複4頭BOX,29,1,3.4,11600,420,3.6
重賞×芝,三連複5頭BOX,29,4,13.8,29000,4820,16.6
重賞×芝,三連複6頭BOX,29,5,17.2,58000,6310,10.9
重賞×ダ,単勝,7,2,28.6,700,620,88.6
重賞×ダ,複勝,7,4,57.1,700,890,127.1
重賞×ダ,馬連1-2,7,1,14.3,700,300,42.9
重賞×ダ,馬連1-3,7,1,14.3,700,2290,327.1
重賞×ダ,馬連3点BOX,7,2,28.6,2100,2590,123.3
重賞×ダ,三連複1-2-3,7,1,14.3,700,860,122.9
重賞×ダ,三連複1軸×2-3-4-5,7,1,14.3,2800,860,30.7
重賞×ダ,三連複4頭BOX,7,1,14.3,2800,860,30.7
重賞×ダ,三連複5頭BOX,7,1,14.3,7000,860,12.3
重賞×ダ,三連複6頭BOX,7,1,14.3,14000,860,6.1
2勝クラス×芝,単勝,75,19,25.3,7500,5820,77.6
2勝クラス×芝,複勝,75,42,56.0,7500,6930,92.4
2勝クラス×芝,馬連1-2,65,5,7.7,6500,2360,36.3
2勝クラス×芝,馬連1-3,65,7,10.8,6500,7060,108.6
2勝クラス×芝,馬連3点BOX,65,17,26.2,19500,16200,83.1
2勝クラス×芝,三連複1-2-3,55,3,5.5,5500,7300,132.7
2勝クラス×芝,三連複1軸×2-3-4-5,55,11,20.0,22000,20220,91.9
2勝クラス×芝,三連複4頭BOX,55,7,12.7,22000,15190,69.0
2勝クラス×芝,三連複5頭BOX,55,14,25.5,55000,33940,61.7
2勝クラス×芝,三連複6頭BOX,55,20,36.4,110000,48680,44.3
2勝クラス×ダ,単勝,67,12,17.9,6700,4010,59.9
2勝クラス×ダ,複勝,67,27,40.3,6700,4500,67.2
2勝クラス×ダ,馬連1-2,62,7,11.3,6200,5640,91.0
2勝クラス×ダ,馬連1-3,62,4,6.5,6200,3350,54.0
2勝クラス×ダ,馬連3点BOX,62,11,17.7,18600,8990,48.3
2勝クラス×ダ,三連複1-2-3,58,3,5.2,5800,6660,114.8
2勝クラス×ダ,三連複1軸×2-3-4-5,58,7,12.1,23200,22940,98.9
2勝クラス×ダ,三連複4頭BOX,58,3,5.2,23200,6660,28.7
2勝クラス×ダ,三連複5頭BOX,58,9,15.5,58000,33670,58.1
2勝クラス×ダ,三連複6頭BOX,58,16,27.6,116000,71010,61.2
3勝クラス,単勝,81,19,23.5,8100,9140,112.8
3勝クラス,複勝,81,41,50.6,8100,7790,96.2
3勝クラス,馬連1-2,79,7,8.9,7900,14400,182.3
3勝クラス,馬連1-3,79,7,8.9,7900,14160,179.2
3勝クラス,馬連3点BOX,79,16,20.3,23700,31560,133.2
3勝クラス,三連複1-2-3,68,2,2.9,6800,1980,29.1
3勝クラス,三連複1軸×2-3-4-5,68,8,11.8,27200,22260,81.8
3勝クラス,三連複4頭BOX,68,7,10.3,27200,11770,43.3
3勝クラス,三連複5頭BOX,68,14,20.6,68000,37390,55.0
3勝クラス,三連複6頭BOX,68,24,35.3,136000,98540,72.5
OP,単勝,65,12,18.5,6500,7370,113.4
OP,複勝,65,27,41.5,6500,4740,72.9
OP,馬連1-2,58,7,12.1,5800,16940,292.1
OP,馬連1-3,58,3,5.2,5800,9890,170.5
OP,馬連3点BOX,58,13,22.4,17400,36770,211.3
OP,三連複1-2-3,49,1,2.0,4900,1410,28.8
OP,三連複1軸×2-3-4-5,49,11,22.4,19600,58450,298.2
OP,三連複4頭BOX,49,5,10.2,19600,42660,217.7
OP,三連複5頭BOX,49,13,26.5,49000,98130,200.3
OP,三連複6頭BOX,49,15,30.6,98000,101570,103.6
重賞,単勝,42,7,16.7,4200,2570,61.2
重賞,複勝,42,19,45.2,4200,3650,86.9
重賞,馬連1-2,39,2,5.1,3900,1850,47.4
重賞,馬連1-3,39,3,7.7,3900,7550,193.6
重賞,馬連3点BOX,39,6,15.4,11700,10580,90.4
重賞,三連複1-2-3,36,1,2.8,3600,860,23.9
重賞,三連複1軸×2-3-4-5,36,4,11.1,14400,4230,29.4
重賞,三連複4頭BOX,36,2,5.6,14400,1280,8.9
重賞,三連複5頭BOX,36,5,13.9,36000,5680,15.8
重賞,三連複6頭BOX,36,6,16.7,72000,7170,10.0
2勝クラス,単勝,142,31,21.8,14200,9830,69.2
2勝クラス,複勝,142,69,48.6,14200,11430,80.5
2勝クラス,馬連1-2,127,12,9.4,12700,8000,63.0
2勝クラス,馬連1-3,127,11,8.7,12700,10410,82.0
2勝クラス,馬連3点BOX,127,28,22.0,38100,25190,66.1
2勝クラス,三連複1-2-3,113,6,5.3,11300,13960,123.5
2勝クラス,三連複1軸×2-3-4-5,113,18,15.9,45200,43160,95.5
2勝クラス,三連複4頭BOX,113,10,8.8,45200,21850,48.3
2勝クラス,三連複5頭BOX,113,23,20.4,113000,67610,59.8
2勝クラス,三連複6頭BOX,113,36,31.9,226000,119690,53.0
