分析,軸,条件,n,馬連ROI,馬連的中,三連複5BOX_ROI,三連複5BOX_的中
分析1,スコア差,0〜1pt,215,224.5,20,77.0,33
分析1,スコア差,1〜3pt,288,113.8,19,101.5,42
分析1,スコア差,3〜5pt,96,182.6,9,75.0,17
分析1,スコア差,5pt以上,61,72.6,5,20.7,8
分析1,クラス×芝ダ,3勝クラス×芝,81,240.1,6,92.2,12
分析1,クラス×芝ダ,3勝クラス×ダ,71,313.6,11,57.0,9
分析1,クラス×芝ダ,OP×芝,57,81.4,3,209.7,11
分析1,クラス×芝ダ,OP×ダ,48,662.3,8,152.5,7
分析1,クラス×芝ダ,2勝クラス×芝,151,77.7,13,40.4,27
分析1,クラス×芝ダ,2勝クラス×ダ,160,76.1,11,94.6,27
分析1,クラス×芝ダ,重賞,92,3.5,1,23.9,7
分析1,オッズ帯,〜3倍,163,171.7,25,85.9,41
分析1,オッズ帯,3〜7倍,261,129.5,20,105.1,42
分析1,オッズ帯,7倍以上,236,175.4,8,55.4,17

分析,条件,n,n_box,ROI,的中,最高配当,1万超
分析2,全体,48,3,665.4,2,14120,2
分析2,全体 5BOX,48,5,152.5,7,22560,3
分析2,スコア差0〜1pt,18,3,0.0,0,0,0
分析2,スコア差1〜3pt,23,3,830.6,1,14120,1
分析2,スコア差3〜5pt,5,3,2366.0,1,11830,1
分析2,スコア差5pt以上,2,3,0.0,0,0,0
分析2,1位オッズ〜3倍,9,3,1690.0,1,11830,1
分析2,1位オッズ3〜7倍,18,3,1008.6,1,14120,1
分析2,1位オッズ7倍以上,21,3,0.0,0,0,0
分析2,出走頭数≤14頭,13,3,1183.0,1,11830,1
分析2,出走頭数≤15頭,21,3,1441.7,2,14120,2
分析2,出走頭数≤16頭,48,3,665.4,2,14120,2
分析2,スコア差0〜1pt×1位3〜7倍,6,3,0.0,0,0,0
分析2,スコア差0〜1pt×1位7倍以上,11,3,0.0,0,0,0
分析2,スコア差1〜3pt×1位〜3倍,7,3,0.0,0,0,0
分析2,スコア差1〜3pt×1位3〜7倍,7,3,2824.0,1,14120,1
分析2,スコア差1〜3pt×1位7倍以上,9,3,0.0,0,0,0

分析,グループ,n,n_box,馬連のみROI,三連複のみROI,両方ROI,推奨
分析3,3勝クラス×芝,81,5,240.1,92.2,92.2,馬連のみ
分析3,3勝クラス×ダ,71,4,313.6,112.8,147.8,馬連のみ
分析3,OP×芝,57,5,81.4,209.7,167.5,三連複のみ
分析3,OP×ダ,48,5,662.3,152.5,181.7,馬連のみ
分析3,全体(3勝+OP),257,5,304.7,115.8,120.1,馬連のみ

分析,スコア差,クラス×芝ダ,n,3BOX_ROI,4BOX_ROI,5BOX_ROI,6BOX_ROI,最適N
分析4,0〜1pt,3勝×芝,21,0.0,12.2,261.1,151.8,5
分析4,0〜1pt,3勝×ダ,29,0.0,96.8,41.8,44.9,4
分析4,0〜1pt,OP×芝,19,240.0,66.1,49.9,26.3,3
分析4,0〜1pt,OP×ダ,18,0.0,0.0,156.1,121.1,5
分析4,1〜3pt,3勝×芝,39,0.0,0.0,20.6,79.7,6
分析4,1〜3pt,3勝×ダ,24,57.1,230.0,105.5,56.5,4
分析4,1〜3pt,OP×芝,18,0.0,116.8,560.8,280.4,5
分析4,1〜3pt,OP×ダ,23,830.6,207.6,134.2,196.1,3
分析4,3〜5pt,3勝×芝,11,0.0,60.0,69.6,43.8,5
分析4,3〜5pt,3勝×ダ,13,0.0,0.0,32.1,28.2,5
分析4,3〜5pt,OP×芝,8,0.0,35.0,43.2,21.6,5
分析4,3〜5pt,OP×ダ,5,2366.0,662.0,264.8,132.4,3
分析4,5pt以上,3勝×芝,10,0.0,27.9,52.1,46.6,5
分析4,5pt以上,3勝×ダ,5,0.0,0.0,0.0,13.7,6
分析4,5pt以上,OP×芝,12,0.0,0.0,0.0,0.0,3
