race_id,race_name,class,surface,horse_name,age_sex,n_past_races,odds,popularity,field_size,act_rank,score,frame,weight_carried,sire,plus_factors,minus_factors,n_minus,odds_bucket
202503030110,飯坂温泉特別,2勝クラス,芝,イツモニコニコ,牝4,5,35.4,9,16,1,3.75,8,56.0,ビッグアーサー,"training_rank,prev2_run_bonus,win_count,bloodline_distance",long_rest,1,30倍以上
202503030111,キビタキS,3勝クラス,芝,ロードトレイル,牡4,5,37.1,12,16,3,2.5,1,55.0,,"training_rank,pace_fit",,0,30倍以上
202503030210,河北新報杯,2勝クラス,ダ,アレナパラシオ,牡4,5,65.6,12,15,1,2.5,4,58.0,,"second_start,win_count",,0,30倍以上
202503030211,みちのくS,OP,芝,バースクライ,牝5,5,6.0,2,16,2,3.5,5,55.0,,"training_rank,grade_history,pace_fit",,0,3〜7倍
202503030310,西郷特別,2勝クラス,ダ,テーオールビー,牝4,5,6.1,5,15,1,2.0,8,53.0,,"fastest_3f,training_rank",,0,3〜7倍
202503030310,西郷特別,2勝クラス,ダ,タイセイミッション,セ4,5,4.6,2,15,2,2.0,5,57.0,キタサンブラック,training_rank,,0,3〜7倍
202503030311,フルーツラインC,3勝クラス,ダ,メイショウカゼマチ,牡5,5,83.6,12,16,1,3.0,5,58.0,ミッキーアイル,"training_rank,win_count,bloodline_distance",,0,30倍以上
202504040210,飛翼特別,2勝クラス,芝,ベイビーキッス,牝3,5,7.1,5,18,1,4.5,4,55.0,サンダースノーThunder Snow,"same_course,training_rank,rising_trend",,0,7〜15倍
202504040310,菅名岳特別,2勝クラス,ダ,アスクシュタイン,牡3,5,4.5,3,15,1,1.5,2,56.0,,"fastest_3f,training_rank,win_count",first_surface,1,3〜7倍
202504040310,菅名岳特別,2勝クラス,ダ,アラレタバシル,牡4,5,11.2,6,15,2,1.5,6,58.0,,training_rank,local_prev,1,7〜15倍
202504040311,魚沼S,3勝クラス,芝,タガノデュード,牡4,5,5.1,1,18,3,2.0,7,58.0,ヤマカツエース,training_rank,,0,3〜7倍
202504040410,村上特別,2勝クラス,芝,マイネルオーシャン,牡4,5,10.0,6,16,1,1.5,5,58.0,ゴールドシップ,"training_rank,bloodline_distance",,0,7〜15倍
202505040109,八ケ岳特別,2勝クラス,芝,サトノヴィレ,セ5,5,78.7,10,12,1,3.0,5,58.0,,"training_rank,second_start",local_prev,1,30倍以上
202505040109,八ケ岳特別,2勝クラス,芝,アルゲンテウス,セ6,5,10.6,4,12,2,2.5,2,58.0,シルバーステート,training_rank,post_surface,1,7〜15倍
202505040110,白秋S,3勝クラス,芝,ユハンヌス,牡5,5,18.8,8,15,2,0.5,7,56.0,,training_rank,post_surface,1,15〜30倍
202505040111,グリーンチャンネルC,OP,ダ,オメガギネス,牡5,5,8.4,4,16,1,2.0,4,60.0,ロゴタイプ,"training_rank,second_start",,0,7〜15倍
202505040111,グリーンチャンネルC,OP,ダ,ユティタム,牡5,5,44.5,10,16,3,1.0,6,58.0,,training_rank,,0,30倍以上
202505040112,3歳以上2勝クラス,2勝クラス,ダ,ピックアップライン,牡5,5,11.3,7,16,1,5.0,1,57.0,,"same_course,training_rank,second_start,inner_post_senko",post_surface,1,7〜15倍
202505040209,tvk賞,2勝クラス,芝,タイセイカレント,牡3,5,17.2,9,17,3,4.375,5,56.0,,"training_rank,rising_trend,prev2_run_bonus,pace_fit",local_prev,1,15〜30倍
202505040209,tvk賞,2勝クラス,芝,メイケイバートン,牡6,5,28.9,11,17,2,3.75,3,58.0,ミッキーアイル,"same_course,training_rank,prev2_run_bonus,inner_post_senko,bloodline_distance",,0,15〜30倍
202505040211,毎日王冠,重賞,芝,ホウオウビスケッツ,牡5,5,4.3,2,11,2,3.0,7,57.0,マインドユアビスケッツMind Your Biscuits,"training_rank,second_start,distance_drop,grade_history","local_prev,post_surface",2,3〜7倍
202505040310,東村山特別,2勝クラス,ダ,トクシースタローン,牡6,5,33.2,8,16,3,2.25,4,58.0,ホッコータルマエ,"training_rank,distance_drop,prev2_run_bonus",,0,30倍以上
202505040410,テレビ静岡賞,3勝クラス,ダ,ペプチドタイガー,牡5,5,3.7,1,15,2,4.625,4,58.0,,"same_course,training_rank,prev_run_bonus,prev2_run_bonus",,0,3〜7倍
202505040511,オクトーバーS,OP,芝,ニシノレヴナント,セ5,5,47.0,13,18,1,4.5,4,55.0,ネロ,"training_rank,distance_drop,grade_history,pace_fit",local_prev,1,30倍以上
202505040612,3歳以上2勝クラス,2勝クラス,ダ,エチャケナ,牝4,5,21.2,7,14,3,4.0,6,56.0,ドレフォンDrefong,"training_rank,second_start,pace_fit",local_prev,1,15〜30倍
202505040811,アルテミスS,重賞,芝,ミツカネベネラ,牝2,1,60.9,9,10,2,4.875,8,55.0,モーリス,"training_rank,prev_run_bonus,win_count,bloodline_distance",,0,30倍以上
202505040812,3歳以上2勝クラス,2勝クラス,ダ,オセアエクスプレス,牡4,5,16.6,5,13,3,1.0,3,58.0,,training_rank,,0,15〜30倍
202505040910,山中湖特別,2勝クラス,芝,イトカワサクラ,牝5,5,8.8,6,11,2,2.5,1,56.0,ゴールドシップ,"training_rank,second_start,distance_drop",,0,7〜15倍
202505040910,山中湖特別,2勝クラス,芝,ミーントゥビー,牝3,5,7.9,5,11,3,2.0,3,54.0,リアルインパクト,"training_rank,second_start",,0,7〜15倍
202505040911,神無月S,OP,ダ,タイセイブレイズ,牡7,5,134.5,13,16,3,0.0,1,57.0,ワールドエース,training_rank,post_surface,1,30倍以上
202505041010,紅葉S,3勝クラス,芝,キュクヌス,牝4,5,18.1,6,12,2,4.25,7,56.0,,"training_rank,second_start,distance_drop,prev2_run_bonus",,0,15〜30倍
202505041011,ペルセウスS,OP,ダ,サルヴァトーレ,牡5,5,18.2,10,16,2,2.5,2,55.0,,"training_rank,second_start,pace_fit",post_surface,1,15〜30倍
202505041111,天皇賞(秋),重賞,芝,ジャスティンパレス,牡6,5,20.4,8,14,3,6.5,3,58.0,,"training_rank,rising_trend,distance_drop,pace_fit",post_surface,1,15〜30倍
202505050110,錦秋S,3勝クラス,ダ,ナイトアクアリウム,牡5,5,16.6,5,11,1,3.0,2,58.0,ロードカナロア,"training_rank,second_start,bloodline_distance",post_surface,1,15〜30倍
202505050111,京王杯2歳S,重賞,芝,トワニ,牝2,3,67.4,12,16,3,6.875,7,55.0,リオンディーズ,"training_rank,distance_drop,prev2_run_bonus,win_count,pace_fit",post_surface,1,30倍以上
202505050312,3歳以上2勝クラス,2勝クラス,芝,ホウオウシェリー,牝4,5,32.2,8,13,3,0.0,7,56.0,ブリックスアンドモルタルBricks and Mortar,training_rank,,0,30倍以上
202505050411,オーロC,OP,芝,レッドモンレーヴ,牡6,5,6.3,3,18,2,3.5,7,58.5,ロードカナロア,"training_rank,second_start,bloodline_distance",post_surface,1,3〜7倍
202505050708,3歳以上2勝クラス,2勝クラス,ダ,タイセイアディクト,牡4,5,14.2,5,16,2,3.5,2,58.0,リオンディーズ,"training_rank,bloodline_distance,pace_fit",,0,7〜15倍
202505050710,シャングリラS,3勝クラス,ダ,ガンウルフ,牡5,5,42.6,8,16,2,1.5,2,58.0,,"same_course,training_rank,inner_post_senko",post_surface,1,30倍以上
202505050710,シャングリラS,3勝クラス,ダ,エストレヤデベレン,牡4,5,4.5,3,16,3,1.0,2,58.0,エピファネイア,"training_rank,inner_post_senko",post_surface,1,3〜7倍
202505050810,アプローズ賞,2勝クラス,ダ,ジューンポンポン,牝6,5,27.9,9,16,3,1.0,6,56.0,マクフィMakfi,training_rank,,0,15〜30倍
202506050207,3歳以上2勝クラス,2勝クラス,芝,オールマイデイズ,牡5,5,34.3,7,11,3,-1.0,8,58.0,リアルスティール,"training_rank,second_start",first_surface,1,30倍以上
202506050208,3歳以上2勝クラス,2勝クラス,ダ,テセラリアン,牝4,5,9.8,5,16,3,-0.5,1,56.0,リアルスティール,"same_course,training_rank,bloodline_distance","post_surface,seasonal_sex",2,7〜15倍
202506050312,3歳以上2勝クラス,2勝クラス,ダ,モリノセピア,牡4,5,7.3,3,13,2,-1.0,5,55.0,エスポワールシチー,training_rank,,0,7〜15倍
202506050409,霞ケ浦特別,2勝クラス,芝,ダンツファイター,牡3,5,12.5,6,12,2,7.0,3,57.0,,"training_rank,second_start,rising_trend,prev_run_bonus,inner_post_senko,win_count",,0,7〜15倍
202506050709,ベストウィッシュC,2勝クラス,芝,スムースベルベット,牝5,5,295.3,14,16,2,1.0,8,56.0,ディスクリートキャットDiscreet Cat,"training_rank,second_start",seasonal_sex,1,30倍以上
202506050711,ホープフルS,重賞,芝,ロブチェン,牡2,1,19.8,7,16,1,5.875,2,56.0,ワールドプレミア,"training_rank,prev_run_bonus,win_count,bloodline_distance",post_surface,1,15〜30倍
202506050811,有馬記念,重賞,芝,コスモキュランダ,牡4,5,111.5,11,16,2,0.5,5,58.0,アルアイン,training_rank,,0,30倍以上
202507050111,飛騨S,3勝クラス,芝,サトミノキラリ,牡4,5,12.5,6,12,2,0.5,7,58.0,,training_rank,post_surface,1,7〜15倍
202507050209,犬山特別,2勝クラス,ダ,エイシンナデシコ,牝3,5,25.5,10,16,1,2.5,8,55.0,,"training_rank,pace_fit",seasonal_sex,1,15〜30倍
202507050211,チャンピオンズC,重賞,ダ,ウィルソンテソーロ,牡6,5,7.3,3,16,2,6.375,4,58.0,キタサンブラック,"training_rank,prev2_run_bonus,grade_history,win_count",,0,7〜15倍
202507050211,チャンピオンズC,重賞,ダ,ラムジェット,牡4,5,12.8,7,16,3,6.375,4,58.0,マジェスティックウォリアーMajestic Warrior,"training_rank,second_start,prev2_run_bonus,grade_history,pace_fit",,0,7〜15倍
202507050311,中日新聞杯,重賞,芝,ジューンテイク,牡4,5,9.5,5,17,3,3.5,2,57.0,キズナ,"training_rank,distance_drop,bloodline_distance",post_surface,1,7〜15倍
202507050411,知立S,3勝クラス,芝,キャプテンシー,牡4,5,14.5,6,10,3,2.0,5,58.0,,"training_rank,distance_drop",,0,7〜15倍
202507050509,クリスマスローズS,OP,芝,ミスターバッドガイ,牡2,5,25.5,6,9,3,6.5,5,56.0,,"training_rank,grade_history,win_count",local_prev,1,15〜30倍
202507050511,尾頭橋S,3勝クラス,ダ,ピクシレーション,牝5,5,26.4,6,11,2,3.875,8,56.0,,"training_rank,second_start,prev2_run_bonus,win_count",seasonal_sex,1,15〜30倍
202507050612,尾張特別,2勝クラス,芝,リチャードバローズ,牡4,5,8.3,4,18,1,3.0,8,56.0,,"training_rank,second_start",,0,7〜15倍
202507050612,尾張特別,2勝クラス,芝,タイキヴァンクール,牡4,4,34.7,13,18,3,1.5,4,56.0,エイシンヒカリ,"training_rank,second_start",local_prev,1,30倍以上
