factor,win1_rate,top3cov_rate,delta_win1,delta_top3cov,abs_mean,nonzero_rate
same_course,0.180303,0.460606,-0.013636,0.016667,0.668817,0.27728
bloodline_distance,0.184848,0.44697,-0.009091,0.00303,0.226711,0.343866
second_start,0.184848,0.437879,-0.009091,-0.006061,0.381697,0.381697
win_count,0.187879,0.434848,-0.006061,-0.009091,1.954953,0.580472
distance_drop,0.189394,0.434848,-0.004545,-0.009091,0.21124,0.21124
grade_history,0.190909,0.434848,-0.00303,-0.009091,0.192434,0.162913
prev2_run_bonus,0.190909,0.439394,-0.00303,-0.004545,0.102914,0.291494
post_surface,0.192424,0.440909,-0.001515,-0.00303,0.234365,0.273562
seasonal_sex,0.192424,0.443939,-0.001515,0.0,0.099934,0.099934
steep_power,0.192424,0.445455,-0.001515,0.001515,0.111666,0.142904
content_score,0.193939,0.443939,0.0,0.0,0.0,0.0
fastest_3f,0.193939,0.440909,0.0,-0.00303,0.157446,0.078723
first_surface,0.193939,0.443939,0.0,0.0,0.147059,0.029412
jockey_bonus,0.193939,0.443939,0.0,0.0,0.0,0.0
light_weight,0.193939,0.445455,0.0,0.001515,0.019899,0.019899
long_rest,0.193939,0.439394,0.0,-0.004545,0.016619,0.016619
prev2_high_grade_close,0.193939,0.443939,0.0,0.0,0.0,0.0
prev_high_grade_close,0.193939,0.443939,0.0,0.0,0.0,0.0
prev_run_bonus,0.193939,0.440909,0.0,-0.00303,0.100071,0.281435
promotion,0.193939,0.443939,0.0,0.0,0.0,0.0
special_condition,0.193939,0.443939,0.0,0.0,0.01312,0.00328
track_condition,0.193939,0.443939,0.0,0.0,0.0,0.0
training_rank,0.193939,0.437879,0.0,-0.006061,1.711021,0.968511
weight_change,0.193939,0.443939,0.0,0.0,0.0,0.0
wrong_direction,0.193939,0.443939,0.0,0.0,0.0,0.0
local_prev,0.195455,0.442424,0.001515,-0.001515,0.039197,0.078395
place_consistency,0.195455,0.436364,0.001515,-0.007576,0.487262,0.273234
distance_up,0.2,0.440909,0.006061,-0.00303,0.104199,0.034769
inner_post_senko,0.2,0.439394,0.006061,-0.004545,0.091734,0.091734
rising_trend,0.206061,0.443939,0.012121,0.0,0.397236,0.187514
pace_fit,0.209091,0.462121,0.015152,0.018182,0.7582,0.606057
