race_id,surface,race_class,horse_num,rank,n_horses,interval_days,corner_advance,is_promotion
202503030110,芝,2勝クラス,10,3,16,34,0,0
202503030110,芝,2勝クラス,2,5,16,76,0,0
202503030110,芝,2勝クラス,15,6,16,35,0,0
202503030110,芝,2勝クラス,12,7,16,154,1,0
202503030110,芝,2勝クラス,8,13,16,42,0,0
202503030111,芝,3勝クラス,13,1,16,126,0,0
202503030111,芝,3勝クラス,10,10,16,69,0,1
202503030111,芝,3勝クラス,9,13,16,98,0,0
202503030111,芝,3勝クラス,4,15,16,105,0,0
202503030210,ダ,2勝クラス,12,4,15,78,0,0
202503030211,芝,OP,11,3,16,98,0,0
202503030211,芝,OP,9,4,16,77,0,0
202503030211,芝,OP,14,7,16,77,0,0
202503030211,芝,OP,1,9,16,120,1,0
202503030310,ダ,2勝クラス,15,1,15,56,-2,0
202503030311,ダ,3勝クラス,1,2,16,125,3,1
202503030311,ダ,3勝クラス,2,16,16,69,0,0
202503030409,芝,OP,7,2,16,77,0,0
202503030410,芝,2勝クラス,11,1,16,210,1,0
202503030410,芝,2勝クラス,7,5,16,36,0,0
202503030410,芝,2勝クラス,6,6,16,49,0,0
202503030411,ダ,OP,1,4,15,99,-6,0
202503030411,ダ,OP,6,5,15,105,0,0
202503030411,ダ,OP,15,7,15,168,0,1
202503030411,ダ,OP,5,10,15,71,1,0
202503030411,ダ,OP,2,11,15,63,0,0
202503030411,ダ,OP,13,12,15,120,2,0
202503030411,ダ,OP,9,13,15,46,-2,0
202503030411,ダ,OP,7,15,15,119,0,1
202503030510,ダ,2勝クラス,1,4,16,41,1,0
202503030510,ダ,2勝クラス,14,15,16,104,0,0
202503030511,芝,重賞,10,1,16,139,-1,1
202503030511,芝,重賞,8,2,16,97,0,0
202503030511,芝,重賞,5,5,16,132,1,0
202503030511,芝,重賞,3,9,16,51,-7,0
202503030511,芝,重賞,2,13,16,77,3,0
202503030511,芝,重賞,9,16,16,126,2,1
202504040310,ダ,2勝クラス,3,7,15,62,1,0
202504040311,芝,3勝クラス,6,7,18,48,2,1
202504040311,芝,3勝クラス,17,8,18,56,2,0
202504040410,芝,2勝クラス,5,7,16,57,-3,0
202504040411,芝,OP,4,4,17,63,0,0
202504040411,芝,OP,14,15,17,63,0,0
202504040411,芝,OP,12,16,17,84,0,0
202505040608,芝,2勝クラス,2,3,7,83,-1,0
202505040612,ダ,2勝クラス,10,7,14,84,0,0
202505040612,ダ,2勝クラス,14,11,14,118,0,0
202505040710,ダ,2勝クラス,3,1,13,63,0,0
202505040710,ダ,2勝クラス,6,3,13,57,-1,0
202505040809,芝,2勝クラス,8,2,12,63,0,0
202505040809,芝,2勝クラス,12,5,12,55,0,0
202505040809,芝,2勝クラス,5,9,12,49,1,0
202505040809,芝,2勝クラス,9,10,12,83,1,0
202505040810,ダ,3勝クラス,9,2,16,133,-1,0
202505040810,ダ,3勝クラス,4,5,16,84,1,0
202505040812,ダ,2勝クラス,1,1,13,125,0,0
202505040812,ダ,2勝クラス,2,2,13,202,0,0
202505040812,ダ,2勝クラス,9,4,13,48,3,0
202505040812,ダ,2勝クラス,7,6,13,35,0,0
202505040812,ダ,2勝クラス,8,8,13,13,0,0
202505040812,ダ,2勝クラス,4,12,13,112,-3,0
202505040909,ダ,2勝クラス,5,1,13,92,1,0
202505040909,ダ,2勝クラス,2,4,13,78,0,0
202505040909,ダ,2勝クラス,11,5,13,126,0,0
202505040909,ダ,2勝クラス,3,9,13,92,0,0
202505040909,ダ,2勝クラス,10,10,13,49,0,0
202505040909,ダ,2勝クラス,4,12,13,21,-1,0
202505040909,ダ,2勝クラス,13,13,13,49,-3,0
202505040910,芝,2勝クラス,3,3,11,78,0,0
202505040910,芝,2勝クラス,5,9,11,92,0,0
202505041008,ダ,2勝クラス,4,2,14,55,2,0
202505041008,ダ,2勝クラス,5,4,14,63,-1,0
202505041008,ダ,2勝クラス,9,5,14,55,0,0
202505041008,ダ,2勝クラス,11,7,14,230,0,0
202505041008,ダ,2勝クラス,7,9,14,433,0,0
202505041008,ダ,2勝クラス,12,11,14,146,0,0
202505041008,ダ,2勝クラス,8,13,14,70,-2,0
202505041008,ダ,2勝クラス,14,14,14,196,-2,0
202505041009,芝,2勝クラス,6,5,8,153,0,0
202505041009,芝,2勝クラス,2,6,8,83,0,0
202505041009,芝,2勝クラス,7,8,8,112,6,0
202505041010,芝,3勝クラス,9,2,12,126,0,0
202505041010,芝,3勝クラス,2,7,12,202,0,0
202505041010,芝,3勝クラス,1,9,12,70,-1,0
202505041011,ダ,OP,8,1,16,300,1,0
202505041011,ダ,OP,3,2,16,154,-1,0
202505041011,ダ,OP,2,14,16,77,-11,1
202505041011,ダ,OP,12,16,16,139,-2,0
202505041109,芝,2勝クラス,8,1,10,49,-1,0
202505041109,芝,2勝クラス,9,3,10,84,1,0
202505041109,芝,2勝クラス,7,5,10,140,0,0
202505041109,芝,2勝クラス,4,7,10,190,0,0
202505041110,ダ,3勝クラス,5,3,12,133,0,1
202505041110,ダ,3勝クラス,9,4,12,91,-1,0
202505041110,ダ,3勝クラス,7,5,12,77,1,0
202505041110,ダ,3勝クラス,3,6,12,154,1,0
202505041110,ダ,3勝クラス,10,7,12,29,0,0
202505041110,ダ,3勝クラス,12,8,12,168,0,0
202505041110,ダ,3勝クラス,2,9,12,141,0,0
202505041110,ダ,3勝クラス,1,10,12,148,0,0
202505041111,芝,重賞,8,13,14,77,0,0
202505041112,ダ,2勝クラス,12,2,13,50,-1,0
202505041112,ダ,2勝クラス,10,6,13,48,2,0
202505041112,ダ,2勝クラス,1,9,13,140,-1,0
202505041112,ダ,2勝クラス,7,10,13,70,1,0
202505041112,ダ,2勝クラス,4,11,13,84,-1,0
202505041112,ダ,2勝クラス,9,12,13,35,0,0
202505041112,ダ,2勝クラス,6,13,13,56,1,0
202505050108,芝,2勝クラス,5,3,8,77,0,0
202505050108,芝,2勝クラス,4,5,8,41,0,0
202505050108,芝,2勝クラス,8,6,8,62,8,0
202505050108,芝,2勝クラス,3,7,8,69,0,0
202505050109,ダ,2勝クラス,4,1,13,55,0,0
202505050109,ダ,2勝クラス,13,4,13,119,2,0
202505050109,ダ,2勝クラス,1,6,13,147,0,0
202505050109,ダ,2勝クラス,9,11,13,139,0,0
202505050110,ダ,3勝クラス,4,2,11,90,-4,0
202505050110,ダ,3勝クラス,7,3,11,34,0,0
202505050110,ダ,3勝クラス,3,4,11,91,0,0
202505050110,ダ,3勝クラス,10,5,11,34,1,0
202505050110,ダ,3勝クラス,9,6,11,34,0,0
202505050110,ダ,3勝クラス,1,9,11,189,-3,0
202505050111,芝,重賞,10,1,16,55,0,0
202505050111,芝,重賞,7,6,16,49,1,0
202505050208,ダ,2勝クラス,5,1,16,49,0,0
202505050208,ダ,2勝クラス,6,3,16,189,0,0
202505050208,ダ,2勝クラス,15,6,16,84,1,0
202505050208,ダ,2勝クラス,16,8,16,50,1,0
202505050208,ダ,2勝クラス,2,9,16,105,1,0
202505050210,芝,3勝クラス,10,2,12,71,0,1
202505050210,芝,3勝クラス,6,3,12,161,1,0
202505050210,芝,3勝クラス,2,6,12,155,5,0
202505050210,芝,3勝クラス,9,7,12,155,-3,0
202505050210,芝,3勝クラス,11,9,12,175,0,0
202505050210,芝,3勝クラス,3,12,12,70,-2,0
202505050211,芝,重賞,6,3,18,133,2,0
202505050211,芝,重賞,5,4,18,371,-1,0
202505050211,芝,重賞,8,8,18,84,0,0
202505050211,芝,重賞,16,9,18,63,0,0
202505050211,芝,重賞,12,10,18,147,-3,0
202505050211,芝,重賞,14,11,18,147,-1,0
202505050211,芝,重賞,1,15,18,49,0,0
202505050211,芝,重賞,15,16,18,161,3,0
202505050211,芝,重賞,2,18,18,119,-4,0
202505050212,芝,2勝クラス,14,1,18,35,-1,0
202505050212,芝,2勝クラス,15,2,18,71,0,1
202505050212,芝,2勝クラス,8,17,18,224,0,0
202505050212,芝,2勝クラス,13,18,18,55,0,0
202505050309,ダ,2勝クラス,12,3,16,97,1,0
202505050309,ダ,2勝クラス,3,5,16,153,1,0
202505050309,ダ,2勝クラス,15,8,16,56,0,0
202505050309,ダ,2勝クラス,2,10,16,76,5,0
202505050309,ダ,2勝クラス,9,11,16,41,1,0
202505050309,ダ,2勝クラス,4,12,16,91,1,0
202505050309,ダ,2勝クラス,11,14,16,69,0,0
202505050309,ダ,2勝クラス,8,16,16,41,0,0
202505050310,芝,3勝クラス,8,1,18,62,0,0
202505050310,芝,3勝クラス,3,3,18,69,1,0
202505050310,芝,3勝クラス,17,4,18,126,0,0
202505050310,芝,3勝クラス,16,6,18,49,-2,0
202505050310,芝,3勝クラス,6,7,18,42,0,0
202505050310,芝,3勝クラス,1,8,18,112,-1,0
202505050310,芝,3勝クラス,10,9,18,168,0,0
202505050310,芝,3勝クラス,13,13,18,76,-2,0
202505050310,芝,3勝クラス,12,14,18,76,0,0
202505050310,芝,3勝クラス,18,15,18,77,0,1
202505050310,芝,3勝クラス,5,16,18,174,0,0
202505050310,芝,3勝クラス,15,18,18,146,-5,0
202505050311,ダ,重賞,3,5,16,194,-1,0
202505050311,ダ,重賞,2,6,16,98,0,0
202505050311,ダ,重賞,11,7,16,111,1,0
202505050311,ダ,重賞,9,10,16,93,0,0
202505050311,ダ,重賞,13,12,16,188,0,1
202505050311,ダ,重賞,6,13,16,196,0,0
202505050311,ダ,重賞,5,15,16,181,0,0
202505050312,芝,2勝クラス,10,3,13,98,-1,0
202505050312,芝,2勝クラス,12,4,13,42,0,0
202505050312,芝,2勝クラス,2,5,13,84,5,0
202505050312,芝,2勝クラス,9,8,13,98,0,0
202505050312,芝,2勝クラス,13,9,13,125,1,0
202505050312,芝,2勝クラス,11,10,13,168,0,0
202505050407,ダ,2勝クラス,4,3,16,91,0,0
202505050407,ダ,2勝クラス,8,4,16,43,1,0
202505050407,ダ,2勝クラス,1,8,16,85,1,0
202505050407,ダ,2勝クラス,12,9,16,141,0,0
202505050407,ダ,2勝クラス,14,10,16,57,0,0
202505050407,ダ,2勝クラス,5,12,16,50,1,0
202505050407,ダ,2勝クラス,6,13,16,35,0,0
202505050407,ダ,2勝クラス,16,15,16,62,-1,0
202505050408,芝,2勝クラス,5,1,13,161,0,0
202505050408,芝,2勝クラス,7,4,13,70,-4,0
202505050409,ダ,3勝クラス,2,1,14,56,0,0
202505050409,ダ,3勝クラス,5,3,14,78,1,1
202505050409,ダ,3勝クラス,7,7,14,43,2,0
202505050409,ダ,3勝クラス,3,8,14,35,1,0
202505050409,ダ,3勝クラス,13,9,14,35,-1,0
202505050409,ダ,3勝クラス,14,10,14,99,-2,0
202505050409,ダ,3勝クラス,4,14,14,134,1,0
202505050410,芝,3勝クラス,6,1,11,62,1,1
202505050410,芝,3勝クラス,11,2,11,78,-2,1
202505050410,芝,3勝クラス,2,4,11,70,0,1
202505050410,芝,3勝クラス,3,6,11,99,0,1
202505050410,芝,3勝クラス,7,7,11,63,-4,0
202505050410,芝,3勝クラス,4,11,11,77,0,0
202505050411,芝,OP,15,2,18,161,2,0
202505050411,芝,OP,14,3,18,49,0,0
202505050411,芝,OP,18,5,18,84,1,0
202505050411,芝,OP,7,6,18,50,1,1
202505050411,芝,OP,17,7,18,84,1,0
202505050411,芝,OP,13,8,18,84,1,1
202505050411,芝,OP,2,9,18,91,0,0
202505050411,芝,OP,12,10,18,98,0,0
202505050411,芝,OP,10,11,18,133,0,0
202505050411,芝,OP,3,14,18,106,0,1
202505050508,ダ,2勝クラス,7,2,16,154,1,0
