騎手ボーナス バックテスト結果（v2）

=== Step1: 全騎手別統計（騎乗10件以上） ===
騎手名,騎乗数,1着数,1着率,3着内数,複勝率,リーディング
Ｃデム,40,9,22.5%,22,55.0%,★
ルメー,123,27,22.0%,69,56.1%,★
レーン,36,7,19.4%,18,50.0%,★
川田,81,15,18.5%,39,48.1%,★
岩田望,131,23,17.6%,58,44.3%,★
武豊,115,19,16.5%,49,42.6%,★
横山武,119,19,16.0%,45,37.8%,★
三浦,84,13,15.5%,29,34.5%,★
松本,41,6,14.6%,10,24.4%,
鮫島駿,104,15,14.4%,32,30.8%,
横山典,63,9,14.3%,18,28.6%,
横山和,97,13,13.4%,27,27.8%,
キング,15,2,13.3%,8,53.3%,
和田陽,25,3,12.0%,6,24.0%,
藤岡佑,34,4,11.8%,13,38.2%,
松山,120,14,11.7%,36,30.0%,
津村,103,12,11.7%,29,28.2%,
菅原明,79,9,11.4%,26,32.9%,
マーカ,28,3,10.7%,8,28.6%,
舟山,38,4,10.5%,12,31.6%,
西村淳,116,12,10.3%,31,26.7%,
田山,70,7,10.0%,16,22.9%,
斎藤,93,9,9.7%,17,18.3%,
吉村,148,14,9.5%,29,19.6%,
池添,89,8,9.0%,21,23.6%,
太宰,34,3,8.8%,7,20.6%,
戸崎圭,126,11,8.7%,48,38.1%,
嶋田,23,2,8.7%,4,17.4%,
荻野極,118,10,8.5%,40,33.9%,
佐々木,133,11,8.3%,30,22.6%,
国分優,50,4,8.0%,9,18.0%,
岩田康,100,8,8.0%,20,20.0%,
石川,63,5,7.9%,11,17.5%,
上里,13,1,7.7%,1,7.7%,
ゴンサ,13,1,7.7%,3,23.1%,
高杉,124,9,7.3%,34,27.4%,
丸山,69,5,7.2%,23,33.3%,
吉田隼,42,3,7.1%,10,23.8%,
プーシ,28,2,7.1%,5,17.9%,
石神道,15,1,6.7%,1,6.7%,
Ｍデム,15,1,6.7%,4,26.7%,
浜中,46,3,6.5%,10,21.7%,
幸,77,5,6.5%,12,15.6%,
団野,111,7,6.3%,29,26.1%,
長岡,32,2,6.2%,5,15.6%,
丹内,129,8,6.2%,25,19.4%,
小崎,49,3,6.1%,7,14.3%,
坂井,103,6,5.8%,30,29.1%,
西塚,73,4,5.5%,12,16.4%,
富田,55,3,5.5%,12,21.8%,
田辺,37,2,5.4%,4,10.8%,
杉原,56,3,5.4%,8,14.3%,
小林脩,19,1,5.3%,2,10.5%,
小林美,19,1,5.3%,3,15.8%,
菊沢,100,5,5.0%,20,20.0%,
横山琉,82,4,4.9%,15,18.3%,
北村友,103,5,4.9%,22,21.4%,
古川吉,65,3,4.6%,9,13.8%,
中井,44,2,4.5%,8,18.2%,
酒井,90,4,4.4%,12,13.3%,
柴田大,46,2,4.3%,2,4.3%,
田口,117,5,4.3%,21,17.9%,
古川奈,24,1,4.2%,4,16.7%,
原田和,25,1,4.0%,2,8.0%,
藤懸,55,2,3.6%,7,12.7%,
黛,28,1,3.6%,5,17.9%,
森田,28,1,3.6%,2,7.1%,
吉田豊,57,2,3.5%,6,10.5%,
ディー,29,1,3.4%,2,6.9%,
石橋脩,59,2,3.4%,9,15.3%,
原,89,3,3.4%,7,7.9%,
永島,32,1,3.1%,6,18.8%,
長浜,67,2,3.0%,4,6.0%,
柴田裕,35,1,2.9%,5,14.3%,
大野,70,2,2.9%,16,22.9%,
内田博,35,1,2.9%,3,8.6%,
国分恭,41,1,2.4%,6,14.6%,
和田竜,43,1,2.3%,5,11.6%,
松若,97,2,2.1%,15,15.5%,
角田和,50,1,2.0%,9,18.0%,
亀田,52,1,1.9%,4,7.7%,
菱田,90,1,1.1%,14,15.6%,
小林凌,10,0,0.0%,0,0.0%,
野中,27,0,0.0%,0,0.0%,
小沢,64,0,0.0%,9,14.1%,
荻野琢,31,0,0.0%,2,6.5%,
江田照,40,0,0.0%,0,0.0%,
木幡初,11,0,0.0%,0,0.0%,
丸田,35,0,0.0%,3,8.6%,
石田,29,0,0.0%,2,6.9%,
川又,27,0,0.0%,2,7.4%,
武藤,42,0,0.0%,2,4.8%,
秋山稔,47,0,0.0%,2,4.3%,
佐藤,23,0,0.0%,2,8.7%,
今村,18,0,0.0%,2,11.1%,
川端,10,0,0.0%,1,10.0%,
鷲頭,13,0,0.0%,2,15.4%,
木幡巧,89,0,0.0%,12,13.5%,
松岡,77,0,0.0%,6,7.8%,
柴田善,18,0,0.0%,0,0.0%,
北村宏,35,0,0.0%,6,17.1%,
遠藤,11,0,0.0%,0,0.0%,
谷原,10,0,0.0%,0,0.0%,
鮫島良,19,0,0.0%,5,26.3%,
川須,12,0,0.0%,1,8.3%,
高倉,14,0,0.0%,1,7.1%,
ハマー,16,0,0.0%,2,12.5%,

=== Step2: 三連複5頭BOX ROI比較 ===
クラス×芝ダ,baseline ROI,n,+1pt ROI,+1pt 変化,+2pt ROI,+2pt 変化,+3pt ROI,+3pt 変化
3勝クラス×芝,75.2%,81,75.2%,+0.0%,71.7%,-3.5%,71.7%,-3.5%
3勝クラス×ダ,53.0%,71,53.0%,+0.0%,53.0%,+0.0%,53.0%,+0.0%
オープン×芝,0.0%,0,0.0%,+0.0%,0.0%,+0.0%,0.0%,+0.0%
オープン×ダ,0.0%,0,0.0%,+0.0%,0.0%,+0.0%,0.0%,+0.0%
2勝クラス×芝,27.6%,151,27.6%,+0.0%,27.6%,+0.0%,30.1%,+2.5%
2勝クラス×ダ,82.2%,160,82.2%,+0.0%,82.2%,+0.0%,70.0%,-12.2%

=== Step3: 4〜7人気帯 リーディング騎手成績 ===
騎手名,騎乗数,1着数,1着率,3着内数,複勝率
ルメー,14,1,7.1%,3,21.4%
レーン,13,1,7.7%,4,30.8%
三浦,40,6,15.0%,12,30.0%
岩田望,54,7,13.0%,22,40.7%
川田,16,2,12.5%,5,31.2%
横山武,44,4,9.1%,14,31.8%
武豊,42,5,11.9%,10,23.8%
Ｃデム,7,0,0.0%,2,28.6%

=== 判定まとめ ===
