venue_type,class,bet,n_races,hits,hit_rate,invest,collect,roi
全体,総合,単勝,68,12,17.6,6800,6310.0,92.8
全体,総合,複勝,68,26,38.2,6800,5130,75.4
全体,総合,馬連1-2,68,6,8.8,6800,11840,174.1
全体,総合,馬連3点,68,9,13.2,20400,18570,91.0
全体,総合,馬連5頭BOX,68,17,25.0,68000,37220,54.7
全体,総合,三連複1-2-3,68,0,0.0,6800,0,0.0
全体,総合,三連複1軸4頭,68,4,5.9,40800,15370,37.7
全体,総合,三連複5頭BOX,68,8,11.8,68000,45620,67.1
全体,総合,三連複6頭BOX,68,11,16.2,136000,68020,50.0
全体,総合,単勝,291,62,21.3,29100,24690.0,84.8
全体,総合,複勝,291,133,45.7,29100,22530,77.4
全体,総合,馬連1-2,291,23,7.9,29100,31250,107.4
全体,総合,馬連3点,291,55,18.9,87300,87430,100.1
全体,総合,馬連5頭BOX,291,110,37.8,291000,209390,72.0
全体,総合,三連複1-2-3,291,10,3.4,29100,18210,62.6
全体,総合,三連複1軸4頭,291,39,13.4,174600,118130,67.7
全体,総合,三連複5頭BOX,291,56,19.2,291000,211190,72.6
全体,総合,三連複6頭BOX,291,81,27.8,557800,316730,56.8
クラス別,2勝クラス,単勝,37,5,13.5,3700,2180.0,58.9
クラス別,2勝クラス,複勝,37,15,40.5,3700,2910,78.6
クラス別,2勝クラス,馬連1-2,37,3,8.1,3700,3050,82.4
クラス別,2勝クラス,馬連3点,37,5,13.5,11100,5120,46.1
クラス別,2勝クラス,馬連5頭BOX,37,11,29.7,37000,14870,40.2
クラス別,2勝クラス,三連複1-2-3,37,0,0.0,3700,0,0.0
クラス別,2勝クラス,三連複1軸4頭,37,1,2.7,22200,670,3.0
クラス別,2勝クラス,三連複5頭BOX,37,3,8.1,37000,10390,28.1
クラス別,2勝クラス,三連複6頭BOX,37,5,13.5,74000,25990,35.1
クラス別,3勝クラス,単勝,13,7,53.8,1300,4130.0,317.7
クラス別,3勝クラス,複勝,13,8,61.5,1300,1690,130.0
クラス別,3勝クラス,馬連1-2,13,2,15.4,1300,2660,204.6
クラス別,3勝クラス,馬連3点,13,2,15.4,3900,2660,68.2
クラス別,3勝クラス,馬連5頭BOX,13,4,30.8,13000,11560,88.9
クラス別,3勝クラス,三連複1-2-3,13,0,0.0,1300,0,0.0
クラス別,3勝クラス,三連複1軸4頭,13,3,23.1,7800,14700,188.5
クラス別,3勝クラス,三連複5頭BOX,13,4,30.8,13000,21110,162.4
クラス別,3勝クラス,三連複6頭BOX,13,5,38.5,26000,27910,107.3
クラス別,OP,単勝,10,0,0.0,1000,0,0.0
クラス別,OP,複勝,10,1,10.0,1000,180,18.0
クラス別,OP,馬連1-2,10,1,10.0,1000,6130,613.0
クラス別,OP,馬連3点,10,2,20.0,3000,10790,359.7
クラス別,OP,馬連5頭BOX,10,2,20.0,10000,10790,107.9
クラス別,OP,三連複1-2-3,10,0,0.0,1000,0,0.0
クラス別,OP,三連複1軸4頭,10,0,0.0,6000,0,0.0
クラス別,OP,三連複5頭BOX,10,1,10.0,10000,14120,141.2
クラス別,OP,三連複6頭BOX,10,1,10.0,20000,14120,70.6
クラス別,重賞,単勝,8,0,0.0,800,0,0.0
クラス別,重賞,複勝,8,2,25.0,800,350,43.8
クラス別,重賞,馬連1-2,8,0,0.0,800,0,0.0
クラス別,重賞,馬連3点,8,0,0.0,2400,0,0.0
クラス別,重賞,馬連5頭BOX,8,0,0.0,8000,0,0.0
クラス別,重賞,三連複1-2-3,8,0,0.0,800,0,0.0
クラス別,重賞,三連複1軸4頭,8,0,0.0,4800,0,0.0
クラス別,重賞,三連複5頭BOX,8,0,0.0,8000,0,0.0
クラス別,重賞,三連複6頭BOX,8,0,0.0,16000,0,0.0
クラス別,2勝クラス,単勝,108,26,24.1,10800,7620.0,70.6
クラス別,2勝クラス,複勝,108,52,48.1,10800,8120,75.2
クラス別,2勝クラス,馬連1-2,108,9,8.3,10800,4950,45.8
クラス別,2勝クラス,馬連3点,108,23,21.3,32400,20070,61.9
クラス別,2勝クラス,馬連5頭BOX,108,41,38.0,108000,63100,58.4
クラス別,2勝クラス,三連複1-2-3,108,6,5.6,10800,13960,129.3
クラス別,2勝クラス,三連複1軸4頭,108,17,15.7,64800,42490,65.6
クラス別,2勝クラス,三連複5頭BOX,108,21,19.4,108000,60630,56.1
クラス別,2勝クラス,三連複6頭BOX,108,33,30.6,191800,102400,53.4
