クラス,コース,N頭BOX,レース数,現行的中,現行ROI,0固定的中,0固定ROI,ROI差
2勝クラス,芝,3,95,5,34.9,5,24.2,-10.7
2勝クラス,芝,4,95,14,47.4,14,44.6,-2.8
2勝クラス,芝,5,95,26,42.8,28,48.9,6.2
2勝クラス,ダ,3,139,2,18.7,4,142.9,124.2
2勝クラス,ダ,4,139,11,52.2,12,69.0,16.8
2勝クラス,ダ,5,139,27,94.6,20,99.3,4.7
3勝クラス,芝,3,49,0,0.0,1,58.6,58.6
3勝クラス,芝,4,49,4,33.6,5,53.2,19.6
3勝クラス,芝,5,49,11,113.4,11,115.6,2.2
3勝クラス,ダ,3,66,1,18.2,3,107.1,88.9
3勝クラス,ダ,4,66,6,112.8,5,46.7,-66.1
3勝クラス,ダ,5,66,8,52.7,8,30.4,-22.3
OP,芝,3,40,2,84.0,2,84.0,0.0
OP,芝,4,40,7,69.2,8,290.1,220.9
OP,芝,5,40,10,212.0,10,199.5,-12.5
OP,ダ,3,39,2,665.4,2,398.2,-267.2
OP,ダ,4,39,3,175.4,2,99.6,-75.8
OP,ダ,5,39,6,94.6,6,56.4,-38.3
重賞,芝,3,47,1,146.2,0,0.0,-146.2
重賞,芝,4,47,2,38.8,1,36.5,-2.2
重賞,芝,5,47,4,27.2,3,20.8,-6.4
重賞,ダ,3,10,0,0.0,0,0.0,0.0
重賞,ダ,4,10,1,21.5,1,21.5,0.0
重賞,ダ,5,10,1,8.6,1,8.6,0.0
