variant,group,n,bet,hit_rate_pct,roi_pct
現行（そのまま）,全体,660,複勝(top1),47.27,76.03
現行（そのまま）,全体,660,5着以内(top1),64.09,
現行（そのまま）,全体,660,馬連1-2,8.03,140.97
現行（そのまま）,全体,660,三連複4頭BOX,7.88,61.14
現行（そのまま）,全体,660,三連複5頭BOX,15.45,61.6
現行（そのまま）,2勝クラス×ダ,160,複勝(top1),45.62,85.12
現行（そのまま）,2勝クラス×ダ,160,5着以内(top1),60.62,
現行（そのまま）,2勝クラス×ダ,160,馬連1-2,6.25,45.62
現行（そのまま）,2勝クラス×ダ,160,三連複4頭BOX,7.5,52.45
現行（そのまま）,2勝クラス×ダ,160,三連複5頭BOX,17.5,85.03
現行（そのまま）,2勝クラス×芝,151,複勝(top1),58.94,76.75
現行（そのまま）,2勝クラス×芝,151,5着以内(top1),76.82,
現行（そのまま）,2勝クラス×芝,151,馬連1-2,8.61,64.3
現行（そのまま）,2勝クラス×芝,151,三連複4頭BOX,10.6,43.16
現行（そのまま）,2勝クラス×芝,151,三連複5頭BOX,18.54,32.26
現行（そのまま）,3勝クラス×ダ,71,複勝(top1),49.3,89.15
現行（そのまま）,3勝クラス×ダ,71,5着以内(top1),67.61,
現行（そのまま）,3勝クラス×ダ,71,馬連1-2,14.08,293.24
現行（そのまま）,3勝クラス×ダ,71,三連複4頭BOX,8.45,104.82
現行（そのまま）,3勝クラス×ダ,71,三連複5頭BOX,12.68,53.01
現行（そのまま）,3勝クラス×芝,81,複勝(top1),49.38,77.28
現行（そのまま）,3勝クラス×芝,81,5着以内(top1),60.49,
現行（そのまま）,3勝クラス×芝,81,馬連1-2,7.41,222.35
現行（そのまま）,3勝クラス×芝,81,三連複4頭BOX,4.94,20.34
現行（そのまま）,3勝クラス×芝,81,三連複5頭BOX,16.05,75.25
現行（そのまま）,OP×ダ,48,複勝(top1),37.5,73.33
現行（そのまま）,OP×ダ,48,5着以内(top1),50.0,
現行（そのまま）,OP×ダ,48,馬連1-2,16.67,593.33
現行（そのまま）,OP×ダ,48,三連複4頭BOX,6.25,142.5
現行（そのまま）,OP×ダ,48,三連複5頭BOX,12.5,76.9
現行（そのまま）,OP×芝,57,複勝(top1),49.12,73.86
現行（そのまま）,OP×芝,57,5着以内(top1),66.67,
現行（そのまま）,OP×芝,57,馬連1-2,8.77,147.72
現行（そのまま）,OP×芝,57,三連複4頭BOX,12.28,67.5
現行（そのまま）,OP×芝,57,三連複5頭BOX,17.54,93.7
現行（そのまま）,重賞×ダ,11,複勝(top1),36.36,56.36
現行（そのまま）,重賞×ダ,11,5着以内(top1),54.55,
現行（そのまま）,重賞×ダ,11,馬連1-2,9.09,27.27
現行（そのまま）,重賞×ダ,11,三連複4頭BOX,9.09,19.55
現行（そのまま）,重賞×ダ,11,三連複5頭BOX,9.09,7.82
現行（そのまま）,重賞×芝,81,複勝(top1),30.86,49.75
現行（そのまま）,重賞×芝,81,5着以内(top1),55.56,
現行（そのまま）,重賞×芝,81,馬連1-2,0.0,0.0
現行（そのまま）,重賞×芝,81,三連複4頭BOX,3.7,67.25
現行（そのまま）,重賞×芝,81,三連複5頭BOX,8.64,39.57
pace_fit=0,全体,660,複勝(top1),48.33,74.45
pace_fit=0,全体,660,5着以内(top1),64.55,
pace_fit=0,全体,660,馬連1-2,7.12,119.76
pace_fit=0,全体,660,三連複4頭BOX,7.58,51.38
pace_fit=0,全体,660,三連複5頭BOX,13.94,55.85
pace_fit=0,2勝クラス×ダ,160,複勝(top1),46.25,80.0
pace_fit=0,2勝クラス×ダ,160,5着以内(top1),61.88,
pace_fit=0,2勝クラス×ダ,160,馬連1-2,6.88,70.88
pace_fit=0,2勝クラス×ダ,160,三連複4頭BOX,7.5,59.95
pace_fit=0,2勝クラス×ダ,160,三連複5頭BOX,12.5,86.24
pace_fit=0,2勝クラス×芝,151,複勝(top1),58.94,72.19
pace_fit=0,2勝クラス×芝,151,5着以内(top1),76.82,
pace_fit=0,2勝クラス×芝,151,馬連1-2,7.28,49.93
pace_fit=0,2勝クラス×芝,151,三連複4頭BOX,10.6,41.39
pace_fit=0,2勝クラス×芝,151,三連複5頭BOX,19.87,36.14
pace_fit=0,3勝クラス×ダ,71,複勝(top1),49.3,90.0
pace_fit=0,3勝クラス×ダ,71,5着以内(top1),67.61,
pace_fit=0,3勝クラス×ダ,71,馬連1-2,11.27,278.45
pace_fit=0,3勝クラス×ダ,71,三連複4頭BOX,7.04,43.38
pace_fit=0,3勝クラス×ダ,71,三連複5頭BOX,11.27,28.3
pace_fit=0,3勝クラス×芝,81,複勝(top1),53.09,83.7
pace_fit=0,3勝クラス×芝,81,5着以内(top1),65.43,
pace_fit=0,3勝クラス×芝,81,馬連1-2,8.64,226.91
pace_fit=0,3勝クラス×芝,81,三連複4頭BOX,6.17,32.19
pace_fit=0,3勝クラス×芝,81,三連複5頭BOX,14.81,71.33
pace_fit=0,OP×ダ,48,複勝(top1),39.58,67.92
pace_fit=0,OP×ダ,48,5着以内(top1),52.08,
pace_fit=0,OP×ダ,48,馬連1-2,10.42,317.5
pace_fit=0,OP×ダ,48,三連複4頭BOX,4.17,80.89
pace_fit=0,OP×ダ,48,三連複5頭BOX,10.42,41.4
pace_fit=0,OP×芝,57,複勝(top1),49.12,73.86
pace_fit=0,OP×芝,57,5着以内(top1),64.91,
pace_fit=0,OP×芝,57,馬連1-2,7.02,113.51
pace_fit=0,OP×芝,57,三連複4頭BOX,12.28,51.54
