rid,cls,偏差値
202403030101,未勝利,49.64335725251737
202403030102,未勝利,48.25508495135932
202403030103,未勝利,47.957962726069674
202403030104,1勝クラス,48.53528003915229
202403030106,1勝クラス,45.09314224060161
202403030107,1勝クラス,48.34643904398404
202403030108,1勝クラス,47.082580195133
202403030109,1勝クラス,43.61959773965347
202403030110,2勝クラス,55.73414246157834
202403030111,3勝クラス,53.71864705519557
202403030112,1勝クラス,45.079193868358004
202403030201,未勝利,45.56157306330712
202403030202,未勝利,41.7303269708477
202403030203,1勝クラス,46.466632206606405
202403030207,1勝クラス,44.738832921601585
202403030208,1勝クラス,46.68891551174535
202403030209,1勝クラス,50.977739571450556
202403030210,2勝クラス,54.54656645195129
202403030211,OP,63.06211042524567
202403030212,1勝クラス,43.69942172680213
202403030301,未勝利,45.136942506370005
202403030302,未勝利,43.399413764093424
202403030303,未勝利,40.9332555160379
202403030304,1勝クラス,43.19023140725815
202403030306,1勝クラス,41.7711894257646
202403030307,1勝クラス,44.178252060105
202403030308,1勝クラス,42.53701026048551
202403030309,1勝クラス,49.321975545188884
202403030310,2勝クラス,53.37516518244038
202403030311,3勝クラス,66.44170904129003
202403030312,1勝クラス,44.91118137930717
202403030401,1勝クラス,46.83244373412216
202403030402,未勝利,43.36912082213078
202403030403,1勝クラス,48.91678580270583
202403030407,1勝クラス,45.133621317844714
202403030408,1勝クラス,47.23852986189348
202403030409,OP,56.02217644514389
202403030410,2勝クラス,57.44123085890115
202403030411,重賞,61.9268211688049
202403030412,1勝クラス,45.10034930146867
202403030501,1勝クラス,44.4397567238587
202403030502,未勝利,50.4807620930236
202403030503,未勝利,44.605567638402924
202403030506,1勝クラス,45.800912683143075
202403030507,未勝利,43.88905957075151
202403030508,1勝クラス,41.365874635487856
202403030509,1勝クラス,47.29392253450484
202403030510,2勝クラス,57.257214848496616
202403030511,3勝クラス,59.97860790236548
202403030512,1勝クラス,41.238746705103715
202403030601,未勝利,47.22621387397796
202403030602,1勝クラス,43.10242875120512
202403030603,1勝クラス,47.73428929487533
202403030606,未勝利,47.573343139014625
202403030607,1勝クラス,41.80790318362689
202403030608,1勝クラス,50.29348230774076
202403030609,1勝クラス,46.200925190716134
202403030610,2勝クラス,55.70953924318523
202403030611,OP,66.95389017413473
202403030612,1勝クラス,44.87807345127723
202404040102,未勝利,48.65108005851971
202404040103,1勝クラス,42.947066853513746
202404040106,未勝利,42.78421804843763
202404040107,1勝クラス,45.946378827763056
202404040108,1勝クラス,47.839244448717366
202404040109,1勝クラス,49.888302043054004
202404040110,1勝クラス,46.00645386148278
202404040111,2勝クラス,59.190646733633095
202404040112,1勝クラス,41.2443813234638
202404040201,未勝利,46.354433605272014
202404040202,未勝利,45.81826903770258
202404040203,1勝クラス,53.50099357756064
202404040206,未勝利,42.12585260917254
202404040207,1勝クラス,44.75465248808221
202404040208,1勝クラス,51.42231641083533
202404040209,1勝クラス,45.17815975684739
202404040210,2勝クラス,54.0186175252587
202404040211,3勝クラス,56.666194819677386
202404040212,1勝クラス,47.96326259410981
202404040302,未勝利,43.811860118657414
202404040303,1勝クラス,42.71111873268904
202404040306,未勝利,49.49812004203824
202404040307,1勝クラス,46.75269006600086
202404040308,1勝クラス,52.35870492142154
202404040309,1勝クラス,44.54721871858204
202404040310,1勝クラス,51.491228940221184
202404040311,2勝クラス,51.74557789799833
202404040312,1勝クラス,51.297180599249174
202404040401,未勝利,43.808000093206545
202404040402,未勝利,44.18694188470084
202404040403,未勝利,39.92032164115583
202404040404,1勝クラス,48.58845560592487
202404040406,1勝クラス,41.28333698978379
202404040407,1勝クラス,48.156025324960446
202404040408,1勝クラス,49.778720274620106
202404040409,1勝クラス,42.56148200030463
202404040410,2勝クラス,59.56774669906811
202404040411,OP,65.1414078906818
202404040412,1勝クラス,53.11140005594791
202404040502,未勝利,60.28684988945842
202404040503,未勝利,43.33371682604449
202404040505,未勝利,35.37888949260622
202404040506,1勝クラス,47.246204422784245
202404040507,1勝クラス,48.740644944940286
202404040508,1勝クラス,48.789780477388526
202404040509,1勝クラス,50.08738467673181
