クラス,コース,N頭BOX,レース数,rising非ゼロ数,現行ROI,rising=0_ROI,ROI差_rising,pace=0_ROI,ROI差_pace,両方=0_ROI,ROI差_両方,現行的中,rising=0的中
2勝クラス,芝,3,95,94,34.9,98.6,63.7,24.2,-10.7,110.5,75.6,5,7
2勝クラス,芝,4,95,94,47.4,53.1,5.8,44.6,-2.8,50.3,2.9,14,16
2勝クラス,芝,5,95,94,42.8,49.7,7.0,48.9,6.2,46.4,3.6,26,25
2勝クラス,ダ,3,139,0,18.7,18.7,0.0,142.9,124.2,142.9,124.2,2,2
2勝クラス,ダ,4,139,0,52.2,52.2,0.0,69.0,16.8,69.0,16.8,11,11
2勝クラス,ダ,5,139,0,94.6,94.6,0.0,99.3,4.7,99.3,4.7,27,27
3勝クラス,芝,3,49,49,0.0,0.0,0.0,58.6,58.6,0.0,0.0,0,0
3勝クラス,芝,4,49,49,33.6,15.0,-18.6,53.2,19.6,30.0,-3.6,4,2
3勝クラス,芝,5,49,49,113.4,35.8,-77.6,115.6,2.2,56.6,-56.8,11,8
3勝クラス,ダ,3,66,0,18.2,18.2,0.0,107.1,88.9,107.1,88.9,1,1
3勝クラス,ダ,4,66,0,112.8,112.8,0.0,46.7,-66.1,46.7,-66.1,6,6
3勝クラス,ダ,5,66,0,52.7,52.7,0.0,30.4,-22.3,30.4,-22.3,8,8
OP,芝,3,40,40,84.0,218.8,134.8,84.0,0.0,84.0,0.0,2,3
OP,芝,4,40,40,69.2,64.0,-5.2,290.1,220.9,41.2,-28.0,7,6
OP,芝,5,40,40,212.0,33.1,-178.9,199.5,-12.5,132.4,-79.6,10,9
OP,ダ,3,39,0,665.4,665.4,0.0,398.2,-267.2,398.2,-267.2,2,2
OP,ダ,4,39,0,175.4,175.4,0.0,99.6,-75.8,99.6,-75.8,3,3
OP,ダ,5,39,0,94.6,94.6,0.0,56.4,-38.3,56.4,-38.3,6,6
重賞,芝,3,47,47,146.2,0.0,-146.2,0.0,-146.2,0.0,-146.2,1,0
重賞,芝,4,47,47,38.8,18.4,-20.4,36.5,-2.2,74.1,35.4,2,2
重賞,芝,5,47,47,27.2,61.1,33.9,20.8,-6.4,38.9,11.7,4,4
重賞,ダ,3,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
重賞,ダ,4,10,0,21.5,21.5,0.0,21.5,0.0,21.5,0.0,1,1
重賞,ダ,5,10,0,8.6,8.6,0.0,8.6,0.0,8.6,0.0,1,1
