type,race_id,race_class,surface,name,rank
遠征,202503030110,2勝クラス,芝,イツモニコニコ,1
遠征,202503030110,2勝クラス,芝,フードマン,3
遠征,202503030110,2勝クラス,芝,シアター,4
遠征,202503030110,2勝クラス,芝,コウセキ,13
遠征,202503030110,2勝クラス,芝,バシレウスシチー,16
遠征,202503030111,3勝クラス,芝,ロードトレイル,3
遠征,202503030111,3勝クラス,芝,メイショウピース,4
遠征,202503030111,3勝クラス,芝,ロードマイライフ,6
遠征,202503030111,3勝クラス,芝,ジャスパーノワール,12
遠征,202503030210,2勝クラス,ダ,アレナパラシオ,1
遠征,202503030210,2勝クラス,ダ,カペルブリュッケ,2
遠征,202503030210,2勝クラス,ダ,タカサンフェイス,8
遠征,202503030210,2勝クラス,ダ,サヴァビアン,11
遠征,202503030210,2勝クラス,ダ,グランキングオー,15
遠征,202503030211,OP,芝,レイピア,1
遠征,202503030211,OP,芝,タマモブラックタイ,4
遠征,202503030211,OP,芝,レッドヒルシューズ,8
遠征,202503030211,OP,芝,バンデルオーラ,9
遠征,202503030211,OP,芝,エイムインライフ,13
遠征,202503030211,OP,芝,エイシンワンド,15
遠征,202503030310,2勝クラス,ダ,テーオールビー,1
遠征,202503030310,2勝クラス,ダ,ギマール,4
遠征,202503030310,2勝クラス,ダ,チカミリオン,12
遠征,202503030311,3勝クラス,ダ,ファムエレガンテ,2
遠征,202503030311,3勝クラス,ダ,ミラバーグマン,7
遠征,202503030311,3勝クラス,ダ,フラップシグナス,8
遠征,202503030311,3勝クラス,ダ,ハンベルジャイト,9
遠征,202503030311,3勝クラス,ダ,メイショウキルギス,12
遠征,202503030409,OP,芝,タマモイカロス,1
遠征,202503030409,OP,芝,コラルリーフ,2
遠征,202503030409,OP,芝,アルスマグナ,13
遠征,202503030410,2勝クラス,芝,ローザサンリヴァル,1
遠征,202503030410,2勝クラス,芝,サトノソティラス,2
遠征,202503030410,2勝クラス,芝,カエルム,6
遠征,202503030411,OP,ダ,ポッドロゴ,1
遠征,202503030411,OP,ダ,ピースオブザライフ,5
遠征,202503030411,OP,ダ,ホールシバン,8
遠征,202503030411,OP,ダ,サンライズアリオン,9
遠征,202503030411,OP,ダ,モズミギカタアガリ,10
遠征,202503030411,OP,ダ,エコロガイア,11
遠征,202503030411,OP,ダ,マーブルロック,13
遠征,202503030411,OP,ダ,レアンダー,15
遠征,202503030510,2勝クラス,ダ,オトメナシャチョウ,5
遠征,202503030510,2勝クラス,ダ,アネモス,6
遠征,202503030510,2勝クラス,ダ,パルプフィクション,13
遠征,202503030511,重賞,芝,クリノメイ,9
遠征,202503030511,重賞,芝,コガネノソラ,11
遠征,202503030511,重賞,芝,バビット,12
遠征,202503030511,重賞,芝,イングランドアイズ,15
遠征,202504040110,2勝クラス,ダ,ファムエレガンテ,1
遠征,202504040110,2勝クラス,ダ,ザウリ,2
遠征,202504040110,2勝クラス,ダ,ストリンジェンド,4
遠征,202504040110,2勝クラス,ダ,ジャスパーバローズ,11
遠征,202504040111,3勝クラス,芝,ソルトクィーン,2
遠征,202504040111,3勝クラス,芝,レッドエヴァンス,6
遠征,202504040111,3勝クラス,芝,トールキン,8
遠征,202504040111,3勝クラス,芝,アルトシュタット,9
遠征,202504040111,3勝クラス,芝,シカゴスティング,10
遠征,202504040111,3勝クラス,芝,ウルトラソニック,11
遠征,202504040111,3勝クラス,芝,パクスロマーナ,14
遠征,202504040111,3勝クラス,芝,アスティスプマンテ,17
遠征,202504040210,2勝クラス,芝,ゼンダンタカ,8
遠征,202504040210,2勝クラス,芝,インテンソ,16
遠征,202504040210,2勝クラス,芝,ディーエスショウマ,18
遠征,202504040211,OP,芝,フレミングフープ,2
遠征,202504040211,OP,芝,チルカーノ,6
遠征,202504040211,OP,芝,エリカヴィータ,7
遠征,202504040211,OP,芝,カヨウネンカ,13
遠征,202504040310,2勝クラス,ダ,タマモキャリコ,5
遠征,202504040310,2勝クラス,ダ,キングオブフジ,7
遠征,202504040310,2勝クラス,ダ,ユメハハテシナク,14
遠征,202504040311,3勝クラス,芝,ヴィレム,2
遠征,202504040311,3勝クラス,芝,タガノデュード,3
遠征,202504040311,3勝クラス,芝,マイネルエニグマ,4
遠征,202504040311,3勝クラス,芝,キャントウェイト,8
遠征,202504040311,3勝クラス,芝,モズマーヴェリック,11
遠征,202504040311,3勝クラス,芝,シルキーガール,13
遠征,202504040311,3勝クラス,芝,ナヴォーナ,14
遠征,202504040311,3勝クラス,芝,シャンデルナゴル,17
遠征,202504040311,3勝クラス,芝,ダノンフロイデ,18
遠征,202504040410,2勝クラス,芝,ディーガレジェンド,4
遠征,202504040410,2勝クラス,芝,シルバープリペット,5
遠征,202504040410,2勝クラス,芝,フルレゾン,8
遠征,202504040410,2勝クラス,芝,カリーニョ,9
遠征,202504040410,2勝クラス,芝,マイネルシーマー,10
遠征,202504040410,2勝クラス,芝,バルダンツァ,12
遠征,202504040410,2勝クラス,芝,ジェモロジー,14
遠征,202504040410,2勝クラス,芝,アルファヒディ,16
遠征,202504040411,OP,芝,シロン,10
遠征,202504040411,OP,芝,タツダイヤモンド,13
遠征,202504040411,OP,芝,サウンドアレグリア,14
遠征,202505040109,2勝クラス,芝,マテンロウブラボー,4
遠征,202505040109,2勝クラス,芝,エバーグルーヴ,7
遠征,202505040109,2勝クラス,芝,ジッピーレーサー,9
遠征,202505040110,3勝クラス,芝,ユハンヌス,2
遠征,202505040110,3勝クラス,芝,スカイハイ,3
遠征,202505040110,3勝クラス,芝,レディマリオン,4
遠征,202505040110,3勝クラス,芝,コト,6
遠征,202505040111,OP,ダ,オメガギネス,1
遠征,202505040111,OP,ダ,マテンロウコマンド,2
遠征,202505040111,OP,ダ,バトゥーキ,6
遠征,202505040111,OP,ダ,サトノルフィアン,8
遠征,202505040111,OP,ダ,ニシキギミッチー,10
遠征,202505040111,OP,ダ,テイエムリステット,13
遠征,202505040112,2勝クラス,ダ,シホノペルフェット,11
遠征,202505040209,2勝クラス,芝,タイセイカレント,3
遠征,202505040209,2勝クラス,芝,チューラワンサ,5
遠征,202505040209,2勝クラス,芝,エクストラバック,10
遠征,202505040209,2勝クラス,芝,コーティアスマナー,13
遠征,202505040209,2勝クラス,芝,フードマン,14
遠征,202505040210,3勝クラス,ダ,アルゴナヴィス,4
遠征,202505040210,3勝クラス,ダ,ガンウルフ,8
遠征,202505040210,3勝クラス,ダ,グラヴィス,14
遠征,202505040211,重賞,芝,エルトンバローズ,5
遠征,202505040211,重賞,芝,チェルヴィニア,7
遠征,202505040211,重賞,芝,ロングラン,8
遠征,202505040212,2勝クラス,ダ,スマートスピア,3
遠征,202505040212,2勝クラス,ダ,ベルダイナフェロー,4
遠征,202505040212,2勝クラス,ダ,クールブロン,5
遠征,202505040212,2勝クラス,ダ,サラサハウプリティ,13
遠征,202505040309,2勝クラス,芝,ミントマーク,2
遠征,202505040309,2勝クラス,芝,ゴージョニーゴー,9
遠征,202505040310,2勝クラス,ダ,シャンパンポップ,1
遠征,202505040310,2勝クラス,ダ,ジョウショーパワー,12
遠征,202505040311,重賞,芝,アスクエジンバラ,7
遠征,202505040409,2勝クラス,芝,アイサンサン,1
遠征,202505040409,2勝クラス,芝,ネーヴェフレスカ,10
遠征,202505040410,3勝クラス,ダ,ワイワイレジェンド,1
遠征,202505040410,3勝クラス,ダ,ペプチドタイガー,2
遠征,202505040410,3勝クラス,ダ,アンシール,3
遠征,202505040410,3勝クラス,ダ,マーブルマウンテン,4
遠征,202505040410,3勝クラス,ダ,タイセイレスポンス,12
遠征,202505040411,重賞,芝,ラヴァンダ,1
遠征,202505040411,重賞,芝,サフィラ,12
遠征,202505040411,重賞,芝,ドゥアイズ,13
遠征,202505040411,重賞,芝,ピースオブザライフ,15
遠征,202505040412,2勝クラス,ダ,エイプリルインパリ,2
遠征,202505040412,2勝クラス,ダ,ペイシャケイプ,3
