日付,競馬場,レース名,クラス,距離,出走頭数,馬名,馬番,予想順位,予想スコア,単勝オッズ,市場人気,実着順,前走重賞近差,前々走重賞近差,前走3F最速,同コース実績,調教A評価,叩き2戦目,近走上昇傾向,距離短縮,前走好走,前々走好走,グレード実績(3-4走前),血統距離適性,初馬場種別,距離延長,昇級初戦,特殊条件,前走ローカル,長期休養明け,枠番補正,内枠先行,軽量馬加点,複勝安定ボーナス,騎手ボーナス(重賞),急坂好走なし,馬体重変動,回り不適,季節×性別,道悪適性
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,ヴァンヴィーヴ,4,1,9.0,2.6,1,2,0,0.0,4,0,0,0,0.0,0.0,1.0,0.0,1.0,0.5,0,0,0,0,0,0,0.5,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,バシレイア,5,2,7.0,7.4,3,9,0,0.0,0,4,0,1,0.0,0.0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,バンブルビー,12,3,6.0,15.2,5,3,0,0.0,0,4,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,ホウオウブースター,2,4,6.0,8.8,4,5,0,0.0,0,4,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,アタリダイキチ,11,5,5.5,23.2,8,7,0,0.0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,アサクサグレース,16,6,2.0,3.7,2,1,0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,マルプリ,14,7,1.5,117.3,15,8,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,クリノハレルヤ,6,8,1.5,73.8,14,16,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,-3,0.5,3.0,0,0.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,シュラフ,1,9,1.0,72.5,13,14,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,-2,0,0.0,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年4月11日,福島,花見山特別,2勝クラス,1200m,16,ゴキゲンサン,7,10,0.5,71.9,12,10,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
