日付,競馬場,レース名,クラス,コース,距離,出走頭数,馬名,馬番,予想順位,予想スコア,単勝オッズ,市場人気,実着順,調教あり,前走重賞近差,前々走重賞近差,前走3F最速,同コース実績,調教A評価,叩き2戦目,近走上昇傾向,距離短縮,前走好走,前々走好走,グレード実績(3-4走前),血統距離適性,初馬場種別,距離延長,昇級初戦,特殊条件,前走ローカル,長期休養明け,枠番補正,内枠先行,軽量馬加点,複勝安定ボーナス,勝利数ボーナス,内容評価スコア,騎手フォーム,急坂パワー,馬体重変動,回り不適,季節×性別,道悪適性,ペース適性,競馬場巧者,騎手ボーナス(重賞)
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,サムシャイン,4,1,16.88,1.7,1,3,○,0,0.0,2.0,3.0,1.0,1,0.0,0.0,0.4,0.2,0.0,0.0,0,0,0,0,0.0,0,0.0,1.0,0.0,2.2,5.0,0.0,1.0,0.0,0,0,-1,2.0,-1.0,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,グレイテストソング,3,2,14.5,6.8,2,5,○,0,0.0,0.0,3.0,2.0,1,0.0,0.0,0.4,0.4,1.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,2.2,5.0,0.0,0.0,0.0,0,0,-1,-1.0,1.5,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,ドバイブルース,14,3,8.0,9.2,4,1,○,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,2.2,2.5,0.0,1.0,0.0,0,0,-1,2.0,-1.0,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,ナチュラルリバー,8,4,4.88,107.0,13,10,○,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.4,0.0,0.5,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,0.0,0,0,-1,-1.0,1.5,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,パフ,13,5,4.0,7.8,3,7,○,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,0,-1,2.0,-1.0,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,スピーディブレイク,9,6,3.75,36.4,8,8,○,0,0.0,0.0,2.0,2.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1.0,1.5,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,マンダリンボレロ,1,7,3.5,41.3,9,2,○,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,-2.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0,0,-1,2.0,-1.0,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,リアド,7,8,3.5,27.2,7,12,○,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,-0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,-1,-1.0,1.5,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,サパテアール,11,9,3.0,59.5,10,13,○,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,0,0,-1.0,1.5,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,ワイドブリザード,5,10,2.75,10.4,5,4,○,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.4,0.4,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.5,2.5,0.0,0.0,0.0,0,0,0,-1.0,-2.0,0.0,
2025年7月5日,函館,竜飛崎特別,2勝クラス,ダ,1700m,14,チョメチョメ,10,11,2.5,208.2,14,14,○,0,0.0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,-0.5,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,-1,-1.0,1.5,-1.5,
