日付,競馬場,レース名,クラス,距離,出走頭数,馬名,馬番,予想順位,予想スコア,単勝オッズ,市場人気,実着順,前走重賞近差,前々走重賞近差,前走3F最速,同コース実績,調教A評価,叩き2戦目,近走上昇傾向,距離短縮,前走好走,前々走好走,グレード実績(3-4走前),血統距離適性,初馬場種別,距離延長,昇級初戦,特殊条件,前走ローカル,長期休養明け,枠番補正,内枠先行,軽量馬加点,複勝安定ボーナス,急坂好走なし,馬体重変動,回り不適,季節×性別,道悪適性
2026年1月4日,中山,ジュニアC,OP,1600m,8,サレジオ,5,1,8.5,3.3,2,2,0,0.0,2,0,3,1,0.0,1.0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年1月4日,中山,ジュニアC,OP,1600m,8,マーゴットブロー,2,2,8.0,7.1,4,7,0,0.0,0,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,-3,0,0,0,0,0.0,3.0,0,0.0,0,0,0,0,0.0
2026年1月4日,中山,ジュニアC,OP,1600m,8,ジーティーシンドウ,7,3,7.5,3.8,3,3,0,0.0,0,4,2,0,0.0,0.0,2.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年1月4日,中山,ジュニアC,OP,1600m,8,リゾートアイランド,4,4,5.5,2.3,1,1,0,0.0,0,0,2,0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0,0,0,0,0.0
2026年1月4日,中山,ジュニアC,OP,1600m,8,グランセレスト,6,5,2.0,31.1,6,4,0,0.0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年1月4日,中山,ジュニアC,OP,1600m,8,コスモギガンティア,1,6,1.5,45.0,7,5,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,2.0,-2,0,0,0,0.0
2026年1月4日,中山,ジュニアC,OP,1600m,8,オーライカモン,8,7,1.0,15.3,5,6,0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年1月4日,中山,ジュニアC,OP,1600m,8,フレンドモナコ,3,8,-3.0,97.1,8,8,0,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0,-5,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年1月4日,中山,中山金杯,重賞,2000m,14,アンゴラブラック,2,1,18.5,3.2,1,2,0,0.0,4,4,3,1,0.0,0.0,0.0,1.0,1.0,1.0,0,-1,0,0,0,0,-0.5,3.0,0,3.0,0,0,0,-1,0.0
2026年1月4日,中山,中山金杯,重賞,2000m,14,カネラフィーナ,3,2,17.5,4.6,2,4,0,0.0,0,4,2,1,0.0,1.0,2.0,1.0,1.0,0.0,0,0,0,0,0,0,-0.5,3.0,1,3.0,0,0,0,-1,0.0
