予想順位,クラス,出現頭数,1着数,1着率%,2着数,2着率%,3着数,3着率%,複勝数,複勝率%,連対数,連対率%,4着以下数,4着以下率%
1,全体,77,22,28.6,11,14.3,13,16.9,46,59.7,33,42.9,31,40.3
1,2勝クラス,40,12,30.0,10,25.0,4,10.0,26,65.0,22,55.0,14,35.0
1,OP,17,5,29.4,0,0.0,6,35.3,11,64.7,5,29.4,6,35.3
1,重賞,20,5,25.0,1,5.0,3,15.0,9,45.0,6,30.0,11,55.0
2,全体,77,15,19.5,9,11.7,10,13.0,34,44.2,24,31.2,43,55.8
2,2勝クラス,40,9,22.5,4,10.0,7,17.5,20,50.0,13,32.5,20,50.0
2,OP,17,1,5.9,2,11.8,2,11.8,5,29.4,3,17.6,12,70.6
2,重賞,20,5,25.0,3,15.0,1,5.0,9,45.0,8,40.0,11,55.0
3,全体,77,9,11.7,12,15.6,10,13.0,31,40.3,21,27.3,46,59.7
3,2勝クラス,40,4,10.0,5,12.5,7,17.5,16,40.0,9,22.5,24,60.0
3,OP,17,3,17.6,3,17.6,1,5.9,7,41.2,6,35.3,10,58.8
3,重賞,20,2,10.0,4,20.0,2,10.0,8,40.0,6,30.0,12,60.0
4,全体,77,5,6.5,13,16.9,9,11.7,27,35.1,18,23.4,50,64.9
4,2勝クラス,40,3,7.5,8,20.0,7,17.5,18,45.0,11,27.5,22,55.0
4,OP,17,0,0.0,3,17.6,1,5.9,4,23.5,3,17.6,13,76.5
4,重賞,20,2,10.0,2,10.0,1,5.0,5,25.0,4,20.0,15,75.0
5,全体,77,5,6.5,5,6.5,5,6.5,15,19.5,10,13.0,62,80.5
5,2勝クラス,40,0,0.0,3,7.5,4,10.0,7,17.5,3,7.5,33,82.5
5,OP,17,4,23.5,2,11.8,1,5.9,7,41.2,6,35.3,10,58.8
5,重賞,20,1,5.0,0,0.0,0,0.0,1,5.0,1,5.0,19,95.0
6,全体,77,4,5.2,2,2.6,7,9.1,13,16.9,6,7.8,64,83.1
6,2勝クラス,40,2,5.0,0,0.0,3,7.5,5,12.5,2,5.0,35,87.5
6,OP,17,1,5.9,0,0.0,1,5.9,2,11.8,1,5.9,15,88.2
6,重賞,20,1,5.0,2,10.0,3,15.0,6,30.0,3,15.0,14,70.0
7,全体,77,2,2.6,4,5.2,7,9.1,13,16.9,6,7.8,64,83.1
7,2勝クラス,40,2,5.0,2,5.0,3,7.5,7,17.5,4,10.0,33,82.5
7,OP,17,0,0.0,1,5.9,0,0.0,1,5.9,1,5.9,16,94.1
7,重賞,20,0,0.0,1,5.0,4,20.0,5,25.0,1,5.0,15,75.0
8,全体,77,3,3.9,5,6.5,4,5.2,12,15.6,8,10.4,65,84.4
8,2勝クラス,40,1,2.5,4,10.0,2,5.0,7,17.5,5,12.5,33,82.5
8,OP,17,2,11.8,1,5.9,1,5.9,4,23.5,3,17.6,13,76.5
8,重賞,20,0,0.0,0,0.0,1,5.0,1,5.0,0,0.0,19,95.0
9,全体,72,5,6.9,4,5.6,5,6.9,14,19.4,9,12.5,58,80.6
9,2勝クラス,35,5,14.3,2,5.7,1,2.9,8,22.9,7,20.0,27,77.1
9,OP,17,0,0.0,1,5.9,2,11.8,3,17.6,1,5.9,14,82.4
9,重賞,20,0,0.0,1,5.0,2,10.0,3,15.0,1,5.0,17,85.0
10,全体,66,3,4.5,2,3.0,3,4.5,8,12.1,5,7.6,58,87.9
10,2勝クラス,30,1,3.3,1,3.3,1,3.3,3,10.0,2,6.7,27,90.0
10,OP,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,100.0
10,重賞,20,2,10.0,1,5.0,2,10.0,5,25.0,3,15.0,15,75.0
11,全体,60,1,1.7,1,1.7,1,1.7,3,5.0,2,3.3,57,95.0
11,2勝クラス,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,100.0
11,OP,16,1,6.2,1,6.2,1,6.2,3,18.8,2,12.5,13,81.2
11,重賞,19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,100.0
