順位,実際着順,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,15,3,6,ルシュヴァルドール,+9.0,+4.0同コース実績 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +3.0内枠先行,
2,1,2,4,ムルソー,+8.5,+1.0叩き2戦目 / +1.0距離短縮 / +1.0前走好走 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,
3,8,7,14,シュラザック,+7.0,+4.0同コース実績 / +1.0叩き2戦目 / +1.0前々走好走 / +1.0グレード実績(3-4走前),
4,12,8,16,ジューンアヲニヨシ,+6.5,+2.0同コース近距離実績 / +1.0距離短縮 / +2.0前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,
5,5,4,8,サンデーファンデー,+4.5,+1.0叩き2戦目 / +1.0近走上昇傾向 / +2.0前走好走 / +0.5前々走好走,
6,4,2,3,タガノバビロン,+3.0,+1.0叩き2戦目 / +1.0前走好走 / +1.0グレード実績(3-4走前),
7,16,5,9,ピカピカサンダー,+3.0,+1.0叩き2戦目 / +1.0前々走好走 / +1.0グレード実績(3-4走前),
8,2,1,2,モックモック,+2.0,+1.0叩き2戦目 / +1.0前々走好走,
9,3,3,5,ハグ,+2.0,+3.0内枠先行,-1.0急坂好走なし
10,6,1,1,ブライアンセンス,+2.0,+2.0前走3F最速 / +1.0グレード実績(3-4走前),-1.0距離延長
11,9,8,15,ロードラビリンス,+2.0,+1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-1.0急坂好走なし
12,13,7,13,メイショウズイウン,+2.0,+1.0叩き2戦目 / +1.0前々走好走,
13,7,6,11,ハピ,+1.5,+1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-1.0急坂好走なし
14,10,5,10,ジェイパームス,+1.5,+1.0叩き2戦目 / +1.0前々走好走 / +0.5血統距離適性,-1.0急坂好走なし
15,14,6,12,サイモンザナドゥ,-0.5,+1.5グレード実績(3-4走前),-2.0距離延長
16,11,4,7,ペイシャエス,-1.0,,-1.0急坂好走なし
