順位,実際着順,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,1,4,7,クロワデュノール,+8.5,+5.0前走重賞近差 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,
2,3,2,3,アドマイヤテラ,+8.5,+5.0前走重賞近差 / +1.0叩き2戦目 / +2.0グレード実績(3-4走前) / +3.0内枠先行,-0.5血統距離適性 / -2.0距離延長
3,5,7,12,ヘデントール,+8.5,+3.0前々走重賞近差 / +4.0同コース実績 / +1.0叩き2戦目 / +3.0グレード実績(3-4走前),-0.5血統距離適性 / -2.0距離延長
4,4,3,4,アクアヴァーナル,+5.5,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +3.0内枠先行,-0.5血統距離適性 / -2.0距離延長
5,14,8,14,ホーエリート,+4.5,+3.0前々走重賞近差 / +1.0叩き2戦目 / +1.0距離短縮,-0.5血統距離適性
6,2,8,15,ヴェルテンベルク,+3.5,+1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0距離短縮 / +0.5血統距離適性,
7,10,6,10,マイネルカンパーナ,+2.5,+1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性,
8,12,3,5,ケイアイサンデラ,+1.0,+2.0前走3F最速 / +1.0叩き2戦目 / +3.0内枠先行,-4.0特殊条件 / -3.0前走ローカル
9,8,7,13,ミステリーウェイ,+0.5,+1.0叩き2戦目 / +2.0グレード実績(3-4走前),-0.5血統距離適性 / -2.0距離延長
10,6,6,11,タガノデュード,+0.0,+1.0前々走好走 / +1.0グレード実績(3-4走前),-2.0距離延長
11,9,1,1,ヴェルミセル,-0.5,+1.0叩き2戦目 / +0.5血統距離適性,-2.0距離延長
12,15,4,6,エヒト,-1.5,+1.0叩き2戦目,-0.5血統距離適性 / -2.0距離延長
13,7,5,8,シンエンペラー,-2.0,,-2.0距離延長
14,11,2,2,サンライズソレイユ,-2.5,,-0.5血統距離適性 / -2.0距離延長
15,13,5,9,プレシャスデイ,-3.0,+1.0叩き2戦目 / +1.0前々走好走,-5.0距離延長
