順位,実際着順,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,2,8,15,ベレシート,+7.5,+4.0前走3F最速 / +1.0叩き2戦目 / +1.0前走好走 / +0.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-1.0距離延長
2,1,3,5,コンジェスタス,+6.0,+1.0叩き2戦目 / +2.0前走好走 / +1.0前々走好走 / +1.0血統距離適性 / +3.0内枠先行,-2.0距離延長
3,12,2,4,ティラーノ,+6.0,+1.0近走上昇傾向 / +2.0前走好走 / +0.5血統距離適性 / +3.0内枠先行,-0.5枠番補正
4,7,1,2,エムズビギン,+5.5,+1.0叩き2戦目 / +1.0前走好走 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.0枠番補正 / +3.0内枠先行,-3.0距離延長
5,14,1,1,アーレムアレス,+4.5,+1.0距離短縮 / +1.0前走好走 / +0.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0枠番補正,
6,11,4,8,バドリナート,+4.0,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-2.0距離延長
7,8,7,13,ニホンピロロジャー,+1.5,+2.0前走好走 / +0.5前々走好走 / +1.0血統距離適性,-2.0距離延長
8,3,3,6,ラディアントスター,+1.0,+2.0前走好走 / +1.0血統距離適性,-2.0距離延長
9,4,5,10,サヴォアフェール,+1.0,+1.0叩き2戦目 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-3.0距離延長
10,10,8,16,アクセス,+1.0,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0前々走好走,-3.0距離延長
11,13,6,12,キンググローリー,+1.0,+2.0前走好走 / +1.0前々走好走,-2.0距離延長
12,5,2,3,メイショウテンク,-1.0,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0前々走好走,-5.0距離延長 / -0.5枠番補正
13,15,6,11,ブリガンティン,-1.0,+1.0叩き2戦目 / +1.0前々走好走,-3.0距離延長
14,16,7,14,ステラスペース,-1.0,+1.0血統距離適性,-2.0距離延長
15,6,4,7,カムアップローゼス,-2.0,+1.0血統距離適性,-3.0距離延長
16,9,5,9,カフジエメンタール,-2.0,+1.0前々走好走,-3.0距離延長
