順位,実際着順,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,1,6,12,エンブロイダリー,+10.0,+5.0前走重賞近差 / +1.0叩き2戦目 / +3.0グレード実績(3-4走前) / +1.0血統距離適性,
2,2,4,8,カムニャック,+9.0,+4.0前走3F最速 / +1.0叩き2戦目 / +3.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正,
3,4,2,4,エリカエクスプレス,+8.5,+1.0叩き2戦目 / +1.0距離短縮 / +3.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,
4,8,7,14,ジョスラン,+8.5,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0距離短縮 / +2.0前走好走 / +2.0グレード実績(3-4走前) / +0.5血統距離適性,
5,6,8,16,ニシノティアモ,+6.5,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,
6,3,4,7,クイーンズウォーク,+6.0,+1.0叩き2戦目 / +1.0距離短縮 / +3.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正,
7,10,7,13,カナテープ,+5.5,+2.0前走3F最速 / +1.0叩き2戦目 / +2.0グレード実績(3-4走前) / +0.5血統距離適性,
8,7,3,6,ラヴァンダ,+5.0,+2.0同コース近距離実績 / +1.0叩き2戦目 / +2.0グレード実績(3-4走前),
9,5,5,9,ココナッツブラウン,+3.5,+1.0叩き2戦目 / +1.0距離短縮 / +2.0グレード実績(3-4走前),-0.5血統距離適性
10,16,8,18,チェルヴィニア,+3.5,+1.0叩き2戦目 / +1.0距離短縮 / +1.5グレード実績(3-4走前),
11,11,6,11,ボンドガール,+2.5,+1.0距離短縮 / +0.5前々走好走 / +1.0血統距離適性,
12,15,1,2,ワイドラトゥール,+2.5,+2.0前走3F最速 / +2.0グレード実績(3-4走前),-1.0距離延長 / -0.5枠番補正
13,12,8,17,パラディレーヌ,+1.5,+1.0距離短縮 / +3.0グレード実績(3-4走前) / +0.5血統距離適性,-3.0前走ローカル
14,17,1,1,カピリナ,+1.5,+1.0叩き2戦目 / +1.0前々走好走,-0.5枠番補正
15,13,7,15,アイサンサン,+0.5,+2.0前走好走 / +1.0前々走好走 / +0.5血統距離適性,-3.0距離延長
16,14,3,5,ケリフレッドアスク,-0.5,+1.0近走上昇傾向 / +1.0距離短縮 / +0.5血統距離適性,-3.0前走ローカル
17,18,5,10,ドロップオブライト,-1.5,+1.5グレード実績(3-4走前),-3.0距離延長
18,9,2,3,マピュース,-3.0,,-3.0距離延長
