順位,実際着順,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,4,7,14,ゴーイントゥスカイ,+15.5,+5.0前走重賞近差 / +4.0前走3F最速 / +4.0同コース実績 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,
2,1,8,17,ロブチェン,+10.0,+5.0前走重賞近差 / +1.0叩き2戦目 / +3.0グレード実績(3-4走前) / +1.0血統距離適性,
3,9,3,6,コンジェスタス,+9.5,+5.0前走重賞近差 / +1.0叩き2戦目 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,-2.0距離延長
4,2,7,13,パントルナイーフ,+6.5,+3.0前走重賞近差 / +3.0前々走重賞近差 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-2.0距離延長
5,3,3,5,バステール,+6.0,+3.0前走重賞近差 / +3.0前々走重賞近差 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-2.0距離延長
6,11,5,9,アウダーシア,+5.0,+5.0前走重賞近差 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-2.0距離延長 / -0.5枠番補正
7,13,4,7,メイショウハチコウ,+3.5,+2.0同コース近距離実績 / +2.0前走好走 / +1.0前々走好走 / +0.5血統距離適性,-2.0距離延長
8,14,8,18,エムズビギン,+3.5,+2.0同コース近距離実績 / +1.0叩き2戦目 / +0.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-2.0距離延長
9,12,7,15,フォルテアンジェロ,+3.0,+2.0前走3F最速 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前),-1.0距離延長
10,8,1,1,ライヒスアドラー,+2.5,+1.0グレード実績(3-4走前) / +0.5枠番補正 / +3.0内枠先行,-2.0距離延長
11,5,1,2,マテンロウゲイル,+1.5,+1.0前々走好走 / +1.5グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正,-2.0距離延長
12,7,6,11,リアライズシリウス,+1.5,+1.0叩き2戦目 / +1.0前々走好走 / +1.5グレード実績(3-4走前),-2.0距離延長
13,16,8,16,グリーンエナジー,+1.5,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0前々走好走,-0.5血統距離適性 / -2.0距離延長
14,15,2,3,ケントン,+1.0,+1.0前々走好走 / +0.5枠番補正,-0.5血統距離適性
15,6,2,4,アルトラムス,+0.0,+1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5枠番補正,-0.5血統距離適性 / -2.0距離延長
16,10,6,12,アスクエジンバラ,+0.0,+1.5グレード実績(3-4走前) / +0.5血統距離適性,-2.0距離延長
17,18,5,10,ジャスティンビスタ,-0.5,+1.0前々走好走 / +1.0グレード実績(3-4走前),-2.0距離延長 / -0.5枠番補正
18,17,4,8,ショウナンガルフ,-1.5,+1.5グレード実績(3-4走前),-3.0距離延長
