順位,実際着順,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,10,6,9,ハーツコンチェルト,+8.0,+4.0前走3F最速 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +1.0軽量馬加点,
2,3,7,11,ダノンシーマ,+6.0,+3.0前々走重賞近差 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,
3,1,3,4,ファイアンクランツ,+5.5,+1.0叩き2戦目 / +1.0距離短縮 / +1.0前走好走 / +2.0グレード実績(3-4走前) / +0.5血統距離適性,
4,5,8,14,キングスコール,+5.5,+2.0同コース近距離実績 / +2.0前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,
5,9,1,1,アマキヒ,+5.5,+1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,
6,12,8,13,ヴェルミセル,+4.0,+1.0叩き2戦目 / +1.0距離短縮 / +1.0血統距離適性 / +1.0軽量馬加点,
7,2,4,6,ウィクトルウェルス,+3.5,+1.0叩き2戦目 / +2.0前走好走 / +1.0グレード実績(3-4走前),-0.5血統距離適性
8,14,4,5,ギャンブルルーム,+3.5,+1.0叩き2戦目 / +2.0前走好走 / +0.5血統距離適性,
9,6,5,7,アスクセクシーモア,+3.0,+1.0叩き2戦目 / +1.0近走上昇傾向 / +2.0前走好走 / +1.0血統距離適性,-2.0距離延長
10,13,2,2,ショウナンバシット,+3.0,+1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +3.0内枠先行,-3.0長期休養明け
11,4,5,8,ミラージュナイト,+2.0,+1.0近走上昇傾向 / +2.0前走好走 / +1.0グレード実績(3-4走前),-2.0距離延長
12,11,3,3,ボーンディスウェイ,+1.0,+1.0血統距離適性,
13,8,6,10,マイネルケレリウス,+0.5,+0.5血統距離適性,
14,7,7,12,キングズパレス,-1.5,+0.5血統距離適性,-2.0距離延長
