順位,枠,馬番,馬名,合計スコア,着順,加点内訳,減点内訳
1,1,1,ミュージシャン,+8.0,2,+4.0同コース実績 / +2.0調教A評価 / +1.0前走好走 / +1.0枠番補正,
2,4,4,クルミナーレ,+6.5,4,+4.0同コース実績 / +1.0調教A評価 / +1.0前々走好走 / +0.5枠番補正,
3,6,7,エラン,+3.5,7,+2.0調教A評価 / +1.0距離短縮 / +0.5前々走好走,
4,2,2,ジーティーダーリン,+2.5,1,+3.0調教A評価 / +1.0前々走好走,-0.5枠番補正 / -1.0回り不適
5,6,6,バッデレイト,+2.0,3,+2.0前走3F最速 / +2.0調教A評価,-2.0距離延長
6,3,3,キャントウェイト,+0.5,5,+2.0調教A評価 / +1.0叩き2戦目,-0.5枠番補正 / -2.0急坂好走なし
7,8,10,ハギノアルデバラン,+0.0,11,+2.0調教A評価 / +1.0距離短縮,-2.0急坂好走なし / -1.0回り不適
8,8,11,イケイケドンドン,+0.0,8,+3.0調教A評価,-2.0急坂好走なし / -1.0回り不適
9,5,5,ミカッテヨンデイイ,-3.0,10,+2.0調教A評価,-2.0距離延長 / -2.0急坂好走なし / -1.0回り不適
10,7,8,ミッキーツインクル,-4.0,6,+1.0調教A評価,-5.0距離延長 / -2.0急坂好走なし
11,7,9,モズマーヴェリック,-5.0,9,,-5.0距離延長 / -2.0急坂好走なし / -1.0回り不適

払戻金
種別,組み合わせ,払戻,人気
単勝,2,2020円,7番人気
複勝,2,380円,7番人気
複勝,1,130円,1番人気
複勝,6,150円,2番人気
枠連,1-2,2480円,10番人気
馬連,1-2,2430円,11番人気
馬単,2-1,6240円,23番人気
ワイド,1-2,820円,13番人気
ワイド,2-6,1370円,17番人気
ワイド,1-6,260円,2番人気
3連複,1-2-6,3120円,12番人気
3連単,2-1-6,26060円,89番人気
