順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,5,10,マジッククッキー,+10.0,1.4,1人気,+4.0前走3F最速 / +4.0同コース実績 / +2.0調教A評価,
2,2,3,エムティエスターテ,+9.0,21.9,5人気,+4.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +3.0内枠先行,-2.0昇級初戦 / -2.0枠番補正
3,3,6,ポッドベル,+7.0,6.0,2人気,+2.0前走3F最速 / +4.0同コース実績 / +1.0調教A評価,
4,7,13,キョウエイカンセ,+4.0,29.7,6人気,+3.0調教A評価 / +1.0近走上昇傾向 / +1.0距離短縮,-1.0回り不適
5,8,16,ライジンマル,+3.0,14.9,3人気,+3.0調教A評価 / +1.0距離短縮,-1.0回り不適
6,8,15,プチブール,+2.0,36.8,9人気,+2.0調教A評価 / +1.0近走上昇傾向,-1.0回り不適
7,4,7,シホノペルフェット,+1.0,35.9,8人気,+1.0叩き2戦目 / +1.0距離短縮,-1.0回り不適
8,1,2,フクチャントウメイ,+0.0,90.8,15人気,+2.0調教A評価 / +1.0叩き2戦目,-2.0枠番補正 / -1.0回り不適
9,2,4,メッエフアパラ,-1.0,80.7,14人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0前々走好走,-5.0距離延長 / -2.0枠番補正
10,7,14,ホウオウプレミア,-1.5,16.2,4人気,+3.0調教A評価 / +0.5前々走好走,-5.0距離延長 / -1.0回り不適
11,1,1,リリージェーン,-2.0,91.8,16人気,+2.0調教A評価 / +1.0叩き2戦目,-5.0距離延長 / -2.0枠番補正 / -1.0回り不適
12,6,11,クインズシフォン,-2.0,56.8,11人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0前々走好走,-5.0距離延長 / -1.0回り不適
13,5,9,レヴィテーション,-3.0,78.2,13人気,+2.0調教A評価,-5.0距離延長 / -3.0長期休養明け / -1.0回り不適
14,6,12,ミスエル,-3.0,53.6,10人気,+1.0調教A評価 / +1.0叩き2戦目,-5.0距離延長 / -3.0前走ローカル / -1.0回り不適
15,3,5,ケープアグラス,-4.0,62.3,12人気,+1.0調教A評価,-5.0距離延長 / -1.0回り不適
16,4,8,レイアポポ,-4.0,31.1,7人気,+1.0前々走好走,-5.0距離延長 / -3.0前走ローカル / -1.0回り不適
