順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,4,7,ダイヤテソーロ,+7.5,25.5,11人気,+4.0同コース実績 / +2.0調教A評価 / +1.0近走上昇傾向 / +2.0前走好走 / +0.5枠番補正,-2.0昇級初戦
2,4,8,タイセイフレッサ,+7.5,5.4,1人気,+4.0前走3F最速 / +2.0調教A評価 / +1.0叩き2戦目 / +0.5枠番補正,
3,6,12,ゴディアーモ,+4.0,8.5,2人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0前々走好走,-1.0回り不適
4,1,1,カズノダイジョウ,+3.5,20.2,10人気,+2.0調教A評価 / +1.0近走上昇傾向 / +2.0前走好走,-1.0昇級初戦 / -0.5枠番補正
5,1,2,デスサイズ,+1.5,13.5,3人気,+1.0調教A評価 / +2.0前走好走 / +3.0内枠先行,-3.0初馬場種別 / -1.0昇級初戦 / -0.5枠番補正
6,5,10,アラスカフレイバー,+1.0,15.8,4人気,+2.0調教A評価,-1.0トップハンデ
7,6,11,イージーブリージー,+1.0,65.6,13人気,+1.0調教A評価 / +1.0叩き2戦目,-1.0回り不適
8,7,13,アンソニー,+1.0,17.1,6人気,+1.0叩き2戦目 / +1.0距離短縮,-1.0回り不適
9,7,14,ナルキッソス,+1.0,16.6,5人気,+1.0調教A評価 / +1.0叩き2戦目,-1.0回り不適
10,8,16,ソニックライン,+1.0,17.6,7人気,+2.0調教A評価,-1.0トップハンデ
11,2,3,スワローシチー,+0.0,18.1,8人気,+1.0調教A評価 / +1.0距離短縮,-1.0トップハンデ / -1.0回り不適
12,3,5,コンヴァージョン,+0.0,74.5,15人気,+2.0調教A評価,-1.0トップハンデ / -1.0回り不適
13,3,6,サトノラポール,+0.0,32.7,12人気,+1.0調教A評価 / +1.0距離短縮,-1.0前走ローカル / -1.0トップハンデ
14,5,9,リネンタイリン,+0.0,66.3,14人気,+1.0調教A評価,-1.0回り不適
15,8,15,ツインピークス,+0.0,76.3,16人気,+1.0調教A評価,-1.0回り不適
16,2,4,オメガストリーム,-2.0,133.4,17人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向,-3.0距離延長 / -1.0前走ローカル / -1.0回り不適
17,8,17,ゴールドシーン,-2.5,18.8,9人気,+2.0調教A評価 / +0.5前々走好走,-3.0距離延長 / -1.0トップハンデ / -1.0回り不適
