順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,1,1,レーベンスティール,+14.5,9.0,4人気,+3.0前走重賞近差 / +3.0前々走重賞近差 / +2.0同コース近距離実績 / +1.0距離短縮 / +2.0グレード実績(3-4走前) / +1.0血統距離適性 / +3.0内枠先行,-0.5枠番補正
2,8,17,トロヴァトーレ,+14.5,4.9,2人気,+5.0前走重賞近差 / +3.0前々走重賞近差 / +4.0同コース実績 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性,
3,6,11,ワールズエンド,+9.0,15.1,7人気,+5.0前走重賞近差 / +2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +0.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-2.0距離延長
4,7,14,ガイアフォース,+8.5,2.9,1人気,+4.0同コース実績 / +1.0叩き2戦目 / +1.0距離短縮 / +3.0グレード実績(3-4走前),-0.5血統距離適性
5,2,4,シックスペンス,+6.5,23.5,8人気,+1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,
6,2,3,オフトレイル,+5.0,38.7,11人気,+2.0前走3F最速 / +1.0叩き2戦目 / +2.0グレード実績(3-4走前),
7,3,6,ステレンボッシュ,+4.5,9.5,5人気,+1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0距離短縮 / +0.5血統距離適性 / +1.0軽量馬加点,
8,4,7,スズハローム,+3.0,44.7,12人気,+2.0前走好走 / +1.0前々走好走 / +0.5枠番補正,-0.5血統距離適性
9,8,15,ドラゴンブースト,+2.0,47.2,13人気,+1.0前々走好走 / +1.0グレード実績(3-4走前),
10,5,9,ウォーターリヒト,+1.5,30.8,9人気,+1.0叩き2戦目 / +0.5血統距離適性,
11,1,2,ロングラン,+1.0,252.4,17人気,+1.0叩き2戦目 / +0.5血統距離適性,-0.5枠番補正
12,4,8,シャンパンカラー,+1.0,35.7,10人気,+0.5血統距離適性 / +0.5枠番補正,
13,7,13,セイウンハーデス,+1.0,11.0,6人気,+1.0距離短縮,
14,3,5,サクラトゥジュール,+0.0,135.4,15人気,,
15,8,16,パンジャタワー,+0.0,8.3,3人気,+1.5グレード実績(3-4走前) / +0.5血統距離適性,-2.0距離延長
16,5,10,ルクソールカフェ,-1.5,90.6,14人気,+1.0叩き2戦目 / +1.0距離短縮 / +1.5グレード実績(3-4走前),-5.0初馬場種別
17,6,12,シリウスコルト,-2.0,181.2,16人気,,-2.0距離延長
