順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,3,5,ショウナンアビアス,+9.0,15.1,5人気,+4.0同コース実績 / +2.0調教A評価 / +3.0内枠先行,
2,8,15,コンクイスタ,+7.0,4.3,2人気,+4.0同コース実績 / +1.0調教A評価 / +1.0前走好走 / +1.0前々走好走,
3,3,6,アンズアメ,+4.5,3.7,1人気,+1.0調教A評価 / +1.0近走上昇傾向 / +2.0前走好走 / +0.5前々走好走,
4,2,3,プレゼンティーア,+3.0,6.9,3人気,+2.0調教A評価 / +2.0前走好走 / +1.0前々走好走,-2.0枠番補正
5,8,16,ジュンウィンダム,+3.0,46.4,16人気,+1.0調教A評価 / +1.0近走上昇傾向 / +2.0前走好走,-1.0急坂好走なし
6,4,8,クロジシジョー,+2.0,20.6,7人気,+2.0調教A評価 / +1.0近走上昇傾向 / +1.0距離短縮,-1.0急坂好走なし / -1.0回り不適
7,7,13,ペプチドヤマト,+2.0,32.3,12人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向,-1.0急坂好走なし
8,2,4,フリームファクシ,+1.0,20.8,8人気,+2.0前走3F最速 / +1.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮,-2.0枠番補正 / -1.0急坂好走なし / -1.0回り不適
9,4,7,スマートフォルス,+1.0,33.1,13人気,+2.0調教A評価 / +1.0叩き2戦目,-1.0急坂好走なし / -1.0回り不適
10,5,10,リジル,+1.0,23.3,10人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0距離短縮,-3.0長期休養明け / -1.0回り不適
11,6,11,アガシ,+1.0,43.3,15人気,+2.0調教A評価,-1.0急坂好走なし
12,6,12,ロードフロンティア,+1.0,21.6,9人気,+2.0調教A評価 / +1.0叩き2戦目,-1.0急坂好走なし / -1.0回り不適
13,1,1,ムーヴ,+0.5,17.7,6人気,+2.0調教A評価 / +0.5前々走好走,-2.0枠番補正
14,5,9,ケイアイドリー,+0.0,30.0,11人気,+2.0調教A評価,-1.0急坂好走なし / -1.0回り不適
15,1,2,マルモリスペシャル,-1.0,37.2,14人気,+2.0調教A評価 / +1.0距離短縮,-2.0枠番補正 / -1.0急坂好走なし / -1.0回り不適
16,7,14,サンライズアムール,-1.0,7.7,4人気,+2.0調教A評価,-1.0トップハンデ / -1.0急坂好走なし / -1.0回り不適
