馬名,時計スコア(1-5),状態スコア(1-5),メモ
リリージェーン,3,4,3F38.6馬なり不良 機敏な脚捌き気配良好
フクチャントウメイ,3,4,3F38.0馬なり不良 先行でも持ったまま気合十分
エムティエスターテ,5,4,3F36.7強め不良 最速水準ビシッと
メッエフアパラ,3,4,3F38.6G前不良 馬場考え上々前向きパワフル
ケープアグラス,2,3,3F38.5G前重 追われてからの反応物足りず
ポッドベル,2,3,坂路馬なり軽め42.0 疲れなし
シホノベルフェット,2,3,ポリ3F41.2馬なり 大幅先行でも良化窺える
レイアポポ,1,3,軽め坂路43.2のみ 間隔詰まり
レヴィテーション,4,4,坂路強め52.5 好時計体もすっきり
マジッククッキー,3,4,坂路一杯54.0 3頭並べ力強い脚捌き
クインズシフォン,2,3,坂路馬なり55.5 今週動き切れていた
ミスエル,2,4,坂路G前57.1 追われると反応良く伸びる
キョウエイカンセ,5,5,3F36.9馬なり重 最速!馬なりで11.5好調維持
ホウオウプレミア,4,5,3F38.4馬なり不良 やれば動く推進力溢れる
プチブール,3,4,坂路強め54.0 コンスタントに使われ元気一杯
ライジンマル,4,5,3F37.5強め不良 荒れた馬場でグイグイ加速
