馬名,時計スコア(1-5),状態スコア(1-5),メモ
カレリアフレイバー,3,4,6/4美坂良 馬なり余力 久々も好気配
サイモンナイスラン,2,2,6/3美坂重 強めに追う 手先重く
コーディアリー,3,3,6/3美W不良 馬なり余力 軽めの調教で十分
デルマテイネ,3,2,6/3美W不良 馬なり余力 もう一追い欲しい
ニシノトップダノン,3,3,6/3美坂 強めに追う 三歳未勝利と同入
メイヨシュア,2,1,6/4美W重 一杯に追う スピード乗らず
セルリア,3,3,6/3美W不良 馬なり余力 馬体は仕上がるも途上
ロードクラシコ,4,4,6/4美W重 馬なり余力 古オープンと同入 攻め常に動く
ファイナルフォーム,3,2,6/3美坂 強めに追う コメント悪い
ワイズファミリア,3,3,6/3美W不良 強めに追う 上がりに重点置く
バトルモクオ,3,2,6/4美W重 馬なり余力 素軽さ欠く
ショウナンサイオウ,4,4,6/3美W不良 馬なり余力 動き軽快
コスモマウイ,3,3,6/4美W重 馬なり余力 乗り込み入念
エナノムスメ,4,5,6/3美W不良 馬なり余力 三歳未勝利の強め追いに先着 スピード感十分
クールフィデル,4,4,6/3美W不良 強めに追う 古馬2勝クラスの馬なりに同入 時計以上の動き
バンオンタイム,4,4,6/4美W重 馬なり余力 古馬1勝と同入 力強い脚捌き
ルモンテ,4,3,6/3美W不良 馬なり余力 好調持続
アグネスブリッツ,3,3,6/3美坂重 馬なり余力 三歳未勝利と同入 まずまず仕上がる
