馬名,時計スコア(1-5),状態スコア(1-5),メモ
カズノダイジョウ,4,4,6/4美坂良 馬なり余力 手応え十分
デスサイズ,3,3,6/6美坂不良 馬なり余力 光気一杯
スワローシチー,3,3,6/4美W不良 馬体は仕上がるも
オメガストリーム,3,3,6/4美W不良 馬なり余力 ひと追いも良化
コンヴァージョン,4,3,6/4美W不良 馬なり余力 一息入るも仕上る
サトノラポール,3,3,6/3美W不良 G前仕掛け 普通
ダイヤテソーロ,4,4,6/3美W不良 馬なり余力 好調維持 ラスト11.8
タイセイフレッサ,4,4,6/4美W不良 馬なり余力 馬体良化 ラスト11.6
リネンタイリン,3,3,6/4美坂重 馬なり余力 一息入るも動き見せる
アラスカフレイバー,3,4,6/3美坂重 動き軽快
イージーブリージー,3,3,6/2美W粗 馬なり余力 仕上がり普通
ゴディアーモ,4,4,6/4美W不良 力強い脚捌き
アンソニー,2,2,6/2美坂不良 あまり変わり身なし
ナルキッソス,2,3,6/3美坂不良 踏み込み強くなる
ツインピークス,3,3,6/4美W良 脚取り確か
ソニックライン,3,4,6/4美坂重 高いレベルで安定
ゴールドシーン,4,4,6/4美W不良 馬なり余力 元気一杯 ラスト11.3
