順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,3,6,ダンデノン,+8.0,+2.0前走3F最速 / +1.0距離短縮 / +1.0前々走好走 / +3.0内枠先行 / +1.0軽量馬加点,
2,1,1,ニシノサリーナ,+6.0,+1.0距離短縮 / +1.0グレード実績(3-4走前) / +3.0内枠先行 / +1.0軽量馬加点,
3,3,5,グレースジェンヌ,+5.5,+1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行 / +1.0軽量馬加点,
4,7,14,ワンコールアウェイ,+4.5,+4.0同コース実績 / +1.0前走好走,-0.5枠番補正
5,6,12,リピ,+3.5,+1.0距離短縮 / +1.0血統距離適性 / +0.5枠番補正 / +1.0軽量馬加点,
6,2,4,オドラニャソンソン,+1.5,+1.0近走上昇傾向 / +1.0距離短縮 / +1.0グレード実績(3-4走前),-1.0前走ローカル / -0.5枠番補正
7,5,10,スウィートリワード,+1.5,+1.0近走上昇傾向 / +0.5枠番補正,
8,6,11,ムーンウォーリア,+1.5,+2.0前走好走 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5枠番補正,-3.0初馬場種別
9,1,2,ゴコウサス,+1.0,+1.0距離短縮,
10,4,7,サリュエ,+1.0,+1.0前走好走,
11,5,9,シンヒダカゴールド,+1.0,+1.0叩き2戦目 / +0.5枠番補正,-0.5血統距離適性
12,2,3,トモジャプレジール,+0.5,+1.0近走上昇傾向,-0.5枠番補正
13,8,16,サンセットゴールド,+0.5,+1.0グレード実績(3-4走前),-0.5血統距離適性
14,8,18,ロンティケチャップ,+0.0,,
15,7,15,セディバン,-0.5,+1.0血統距離適性,-1.0前走ローカル / -0.5枠番補正
16,8,17,アスクヴォルテージ,-1.0,,-1.0前走ローカル
17,7,13,ソルオーブ,-1.5,+1.0距離短縮 / +1.0前々走好走,-3.0初馬場種別 / -0.5枠番補正
18,4,8,シュネーグロッケン,-4.0,,-3.0初馬場種別 / -1.0前走ローカル
