順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,5,5,ビスケットサンド,+0.5,+2.0調教A評価 / +0.5枠番補正,-2.0急坂好走なし
2,3,3,イザベル,+0.0,+2.0調教A評価,-2.0急坂好走なし
3,8,11,スピーディスピン,+0.0,+2.0調教A評価,-2.0急坂好走なし
4,2,2,レッドネビュラ,-0.5,+2.0調教A評価,-0.5枠番補正 / -2.0急坂好走なし
5,7,9,レゾルーティオ,-0.5,+2.0調教A評価,-0.5枠番補正 / -2.0急坂好走なし
6,1,1,クリコキアナ,-1.0,+1.0調教A評価,-2.0急坂好走なし
7,8,10,シスキンブルーム,-1.0,+1.0調教A評価,-2.0急坂好走なし
8,6,7,サンシルヴァリー,-1.5,+0.5枠番補正,-2.0急坂好走なし
9,7,8,スピークロウ,-1.5,+1.0調教A評価,-0.5枠番補正 / -2.0急坂好走なし
10,4,4,ニシノフランケン,-2.0,,-2.0急坂好走なし
11,6,6,ランダムナンバー,-2.5,+0.5枠番補正,-1.0調教A評価 / -2.0急坂好走なし
