順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,7,14,ワンコールアウェイ,+5.5,3.0,1人気,+4.0同コース実績 / +1.0調教A評価 / +1.0前走好走,-0.5枠番補正
2,4,7,サリュエ,+4.0,8.2,4人気,+4.0前走3F最速 / +2.0調教A評価 / +1.0前走好走,-1.0トップハンデ / -2.0急坂好走なし
3,1,1,ニシノサリーナ,+3.0,4.6,3人気,+1.0調教A評価 / +1.0距離短縮 / +3.0内枠先行,-2.0急坂好走なし
4,3,6,ダンデノン,+2.0,3.3,2人気,+2.0調教A評価 / +1.0距離短縮 / +1.0前々走好走,-2.0急坂好走なし
5,6,12,リピ,+1.5,26.0,10人気,+2.0調教A評価 / +1.0距離短縮 / +0.5枠番補正,-2.0急坂好走なし
6,7,13,ソルオーブ,+0.5,36.9,12人気,+2.0調教A評価 / +1.0距離短縮 / +1.0前々走好走,-3.0初馬場種別 / -0.5枠番補正
7,8,16,サンセットゴールド,+0.0,9.4,5人気,+2.0前走3F最速 / +1.0調教A評価,-1.0距離延長 / -2.0急坂好走なし
8,5,9,シンヒダカゴールド,-0.5,24.2,9人気,+1.0叩き2戦目 / +0.5枠番補正,-2.0急坂好走なし
9,5,10,スウィートリワード,-0.5,69.8,15人気,+1.0調教A評価 / +1.0近走上昇傾向 / +0.5枠番補正,-2.0急坂好走なし / -1.0回り不適
10,6,11,ムーンウォーリア,-1.0,80.2,17人気,+1.0調教A評価 / +2.0前走好走 / +1.0前々走好走 / +0.5枠番補正,-3.0初馬場種別 / -2.0急坂好走なし / -1.0回り不適
11,2,3,トモジャプレジール,-1.5,15.9,7人気,+1.0調教A評価 / +1.0近走上昇傾向,-0.5枠番補正 / -2.0急坂好走なし / -1.0回り不適
12,2,4,オドラニャソンソン,-2.0,72.6,16人気,+1.0調教A評価 / +1.0近走上昇傾向 / +1.0距離短縮,-1.0前走ローカル / -0.5枠番補正 / -1.0トップハンデ / -2.0急坂好走なし / -1.0回り不適
13,8,18,ロンティケチャップ,-2.0,41.1,13人気,+1.0調教A評価,-2.0急坂好走なし / -1.0回り不適
14,1,2,ゴコウサス,-3.0,96.8,18人気,+1.0距離短縮,-1.0トップハンデ / -2.0急坂好走なし / -1.0回り不適
15,3,5,グレースジェンヌ,-3.0,24.2,8人気,+2.0調教A評価,-3.0距離延長 / -2.0急坂好走なし
16,8,17,アスクヴォルテージ,-3.0,15.6,6人気,+2.0調教A評価,-3.0距離延長 / -1.0前走ローカル / -1.0トップハンデ / -1.0回り不適
17,4,8,シュネーグロッケン,-4.0,32.6,11人気,+1.0調教A評価,-3.0初馬場種別 / -3.0距離延長 / -1.0前走ローカル / -2.0急坂好走なし / -1.0回り不適
18,7,15,セディバン,-4.0,69.4,14人気,+1.0調教A評価,-3.0距離延長 / -1.0前走ローカル / -0.5枠番補正 / -1.0トップハンデ / -2.0急坂好走なし / -1.0回り不適
