馬名,時計スコア(1-5),状態スコア(1-5),メモ
プリュイドール,3,3,6/3栗坂不良 馬なり余力 素軽さ出る
ハナコトバ,3,3,6/3栗CW不良 馬なり余力 一息も好気配
クリムゾンバースト,2,2,6/3栗坂不良 一杯に追う 力強さに欠け
エースフライト,3,3,6/3栗CW不良 強め追う 動き軽快
ペガサスジルシ,4,4,6/3栗CW良 馬なり余力 動きキビキビ ラスト12.2
アリュウ,1,2,6/3栗坂不良 馬なり余力 力強さに欠け
ラッキーシグネチャ,3,3,6/4栗CW不良 スピードを使う 遅れも気にせず
アスクウルトラモア,2,2,6/3栗CW不良 強め追う 変わらず
シャイニーデイ,3,3,6/3栗P良 馬なり余力 馬体は仕上がる
レイワノキセキ,3,3,6/4栗CW不良 一杯に追う 最後に取り込む内容
ビップヴォルフ,4,4,6/4栗坂粗 馬なり余力 動き軽快 ラスト12.6
チュオンソン,4,3,6/4栗CW粗 馬なり余力 速歩は動くが ラスト11.3
ショウナンアンバー,2,2,6/2栗CW良 強め追う 立て直すひと息
テイクザスローン,4,4,6/4栗CW不良 未強め追う 力強い脚捌き ラスト11.6
フレアオブセンス,3,2,6/3栗坂不良 馬なり余力 平凡
シェーネエルデ,3,3,6/4栗坂粗 馬なり余力 連れに心配なし
