順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳,調教コメント
1,4,4,フォルテフィオーレ,+7.0,+2.0前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正 / +3.0複勝安定ボーナス,,
2,5,9,ラブリーリディア,+4.0,+2.0同コース近距離実績 / +1.0叩き2戦目 / +0.5血統距離適性 / +0.5枠番補正,,
3,1,13,レイヤードレッド,+3.0,+2.0調教A評価 / +1.0距離短縮,,乗り込み入念
4,1,3,エリム,+3.0,+1.0距離短縮 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,,
5,6,2,ロードマンハイム,+3.0,+1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正,,
6,8,11,ベネスピラ,+3.0,+1.0距離短縮 / +2.0前走好走 / +0.5血統距離適性,-0.5枠番補正,
7,2,15,ハートメテオ,+2.5,+1.0距離短縮 / +1.0前走好走 / +0.5前々走好走 / +0.5血統距離適性,-0.5枠番補正,
8,8,17,ウインシャーガス,+2.5,+0.5前々走好走 / +0.5血統距離適性 / +2.0複勝安定ボーナス,-0.5枠番補正,
9,3,18,ストームサンダー,+2.0,+2.0前走3F最速,,
10,4,10,サタデーサンライズ,+1.5,+1.0前々走好走 / +0.5枠番補正,,
11,5,7,トレミニョン,+1.5,+1.0叩き2戦目 / +0.5枠番補正,,
12,3,8,ファミリーツリー,+1.0,+1.0距離短縮,,
13,6,6,ザブライド,+1.0,+0.5血統距離適性 / +0.5枠番補正,,
14,7,12,ヤコブセン,+1.0,+1.0叩き2戦目 / +0.5血統距離適性,-0.5枠番補正,
15,7,16,マイスターヴェルク,+0.0,+0.5血統距離適性,-0.5枠番補正,
16,2,5,カテリーナ,-3.0,+1.0叩き2戦目 / +1.0グレード実績(3-4走前),-2.0前走ローカル / -3.0長期休養明け / -0.5枠番補正,

■買いサイン,見送り,乖離3.0pt（3〜5pt）

■三連複フォームB,軸:4番フォルテフィオーレ,"相手A(2〜5位):9,13,3,2","相手B(2〜9位):9,13,3,2,11,15,17,18",22点
,2－3－4
,2－4－9
,2－4－11
,2－4－13
,2－4－15
,2－4－17
,2－4－18
,3－4－9
,3－4－11
,3－4－13
,3－4－15
,3－4－17
,3－4－18
,4－9－11
,4－9－13
,4－9－15
,4－9－17
,4－9－18
,4－11－13
,4－13－15
,4－13－17
,4－13－18

■三連複7点,軸:4番フォルテフィオーレ×9番ラブリーリディア,"相手(3〜9位):13,3,2,11,15,17,18",7点
,2－4－9
,3－4－9
,4－9－11
,4－9－13
,4－9－15
,4－9－17
,4－9－18
