順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳,調教コメント
1,8,1,ジューンベロシティ,+9.0,+4.0同コース実績 / +1.0前走好走 / +2.0グレード実績(3-4走前) / +2.0複勝安定ボーナス,,
2,1,6,ピーターサイト,+8.0,+3.0調教A評価 / +1.0叩き2戦目 / +1.0前走好走 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス,,仕上がり良好
3,2,7,スズカハービン,+5.0,+1.0前々走好走 / +1.0グレード実績(3-4走前) / +3.0複勝安定ボーナス,,
4,6,3,ブラックボイス,+1.0,+1.0近走上昇傾向,,
5,7,8,コレクテイニア,+0.5,+1.0前走好走 / +0.5前々走好走 / +3.0複勝安定ボーナス,-4.0特殊条件,
6,8,9,メイショウソムリエ,+0.5,+2.0前走好走 / +0.5前々走好走 / +2.0複勝安定ボーナス,-4.0特殊条件,
7,4,5,ローディアマント,+0.0,+1.0叩き2戦目 / +1.0前々走好走 / +1.0グレード実績(3-4走前),-3.0前走ローカル,
8,7,4,マオノアラシ,+0.0,+1.0叩き2戦目 / +1.0近走上昇傾向 / +2.0前走好走,-4.0特殊条件,
9,3,10,ゲインサポート,-4.0,+1.0叩き2戦目,-4.0特殊条件 / -3.0前走ローカル,
10,5,11,ジーティーオウジャ,-4.0,+1.0近走上昇傾向,-4.0特殊条件 / -3.0前走ローカル,

■買いサイン,見送り,同コース実績主因

■三連複フォームB,軸:1番ジューンベロシティ,"相手A(2〜5位):6,7,3,8","相手B(2〜9位):6,7,3,8,9,5,4,10",22点
,1－3－4
,1－3－5
,1－3－6
,1－3－7
,1－3－8
,1－3－9
,1－3－10
,1－4－6
,1－4－7
,1－4－8
,1－5－6
,1－5－7
,1－5－8
,1－6－7
,1－6－8
,1－6－9
,1－6－10
,1－7－8
,1－7－9
,1－7－10
,1－8－9
,1－8－10

■三連複7点,軸:1番ジューンベロシティ×6番ピーターサイト,"相手(3〜9位):7,3,8,9,5,4,10",7点
,1－3－6
,1－4－6
,1－5－6
,1－6－7
,1－6－8
,1－6－9
,1－6－10
