順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,6,9,ビービーアジャイル,+12.0,1.1,1人気,+4.0同コース実績 / +2.0調教A評価 / +2.0前走好走 / +1.0前々走好走 / +3.0複勝安定ボーナス,,好調持続
2,6,10,トレインザマインド,+9.0,39.0,7人気,+2.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +1.0グレード実績(3-4走前) / +3.0複勝安定ボーナス,,元気一杯
3,5,7,インペリアルライン,+6.5,24.8,4人気,+2.0前走3F最速 / +2.0調教A評価 / +1.0叩き2戦目 / +0.5前々走好走 / +1.0血統距離適性,,力強い
4,2,2,コズミックダンサー,+6.0,17.2,3人気,+2.0調教A評価 / +1.0距離短縮 / +2.0前走好走 / +0.5前々走好走 / +0.5血統距離適性,,出来は良
5,8,13,セイントエルモズ,+4.0,33.9,6人気,+2.0調教A評価 / +1.0前々走好走 / +1.0グレード実績(3-4走前),,力強い
6,3,3,タッチャブル,+2.5,175.4,12人気,+2.0調教A評価 / +0.5血統距離適性,,一歩前進
7,4,6,シゲルカミカゼ,+2.5,26.7,5人気,+2.0調教A評価 / +1.0前走好走,-0.5血統距離適性,元気一杯
8,1,1,チムニートップス,+2.0,115.5,10人気,+1.0調教A評価 / +1.0前々走好走,,前走並み
9,3,4,トクシースタローン,+2.0,70.1,8人気,+1.0調教A評価 / +1.0距離短縮,,実戦向き
10,5,8,キャストロププ,+2.0,78.1,9人気,+1.0調教A評価 / +1.0距離短縮,,平行線
11,8,14,エイカイソウル,+1.5,11.0,2人気,+2.0調教A評価 / +1.0叩き2戦目 / +0.5前々走好走,-2.0前走ローカル,前走以上
12,7,11,タガノマルアフ,+1.0,123.0,11人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0血統距離適性,-2.0前走ローカル,平行線
13,7,12,デルマタモン,+1.0,303.2,13人気,+1.0調教A評価,,変わらず
14,4,5,サイモンルモンド,+0.0,308.7,14人気,,,動き平凡


■レース情報,芝1800m,202605030309
■買いサイン,見送り,乖離3.0pt（3〜5pt） / 同コース実績主因

■評価コメント
,乖離3.0ptは見送りゾーン（3〜5pt）。1位と2位の差が小さく軸信頼度が不足。
,1位ビービーアジャイル1.1倍：複勝命中率75%超も控除率約20%で単勝は期待値マイナス。
,2位トレインザマインド39.0倍：相手を絞り込みにくく三連複の期待値も低い。
,1位の主要加点が同コース実績（過去成績依存）。当日の状態変化に注意。

■三連複フォームB,軸:9番ビービーアジャイル,"相手A(2〜5位):10,7,2,13","相手B(2〜9位):10,7,2,13,3,6,1,4",22点
,1－2－9
,1－7－9
,1－9－10
,1－9－13
,2－3－9
,2－4－9
,2－6－9
,2－7－9
,2－9－10
,2－9－13
,3－7－9
,3－9－10
,3－9－13
,4－7－9
,4－9－10
,4－9－13
,6－7－9
,6－9－10
,6－9－13
,7－9－10
,7－9－13
,9－10－13

■三連複7点,軸:9番ビービーアジャイル×10番トレインザマインド,"相手(3〜9位):7,2,13,3,6,1,4",7点
,1－9－10
,2－9－10
,3－9－10
,4－9－10
,6－9－10
,7－9－10
,9－10－13



■レース結果（実際）,日野特別,芝1800m,2026-06-13
着順,馬番,馬名,タイム,馬体重(増減),人気,予想順位
1,7,インペリアルライン,2:09.9,486(+6),5人気,予想3位
2,2,コズミックダンサー,2:10.2,492(+4),3人気,予想4位
3,9,ビービーアジャイル,2:10.2,488(+2),1人気,予想1位
4,8,キャストロププ,2:10.3,506(+2),9人気,予想10位
5,6,シゲルカミカゼ,2:11.0,516(-2),4人気,予想7位
6,4,トクシースタローン,2:11.2,514(-2),8人気,予想9位
7,3,タッチャブル,2:11.7,518(-6),12人気,予想6位
8,10,トレインザマインド,2:11.7,542(+8),7人気,予想2位
9,11,タガノマルアフ,2:12.1,472(-6),10人気,予想12位
10,12,デルマタモン,2:12.2,506(-2),14人気,予想13位
11,13,セイントエルモズ,2:12.9,542(+4),6人気,予想5位
12,1,チムニートップス,2:13.0,490(-10),11人気,予想8位
13,5,サイモンルモンド,2:13.9,460(+6),13人気,予想14位
14,14,エイカイソウル,2:14.0,492(+2),2人気,予想11位
