順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,5,テーオーグランビル,+11.0,14.9,5人気,+4.0同コース実績 / +2.0調教A評価 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +3.0内枠先行,,気配上昇
2,2,4,クインズショコラ,+10.0,15.3,6人気,+4.0同コース実績 / +2.0調教A評価 / +2.0前走好走 / +2.0複勝安定ボーナス,,末脚良し
3,5,9,グランドプラージュ,+9.0,1.7,1人気,+3.0調教A評価 / +1.0叩き2戦目 / +1.0前走好走 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +3.0複勝安定ボーナス,-1.0急坂好走なし,文句なし
4,8,16,ゴールデンクラウド,+7.5,13.4,3人気,+2.0調教A評価 / +2.0前走好走 / +0.5前々走好走 / +3.0複勝安定ボーナス,,追毎良化
5,4,7,モックモック,+7.0,5.5,2人気,+2.0調教A評価 / +1.0前走好走 / +1.0グレード実績(3-4走前) / +3.0複勝安定ボーナス,,出来安定
6,1,1,リチュアル,+6.5,33.1,8人気,+2.0調教A評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,,仕上上々
7,6,12,ハピ,+3.5,17.5,7人気,+2.0前走3F最速 / +2.0調教A評価 / +0.5血統距離適性,-1.0急坂好走なし,好調子
8,7,13,メイショウズイウン,+3.0,55.5,11人気,+1.0調教A評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前),,手応劣る
9,3,6,ハギノサステナブル,+2.5,14.5,4人気,+2.0調教A評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前),-0.5血統距離適性 / -1.0急坂好走なし,状態良好
10,6,11,レヴォントゥレット,+2.5,41.4,9人気,+2.0調教A評価 / +1.0距離短縮 / +0.5血統距離適性,-1.0急坂好走なし,一歩前進
11,7,14,メイショウユズルハ,+2.0,88.2,14人気,+2.0調教A評価 / +1.0距離短縮,-1.0急坂好走なし,手応勝る
12,8,15,ラインオブソウル,+2.0,53.0,10人気,+1.0調教A評価 / +1.0叩き2戦目,,伸び一息
13,4,8,ピースオブザライフ,+0.5,131.4,16人気,+2.0調教A評価,-0.5血統距離適性 / -1.0急坂好走なし,動き軽快
14,5,10,ヴィヴァン,-1.5,56.7,12人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス,-0.5血統距離適性 / -5.0距離延長 / -1.0急坂好走なし,仕上るも
15,2,3,サンマルパトロール,-2.0,92.7,15人気,+2.0調教A評価,-3.0前走ローカル / -1.0急坂好走なし,態勢整う
16,1,2,マリアナトレンチ,-2.5,80.1,13人気,+1.0調教A評価 / +1.0叩き2戦目,-0.5血統距離適性 / -3.0前走ローカル / -1.0急坂好走なし,気配平凡


■レース情報,芝1400m
■買いサイン,見送り,同コース実績主因 / 軸14.9倍（8〜14倍）

■評価コメント
,1位の主要加点が同コース実績（過去成績依存）。当日の状態変化に注意。
,軸14.9倍は期待値が安定しない中穴ゾーン（8〜14倍）。
,2位クインズショコラ15.3倍（スコア差1.0pt）。

■三連複フォームB,軸:5番テーオーグランビル,"相手A(2〜5位):4,9,16,7","相手B(2〜9位):4,9,16,7,1,12,13,6",22点
,1－4－5
,1－5－7
,1－5－9
,1－5－16
,4－5－6
,4－5－7
,4－5－9
,4－5－12
,4－5－13
,4－5－16
,5－6－7
,5－6－9
,5－6－16
,5－7－9
,5－7－12
,5－7－13
,5－7－16
,5－9－12
,5－9－13
,5－9－16
,5－12－16
,5－13－16

■三連複7点,軸:5番テーオーグランビル×4番クインズショコラ,"相手(3〜9位):9,16,7,1,12,13,6",7点
,1－4－5
,4－5－6
,4－5－7
,4－5－9
,4－5－12
,4－5－13
,4－5－16
