順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,3,マジェステラ,+8.5,9.0,4人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5枠番補正,,素軽さ出
2,6,8,クレセントウイング,+7.0,15.3,5人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,,やや良化
3,8,13,プリンセスモコ,+7.0,2.4,1人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス,,動き軽快
4,7,10,シーグルロス,+6.5,4.4,2人気,+2.0前走3F最速 / +2.0調教A評価 / +1.0近走上昇傾向 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-1.0前走ローカル,気配上昇
5,2,2,グリフォン,+6.0,22.3,9人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.0グレード実績(3-4走前) / +0.5枠番補正,,変身注
6,5,6,スマッシュアウト,+6.0,60.8,12人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-1.0前走ローカル,キビキビ
7,6,9,フレンドモナコ,+6.0,22.1,8人気,+1.0調教A評価 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),,気配平凡
8,8,12,シュークリーム,+6.0,21.9,7人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-1.0前走ローカル,気合乗る
9,4,4,スプリングデイ,+5.5,30.0,10人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-1.0前走ローカル / -0.5枠番補正,気配上々
10,4,5,シャインズオンユー,+5.5,15.7,6人気,+2.0調教A評価 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-1.0前走ローカル / -0.5枠番補正,好気合
11,5,7,アートフォーム,+5.5,60.8,13人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-0.5血統距離適性 / -1.0前走ローカル,出来は良
12,7,11,フロウアンドライム,+4.0,6.7,3人気,+1.0調教A評価 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-1.0前走ローカル,終い重点
13,1,1,ジャスパールビー,+3.5,41.3,11人気,+2.0調教A評価 / +1.5前々走好走,,元気一杯

■レース情報,芝1200m,202602010208

■買いサイン,見送り,軸9.0倍（8〜14倍）

■評価コメント
,軸9.0倍は期待値が安定しない中穴ゾーン（8〜14倍）。
,2位クレセントウイング15.3倍（スコア差1.5pt）。

■三連複フォームB,軸:3番マジェステラ,"相手A(2〜4位):8,13,10,2","相手B(2〜7位):8,13,10,2,6,9,12",18点
,2－3－6
,2－3－8
,2－3－9
,2－3－10
,2－3－12
,2－3－13
,3－6－8
,3－6－10
,3－6－13
,3－8－9
,3－8－10
,3－8－12
,3－8－13
,3－9－10
,3－9－13
,3－10－12
,3－10－13
,3－12－13

■三連複7点,軸:3番マジェステラ×8番クレセントウイング,"相手(3〜9位):13,10,2,6,9,12,4",7点
,2－3－8
,3－4－8
,3－6－8
,3－8－9
,3－8－10
,3－8－12
,3－8－13
