順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,8,カンシン,+15.5,4.8,2人気,+4.0同コース実績 / +3.0調教A評価 / +1.5前走好走 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正 / +3.0複勝安定ボーナス / +0.5ペース適性,,動き絶好
2,7,11,マイネルチケット,+12.0,3.2,1人気,+4.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +3.0複勝安定ボーナス / +0.5ペース適性,-0.5枠番補正,動き絶好
3,5,7,イミグラントソング,+6.0,9.0,3人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +2.0グレード実績(3-4走前) / +0.5枠番補正,-0.5ペース適性,乗込十分
4,1,1,ラケマーダ,+5.5,14.4,7人気,+2.0同コース近距離実績 / +2.0調教A評価 / +1.0叩き2戦目 / +0.5ペース適性,,叩き良化
5,8,13,アクートゥス,+5.5,25.1,11人気,+2.0調教A評価 / +1.0近走上昇傾向 / +1.5前走好走 / +1.0前々走好走 / +0.5ペース適性,-0.5血統距離適性,キビキビ
6,8,14,アルセナール,+5.0,10.4,5人気,+2.0同コース近距離実績 / +2.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0グレード実績(3-4走前) / +1.0軽量馬加点 / +0.5ペース適性,-0.5血統距離適性 / -3.0前走ローカル,動き軽快
7,4,6,マサノカナリア,+4.5,20.8,10人気,+2.0調教A評価 / +1.0前走好走 / +1.0軽量馬加点 / +0.5ペース適性,,動き軽快
8,6,10,グロリアラウス,+3.0,10.0,4人気,+1.5同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +0.5枠番補正 / +1.0ペース適性,-3.0前走ローカル,動き軽快
9,4,5,クルゼイロドスル,+2.5,12.2,6人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮,-0.5ペース適性,良化遅い
10,3,4,ショウナンザナドゥ,+2.0,29.8,12人気,+2.0調教A評価 / +1.0距離短縮,-0.5血統距離適性 / -0.5ペース適性,変身注
11,6,9,カリボール,+1.5,17.5,9人気,+1.0調教A評価 / +0.5枠番補正 / +0.5ペース適性,-0.5血統距離適性,変わらず
12,3,3,グレイイングリーン,+1.0,56.1,14人気,+1.0調教A評価 / +0.5ペース適性,-0.5血統距離適性,平行線
13,7,12,レッドシュヴェルト,+1.0,15.6,8人気,+2.0調教A評価,-0.5枠番補正 / -0.5ペース適性,出来は良
14,2,2,バグラダス,-1.0,41.5,13人気,+2.0前走3F最速 / +2.0調教A評価,-2.0距離延長 / -3.0前走ローカル / -0.5枠番補正 / -0.5ペース適性,元気一杯

■レース情報,芝1400m,202605030411

■買いサイン,見送り,乖離3.5pt（3〜5pt） / 同コース実績主因

■評価コメント
,乖離3.5ptは見送りゾーン（3〜5pt）。1位と2位の差が小さく軸信頼度が不足。
,1位の主要加点が同コース実績（過去成績依存）。当日の状態変化に注意。
,2位マイネルチケット3.2倍（スコア差3.5pt）。

■三連複フォームB,軸:8番カンシン,"相手A(2〜4位):11,7,1,13","相手B(2〜8位):11,7,1,13,14,6,10,5",22点
,1－5－8
,1－6－8
,1－7－8
,1－8－10
,1－8－11
,1－8－13
,1－8－14
,5－7－8
,5－8－11
,5－8－13
,6－7－8
,6－8－11
,6－8－13
,7－8－10
,7－8－11
,7－8－13
,7－8－14
,8－10－11
,8－10－13
,8－11－13
,8－11－14
,8－13－14

■三連複7点,軸:8番カンシン×11番マイネルチケット,"相手(3〜9位):7,1,13,14,6,10,5",7点
,1－8－11
,5－8－11
,6－8－11
,7－8－11
,8－10－11
,8－11－13
,8－11－14
