順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳,調教コメント
1,3,3,セブンマイスター,+13.0,+4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +0.5前々走好走 / +0.5血統距離適性 / +3.0複勝安定ボーナス,,更に上昇
2,5,5,スマートスピア,+9.0,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0複勝安定ボーナス,,動き軽快
3,8,11,ロンギングフォユー,+9.0,+4.0同コース実績 / +2.0調教A評価 / +2.0前走好走 / +1.0グレード実績(3-4走前),,仕上上々
4,7,10,ミダース,+8.5,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0前走好走 / +1.0前々走好走 / +0.5血統距離適性 / +2.0複勝安定ボーナス,,動き上々
5,8,12,サンカルミア,+6.0,+4.0前走3F最速 / +2.0調教A評価,,出来安定
6,2,2,シーニックビュー,+5.5,+2.0調教A評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,-2.0枠番補正,元気一杯
7,5,6,クロドラバール,+4.5,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性,,動き軽快
8,6,7,マキシマムビスタ,+3.0,+2.0調教A評価 / +1.0距離短縮,,キビキビ
9,6,8,ケーヴァラ,+3.0,+2.0調教A評価 / +1.0距離短縮,,好調子
10,4,4,ヒロノゴウカイ,+2.0,+1.0調教A評価 / +1.0距離短縮,,まずまず
11,7,9,マンダリンボレロ,+2.0,+2.0調教A評価,,出来は良
12,1,1,ドナカルナバル,+0.0,+2.0調教A評価,-2.0枠番補正,反応上々

■レース情報,ダート1600m,202605030412

■買いサイン,見送り,乖離4.0pt（3〜5pt） / 同コース実績主因

■評価コメント
,乖離4.0ptは見送りゾーン（3〜5pt）。1位と2位の差が小さく軸信頼度が不足。
,1位の主要加点が同コース実績（過去成績依存）。当日の状態変化に注意。

■三連複フォームB,軸:3番セブンマイスター,"相手A(2〜4位):5,11,10,12","相手B(2〜7位):5,11,10,12,2,6,7",18点
,2－3－5
,2－3－10
,2－3－11
,2－3－12
,3－5－6
,3－5－7
,3－5－10
,3－5－11
,3－5－12
,3－6－10
,3－6－11
,3－6－12
,3－7－10
,3－7－11
,3－7－12
,3－10－11
,3－10－12
,3－11－12

■三連複7点,軸:3番セブンマイスター×5番スマートスピア,"相手(3〜9位):11,10,12,2,6,7,8",7点
,2－3－5
,3－5－6
,3－5－7
,3－5－8
,3－5－10
,3－5－11
,3－5－12
