順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,2,3,レヴェランジェ,+13.0,7.5,2人気,+4.0同コース実績 / +2.0調教A評価 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0複勝安定ボーナス,-0.5枠番補正,出来安定
2,5,9,ヤマニンアレシス,+13.0,2.5,1人気,+4.0同コース実績 / +1.0調教A評価 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正 / +3.0複勝安定ボーナス,,順調
3,6,11,アドマイヤパープル,+12.5,8.7,4人気,+4.0同コース実績 / +2.0調教A評価 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正,,キビキビ
4,8,16,ブラーヴジャン,+12.0,24.6,8人気,+4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),,好気配
5,2,4,ミクロスギガース,+10.5,30.0,9人気,+4.0同コース実績 / +1.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-0.5枠番補正,前走並み
6,7,13,ウインドオブヘヴン,+10.5,9.1,6人気,+2.0同コース近距離実績 / +2.0調教A評価 / +1.0近走上昇傾向 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-0.5枠番補正,キビキビ
7,7,14,ガミーヌ,+10.5,42.8,12人気,+4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-0.5枠番補正,動き上々
8,7,15,リーデレクオーレ,+10.0,111.7,17人気,+4.0同コース実績 / +1.0調教A評価 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-0.5枠番補正,目立たず
9,1,2,ローレルクラウン,+9.5,21.9,7人気,+2.0同コース近距離実績 / +1.0調教A評価 / +1.0近走上昇傾向 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,,目立たず
10,6,12,フクオトコ,+9.5,8.3,3人気,+2.0同コース近距離実績 / +2.0調教A評価 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5枠番補正,,出来安定
11,8,18,ゴールドパレード,+9.5,52.7,13人気,+4.0同コース実績 / +1.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-0.5血統距離適性,変わらず
12,4,8,ドラリズム,+8.0,33.1,10人気,+2.0調教A評価 / +1.0近走上昇傾向 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),,好調子
13,8,17,ジェッディンデデン,+7.5,64.0,15人気,+2.0同コース近距離実績 / +1.0調教A評価 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +0.5血統距離適性,,仕上がる
14,1,1,エヴィーヴァ,+6.5,8.9,5人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走,-0.5血統距離適性,好気配
15,5,10,ツウキンカイソク,+6.0,41.6,11人気,+2.0調教A評価 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5枠番補正,-0.5血統距離適性,出来安定
16,3,5,アエログラム,+5.5,53.2,14人気,+2.0同コース近距離実績 / +1.0調教A評価 / +1.0距離短縮 / +1.5前走好走,,目立たず
17,4,7,ジーティージェミル,+5.0,111.7,16人気,+4.0同コース実績 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-3.0長期休養明け,動き平凡
18,3,6,レーヴルーバ,+4.0,211.1,18人気,+1.0距離短縮 / +1.5前走好走 / +1.5前々走好走,,動き平凡

■レース情報,芝1400m,202605030403

■買いサイン,見送り,18頭フルゲート / 同コース実績主因

■評価コメント
,18頭フルゲートは荒れやすく軸信頼度が低下。
,1位の主要加点が同コース実績（過去成績依存）。当日の状態変化に注意。
,2位ヤマニンアレシス2.5倍（スコア差0.0pt）。

■三連複フォームB,軸:3番レヴェランジェ,"相手A(2〜4位):9,11,16,4","相手B(2〜8位):9,11,16,4,13,14,15,2",22点
,2－3－4
,2－3－9
,2－3－11
,2－3－16
,3－4－9
,3－4－11
,3－4－13
,3－4－14
,3－4－15
,3－4－16
,3－9－11
,3－9－13
,3－9－14
,3－9－15
,3－9－16
,3－11－13
,3－11－14
,3－11－15
,3－11－16
,3－13－16
,3－14－16
,3－15－16

■三連複7点,軸:3番レヴェランジェ×9番ヤマニンアレシス,"相手(3〜9位):11,16,4,13,14,15,2",7点
,2－3－9
,3－4－9
,3－9－11
,3－9－13
,3－9－14
,3－9－15
,3－9－16
