順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,1,1,ニューオーリンズ,+8.0,3.7,1人気,+1.5同コース実績 / +2.0調教B評価 / +1.0距離短縮 / +1.5前走好走 / +1.5前々走好走 / +0.5血統距離適性 / +2.0複勝安定ボーナス,-2.0枠番補正,出来は良
2,5,10,ウルスクローム,+7.5,15.0,7人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.5前走好走,,好調持続
3,6,12,ノボリショウリュウ,+7.5,5.9,3人気,+2.0同コース近距離実績 / +2.0調教B評価 / +1.0前走好走 / +0.5血統距離適性 / +2.0複勝安定ボーナス,,好調子
4,8,14,ルクスデイジー,+7.5,,,+2.0調教B評価 / +1.0叩き2戦目 / +1.0前走好走 / +1.5前々走好走 / +3.0複勝安定ボーナス,-1.0急坂好走なし,出来安定
5,3,6,エムズマインド,+5.5,100.8,13人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.5前々走好走,-2.0長期休養明け,態勢整う
6,4,7,サンダーバース,+4.5,45.1,10人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.5前々走好走,-1.0急坂好走なし,気配上々
7,7,13,ベルギューン,+4.0,9.1,5人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前),-1.0急坂好走なし,仕上良好
8,6,11,イリフィ,+3.0,22.6,8人気,+2.0調教B評価 / +1.0距離短縮 / +1.0前々走好走,-1.0急坂好走なし,好調子
9,3,5,ライジン,+2.0,7.6,4人気,+2.0調教B評価 / +1.0グレード実績(3-4走前),-1.0急坂好走なし,元気一杯
10,5,9,ロサンゼルス,+2.0,37.5,9人気,+2.0調教B評価,,動き軽快
11,8,15,ヴェロクオーレ,+1.5,5.1,2人気,+2.0調教B評価 / +1.0距離短縮,-0.5血統距離適性 / -1.0急坂好走なし,仕上良好
12,4,8,ディニトーソ,+1.0,52.4,11人気,+2.0調教B評価,-1.0急坂好走なし,出来は良
13,1,2,プロミシングスター,+0.0,14.5,6人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.0距離短縮,-2.0枠番補正 / -1.0急坂好走なし,やや良化
14,2,4,ハッピーロンドン,+0.0,73.6,12人気,+2.0調教B評価 / +1.0叩き2戦目,-2.0枠番補正 / -1.0急坂好走なし,動き上々
15,2,3,ギーロカスタル,-1.0,144.7,14人気,+1.0調教C評価 / +1.0距離短縮,-2.0枠番補正 / -1.0急坂好走なし,変わらず

■レース情報,ダート1200m,202609030412

■買いサイン,🏇 三連単A+B推奨,3勝クラス×3.7倍 / 乖離0.5pt 15頭 / A+B 24点

■評価コメント
,3勝クラス×3.7倍：三連単A+Bフォーメーション推奨（ROI241%・ヒット率24%）。
,[A] ニューオーリンズ（1着固定）× 紐4頭（2-3着）12点
,[B] 紐4頭（1着）× ニューオーリンズ（2着固定）× 紐4頭（3着）12点

■三連複フォームB,4頭BOX (4点) ← ROI466%,"対象馬:1,10,12,14",4点
,1－10－12
,1－10－14
,1－12－14
,10－12－14

■三連複10点,軸:1番ニューオーリンズ,"相手(2〜6位):10,12,14,6,7",10点
,1－6－7
,1－6－10
,1－6－12
,1－6－14
,1－7－10
,1－7－12
,1－7－14
,1－10－12
,1－10－14
,1－12－14

■三連複7点,軸:1番ニューオーリンズ×10番ウルスクローム,"相手(3〜9位):12,14,6,7,13,11,5",7点
,1－5－10
,1－6－10
,1－7－10
,1－10－11
,1－10－12
,1－10－13
,1－10－14
