順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,6,7,ダノンテムズ,+12.5,4.5,3人気,+2.0同コース近距離実績 / +2.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0複勝安定ボーナス,,更に上昇
2,1,1,ウィテカービート,+10.0,33.6,9人気,+2.0同コース近距離実績 / +1.0調教A評価 / +1.0近走上昇傾向 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +1.0枠番補正,,仕上がる
3,7,9,ナリタエスペランサ,+10.0,3.6,1人気,+2.0同コース近距離実績 / +2.0調教A評価 / +1.0距離短縮 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0複勝安定ボーナス,,動き軽快
4,7,8,ロングホリデー,+9.5,6.0,4人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0複勝安定ボーナス,,出来は良
5,4,4,ノリノリソックス,+9.0,48.0,10人気,+2.0同コース近距離実績 / +1.0調教A評価 / +1.0叩き2戦目 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正,,まずまず
6,2,2,ピカキウイ,+7.0,3.9,2人気,+2.0同コース近距離実績 / +2.0調教A評価 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-0.5枠番補正,好調持続
7,8,11,アンビアンス,+7.0,24.4,8人気,+2.0調教A評価 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,,好気配
8,8,10,レーヌマロン,+6.5,20.5,7人気,+2.0調教A評価 / +1.5前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,,仕上上々
9,3,3,メイショウハンター,+5.0,8.6,5人気,+2.0調教A評価 / +1.5前走好走 / +1.5前々走好走 / +0.5血統距離適性,-0.5枠番補正,素軽い
10,5,5,キタノファーンヒル,+4.5,53.8,11人気,+2.0前走3F最速 / +1.0調教A評価 / +1.5前々走好走,,平行線
11,6,6,サイン,+4.5,17.0,6人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.5前々走好走 / +1.0グレード実績(3-4走前),-1.0前走ローカル,伸び上々

■レース情報,芝2000m,202609030407

■買いサイン,フォームB（標準）,乖離2.5pt 11頭

■評価コメント
,乖離2.5pt・11頭・軸4.5倍。標準フォームBゾーン。

■三連複フォームB,軸:7番ダノンテムズ,"相手A(2〜4位):1,9,8,4","相手B(2〜7位):1,9,8,4,2,11,10",18点
,1－2－7
,1－4－7
,1－7－8
,1－7－9
,1－7－10
,1－7－11
,2－4－7
,2－7－8
,2－7－9
,4－7－8
,4－7－9
,4－7－10
,4－7－11
,7－8－9
,7－8－10
,7－8－11
,7－9－10
,7－9－11

■三連複7点,軸:7番ダノンテムズ×1番ウィテカービート,"相手(3〜9位):9,8,4,2,11,10,3",7点
,1－2－7
,1－3－7
,1－4－7
,1－7－8
,1－7－9
,1－7－10
,1－7－11
