順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,9,レッドキングリー,+18.1,3.6,1人気,+3.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.5枠番補正 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,動き抜群
2,3,6,ダノンエンブレム,+13.6,11.6,5人気,+2.5同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.4前走好走 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-0.5血統距離適性,好調持続
3,2,3,エフォートレス,+11.5,15.5,8人気,+2.5同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +1.0距離短縮 / +0.4前走好走 / +5.0勝利数ボーナス,-0.5血統距離適性 / -0.5枠番補正,態勢整う
4,6,12,マテンロウブラボー,+11.2,11.8,6人気,+1.5同コース実績 / +2.0調教B評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス,,迫力十分
5,4,7,サトノヴィレ,+9.1,67.6,15人気,+1.5同コース実績 / +3.8近走上昇傾向 / +1.0距離短縮 / +0.4前走好走 / +2.5勝利数ボーナス,,乗込むも
6,1,2,モンドデラモーレ,+8.9,7.6,3人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.4前走好走,,前走以上
7,1,1,モンシュマン,+6.0,20.4,9人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス,,動き良化
8,2,4,グーテンベルク,+5.5,8.5,4人気,+2.0同コース近距離実績 / +2.0調教B評価 / +1.2近走上昇傾向 / +0.2前走好走 / +0.5血統距離適性,-0.5枠番補正,好調持続
9,5,10,ラーンザロープス,+4.8,4.9,2人気,+2.0調教B評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +0.2前走好走 / +0.2前々走好走 / +0.5枠番補正,-0.5血統距離適性,動き軽快
10,7,13,セシリエプラージュ,+4.8,45.0,13人気,+2.0前走3F最速 / +2.0調教B評価 / +1.2近走上昇傾向,-0.5枠番補正,キビキビ
11,8,16,ウインオーディン,+4.5,13.9,7人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0グレード実績(3-4走前),-0.5血統距離適性,出来は良
12,4,8,フライングブレード,+4.0,62.5,14人気,+2.0調教B評価 / +1.0距離短縮 / +1.0血統距離適性,,攻め熱心
13,6,11,マックアルイーン,+3.5,22.3,10人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +0.5枠番補正,,好気合
14,3,5,ユハンヌス,+3.0,26.4,11人気,+2.0調教B評価 / +1.0叩き2戦目,,元気一杯
15,8,15,ウナギノボリ,+2.6,37.3,12人気,+0.6近走上昇傾向 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,,動き平凡
16,7,14,スマイルアップ,+0.0,97.7,16人気,+1.0調教C評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +2.5勝利数ボーナス,-5.0初馬場種別 / -0.5枠番補正,仕上るも

■レース情報,芝1400m,202605030610,良

■買いサイン,⚠ 見送り,乖離4.5pt（3〜5pt）

■評価コメント
,乖離4.5ptは見送りゾーン（3〜5pt）。1位と2位の差が小さく軸信頼度が不足。
,2位ダノンエンブレム11.6倍（スコア差4.5pt）。

■三連複BOX,4頭BOX (4点) ← ROI466%,"対象馬:9,6,3,12",4点
,3－6－9
,3－6－12
,3－9－12
,6－9－12

■三連複10点,軸:9番レッドキングリー,"相手(2〜6位):6,3,12,7,2",10点
,2－3－9
,2－6－9
,2－7－9
,2－9－12
,3－6－9
,3－7－9
,3－9－12
,6－7－9
,6－9－12
,7－9－12

■三連複7点,軸:9番レッドキングリー×6番ダノンエンブレム,"相手(3〜9位):3,12,7,2,1,4,10",7点
,1－6－9
,2－6－9
,3－6－9
,4－6－9
,6－7－9
,6－9－10
,6－9－12
