順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳,調教コメント
1,5,9,レッドキングリー,+15.1,+3.0同コース実績 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.5枠番補正 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,
2,3,6,ダノンエンブレム,+11.6,+2.5同コース実績 / +1.0叩き2戦目 / +1.0距離短縮 / +0.4前走好走 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-0.5血統距離適性,
3,2,3,エフォートレス,+9.5,+2.5同コース実績 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +1.0距離短縮 / +0.4前走好走 / +5.0勝利数ボーナス,-0.5血統距離適性 / -0.5枠番補正,
4,6,12,マテンロウブラボー,+9.2,+1.5同コース実績 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス,,
5,4,7,サトノヴィレ,+9.1,+1.5同コース実績 / +3.8近走上昇傾向 / +1.0距離短縮 / +0.4前走好走 / +2.5勝利数ボーナス,,
6,1,2,モンドデラモーレ,+6.9,+3.0同コース実績 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.4前走好走,,
7,1,1,モンシュマン,+4.0,+1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス,,
8,2,4,グーテンベルク,+3.5,+2.0同コース近距離実績 / +1.2近走上昇傾向 / +0.2前走好走 / +0.5血統距離適性,-0.5枠番補正,
9,5,10,ラーンザロープス,+2.8,+1.2近走上昇傾向 / +1.0距離短縮 / +0.2前走好走 / +0.2前々走好走 / +0.5枠番補正,-0.5血統距離適性,
10,7,13,セシリエプラージュ,+2.8,+2.0前走3F最速 / +1.2近走上昇傾向,-0.5枠番補正,
11,8,15,ウナギノボリ,+2.6,+0.6近走上昇傾向 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,,
12,8,16,ウインオーディン,+2.5,+2.0前走3F最速 / +1.0グレード実績(3-4走前),-0.5血統距離適性,
13,4,8,フライングブレード,+2.0,+1.0距離短縮 / +1.0血統距離適性,,
14,6,11,マックアルイーン,+1.5,+1.0グレード実績(3-4走前) / +0.5枠番補正,,
15,3,5,ユハンヌス,+1.0,+1.0叩き2戦目,,
16,7,14,スマイルアップ,-1.0,+1.0叩き2戦目 / +0.5血統距離適性 / +2.5勝利数ボーナス,-5.0初馬場種別 / -0.5枠番補正,

■レース情報,芝1400m,202605030610

■買いサイン,⚠ 見送り,乖離3.5pt（3〜5pt）

■評価コメント
,乖離3.5ptは見送りゾーン（3〜5pt）。1位と2位の差が小さく軸信頼度が不足。

■三連複BOX,4頭BOX (4点) ← ROI466%,"対象馬:9,6,3,12",4点
,3－6－9
,3－6－12
,3－9－12
,6－9－12

■三連複10点,軸:9番レッドキングリー,"相手(2〜6位):6,3,12,7,2",10点
,2－3－9
,2－6－9
,2－7－9
,2－9－12
,3－6－9
,3－7－9
,3－9－12
,6－7－9
,6－9－12
,7－9－12

■三連複7点,軸:9番レッドキングリー×6番ダノンエンブレム,"相手(3〜9位):3,12,7,2,1,4,10",7点
,1－6－9
,2－6－9
,3－6－9
,4－6－9
,6－7－9
,6－9－10
,6－9－12
