順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,8,ニシノティアモ,+15.4,6.2,2人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +0.4前々走好走 / +1.5グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,出来安定
2,3,6,ヴァルキリーバース,+15.1,3.0,1人気,+2.5同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +0.4前走好走 / +0.5前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,,気配上々
3,1,1,マカナ,+14.4,16.4,7人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.4前々走好走 / +1.0軽量馬加点 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-0.5血統距離適性,叩き良化
4,8,15,ルージュソリテール,+13.6,12.3,6人気,+2.0同コース近距離実績 / +2.0調教B評価 / +3.8近走上昇傾向 / +0.5前走好走 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-0.5枠番補正,仕上良好
5,5,9,テリオスララ,+11.9,27.3,12人気,+3.0同コース実績 / +3.0調教A評価 / +2.5近走上昇傾向 / +0.4前々走好走 / +0.5枠番補正 / +2.5勝利数ボーナス,,動き抜群
6,3,5,エストゥペンダ,+11.4,8.1,4人気,+2.5同コース実績 / +2.0調教B評価 / +0.4前走好走 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,元気一杯
7,1,2,ウイントワイライト,+11.0,20.9,9人気,+2.0前走3F最速 / +1.5同コース実績 / +2.0調教B評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +5.0勝利数ボーナス,-1.0距離延長,好気配
8,6,12,コガネノソラ,+9.8,7.4,3人気,+2.0調教B評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.5前走好走 / +0.5枠番補正 / +2.5勝利数ボーナス,-0.5血統距離適性,仕上良好
9,6,11,テレサ,+9.4,23.3,10人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.4前々走好走 / +2.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正 / +2.5勝利数ボーナス,,素軽い
10,4,7,セキトバイースト,+7.0,10.9,5人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5枠番補正 / +2.5勝利数ボーナス,,上積十分
11,7,14,パラディレーヌ,+6.5,17.2,8人気,+2.0調教B評価 / +3.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.5複勝安定ボーナス,-0.5枠番補正,前走以上
12,2,4,ミアネーロ,+5.5,98.2,15人気,+2.5同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +0.5血統距離適性,-0.5枠番補正,仕上良好
13,5,10,ホールネス,+5.5,24.1,11人気,+2.0調教B評価 / +1.0距離短縮 / +0.5枠番補正 / +2.5勝利数ボーナス,-0.5前走ローカル,伸び上々
14,7,13,ビップデイジー,+2.0,47.1,13人気,+2.0調教B評価 / +1.0叩き2戦目,-0.5血統距離適性 / -0.5枠番補正,仕上良好
15,2,3,ブラウンラチェット,+1.5,89.6,14人気,+1.0調教C評価 / +1.0叩き2戦目 / +0.5血統距離適性,-0.5前走ローカル / -0.5枠番補正,仕上がる
16,8,16,セントメモリーズ,-2.0,134.8,16人気,+1.0調教C評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +1.0軽量馬加点,-5.0距離延長 / -0.5枠番補正,前走並み

■レース情報,芝1800m,202605030611,良

■買いサイン,⚠ 見送り,GII（ROI17%）

■評価コメント
,重賞クラス：ROI17%（n=49）。買い条件を満たさない。
,2位ヴァルキリーバース3.0倍（スコア差0.2pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:8,6,1,15,9",10点
,1－6－8
,1－6－9
,1－6－15
,1－8－9
,1－8－15
,1－9－15
,6－8－9
,6－8－15
,6－9－15
,8－9－15

■三連複10点,軸:8番ニシノティアモ,"相手(2〜6位):6,1,15,9,5",10点
,1－5－8
,1－6－8
,1－8－9
,1－8－15
,5－6－8
,5－8－9
,5－8－15
,6－8－9
,6－8－15
,8－9－15

■三連複7点,軸:8番ニシノティアモ×6番ヴァルキリーバース,"相手(3〜9位):1,15,9,5,2,12,11",7点
,1－6－8
,2－6－8
,5－6－8
,6－8－9
,6－8－11
,6－8－12
,6－8－15
