順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,2,2,ブラックチャリス,+11.5,4.3,1人気,+1.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5前々走好走 / +1.5グレード実績(3-4走前) / +0.5枠番補正 / +1.0内枠先行 / +1.0軽量馬加点 / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0ペース適性,動き抜群
2,6,10,ナムラローズマリー,+8.6,26.5,10人気,+2.0調教B評価 / +1.2近走上昇傾向 / +0.4前々走好走 / +0.5血統距離適性 / +1.0軽量馬加点 / +2.5勝利数ボーナス / +2.0ペース適性,-1.0道悪適性,元気一杯
3,4,5,ティニア,+8.5,11.7,7人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0叩き2戦目 / +2.0道悪適性 / +2.0ペース適性,-0.5枠番補正,追毎良化
4,8,13,ロードフォアエース,+8.5,7.8,4人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +2.5勝利数ボーナス / +2.0道悪適性,-1.0ペース適性,力強い
5,3,3,ジョーメッドヴィン,+6.8,11.2,6人気,+2.0調教B評価 / +0.2前々走好走 / +1.0血統距離適性 / +0.5枠番補正 / +2.5勝利数ボーナス / +1.5ペース適性,-1.0道悪適性,気合乗る
6,1,1,ダンツエラン,+6.5,33.8,12人気,+2.0調教B評価 / +1.0距離短縮 / +1.0血統距離適性 / +1.0軽量馬加点 / +2.0ペース適性,-0.5前走ローカル,変身注
7,7,12,アメリカンステージ,+6.1,6.1,3人気,+2.0調教B評価 / +2.5近走上昇傾向 / +0.2前走好走 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +2.0道悪適性,-2.0ペース適性,好気合
8,5,8,サウザンサニー,+5.0,23.5,9人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +2.0ペース適性,,迫力十分
9,8,14,ルージュラナキラ,+5.0,8.2,5人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0ペース適性,態勢整う
10,5,7,マイネルレノン,+4.8,26.7,11人気,+2.0調教B評価 / +1.2近走上昇傾向 / +0.5血統距離適性 / +2.0道悪適性,-1.0ペース適性,出来安定
11,7,11,ナムラクララ,+4.5,5.5,2人気,+2.0調教B評価 / +1.0距離短縮 / +0.5血統距離適性 / +2.0道悪適性,-1.0ペース適性,キビキビ
12,3,4,ステークホルダー,+4.0,64.0,14人気,+2.0調教B評価 / +0.5枠番補正 / +2.0ペース適性,-0.5血統距離適性,迫力十分
13,4,6,クファシル,+4.0,39.7,13人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +1.5ペース適性,-0.5前走ローカル / -0.5枠番補正,動き軽快
14,6,9,モリノドリーム,+4.0,15.2,8人気,+2.0調教B評価 / +0.5血統距離適性 / +1.5ペース適性,,気配上昇

■レース情報,芝1200m,202602010511,重

■買いサイン,三連複5頭BOX (10点),14頭立て / 乖離2.9pt/14頭

■評価コメント
,14頭立て。三連複5頭BOX(10点)でカバレッジを確保。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:2,10,5,13,3",10点
,2－3－5
,2－3－10
,2－3－13
,2－5－10
,2－5－13
,2－10－13
,3－5－10
,3－5－13
,3－10－13
,5－10－13

■三連複10点,軸:2番ブラックチャリス,"相手(2〜6位):10,5,13,3,1",10点
,1－2－3
,1－2－5
,1－2－10
,1－2－13
,2－3－5
,2－3－10
,2－3－13
,2－5－10
,2－5－13
,2－10－13

■三連複7点,軸:2番ブラックチャリス×10番ナムラローズマリー,"相手(3〜9位):5,13,3,1,12,8,14",7点
,1－2－10
,2－3－10
,2－5－10
,2－8－10
,2－10－12
,2－10－13
,2－10－14
