順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,7,アンジュプロミス,+12.1,5.7,2人気,+3.0同コース実績 / +2.0調教B評価 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-0.5枠番補正 / -2.0ペース適性,好気合
2,4,8,マーブルパレス,+12.0,7.6,4人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +5.0勝利数ボーナス,-0.5枠番補正 / -1.0ペース適性,元気一杯
3,2,3,サムハンター,+8.0,31.7,13人気,+1.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.5枠番補正 / +2.0ペース適性,-1.0季節×性別,動き軽快
4,7,13,ポエットリー,+8.0,14.6,8人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性 / +1.5ペース適性,,動き上々
5,6,11,エヴァンスウィート,+7.5,13.3,6人気,+1.0同コース実績 / +2.0調教B評価 / +0.5血統距離適性 / +2.5勝利数ボーナス / +1.5ペース適性,,キビキビ
6,5,9,パクスロマーナ,+7.0,14.4,7人気,+2.0同コース近距離実績 / +2.0調教B評価 / +3.8近走上昇傾向 / +0.2前走好走,-1.0ペース適性,好気配
7,7,14,ルーフ,+6.8,16.6,10人気,+1.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +0.5血統距離適性 / +1.5ペース適性,-0.5前走ローカル,キビキビ
8,3,6,シカゴスティング,+6.2,7.4,3人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +0.5枠番補正 / +2.0ペース適性,-0.5前走ローカル,気配上昇
9,1,1,ドゥアムール,+4.2,16.0,9人気,+1.0調教C評価 / +1.2近走上昇傾向 / +1.0血統距離適性 / +1.5ペース適性,-0.5前走ローカル,平行線
10,8,15,ロードマイライフ,+4.0,24.6,11人気,+2.0調教B評価 / +1.0血統距離適性 / +2.0ペース適性,-1.0季節×性別,動き軽快
11,3,5,サウスバンク,+3.5,5.0,1人気,+2.0調教B評価 / +1.2近走上昇傾向 / +0.2前走好走 / +0.5枠番補正 / +1.5複勝安定ボーナス,-2.0ペース適性,動き軽快
12,6,12,メルトユアハート,+2.5,9.7,5人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0血統距離適性,-0.5前走ローカル / -1.0ペース適性,動き軽快
13,8,16,ゴールドサーベル,+2.5,45.6,15人気,+1.0調教C評価 / +1.0叩き2戦目 / +2.0ペース適性,-0.5前走ローカル / -1.0季節×性別,平行線
14,2,4,エコロジーク,+1.0,25.6,12人気,+2.0調教B評価 / +0.5枠番補正 / +1.0内枠先行,-0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,素軽さ出
15,1,2,ウィルオレオール,+0.8,53.8,16人気,+2.0調教B評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +1.5ペース適性,-5.0初馬場種別 / -1.0季節×性別,出来は良
16,5,10,ハッピーロンドン,-1.0,44.3,14人気,+1.0調教C評価 / +1.0叩き2戦目 / +2.0ペース適性,-5.0初馬場種別 / -1.0季節×性別,多少良化

■レース情報,芝1200m,202602010711,良

■買いサイン,三連複4頭BOX (4点),横並び乖離0.1pt / 16頭立て / 乖離0.1pt/16頭

■評価コメント
,上位横並び（乖離0.1pt）。三連複4頭BOX(4点)で広くカバー。

■三連複BOX,4頭BOX (4点) ← ROI466%,"対象馬:7,8,3,13",4点
,3－7－8
,3－7－13
,3－8－13
,7－8－13

■三連複10点,軸:7番アンジュプロミス,"相手(2〜6位):8,3,13,11,9",10点
,3－7－8
,3－7－9
,3－7－11
,3－7－13
,7－8－9
,7－8－11
,7－8－13
,7－9－11
,7－9－13
,7－11－13

■三連複7点,軸:7番アンジュプロミス×8番マーブルパレス,"相手(3〜9位):3,13,11,9,14,6,1",7点
,1－7－8
,3－7－8
,6－7－8
,7－8－9
,7－8－11
,7－8－13
,7－8－14
