順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,3,ネブラディスク,+12.9,3.3,2人気,+2.0調教B評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.2前走好走 / +0.4前々走好走 / +0.5血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別,好調持続
2,5,7,トーアライデン,+9.5,24.1,9人気,+3.0同コース実績 / +2.0調教B評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5枠番補正 / +2.5勝利数ボーナス / +0.5道悪適性,-1.0季節×性別,攻め十分
3,8,14,マトラコーニッシュ,+9.0,14.6,6人気,+2.5同コース実績 / +2.0調教B評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス / +0.5道悪適性,-0.5枠番補正,キビキビ
4,2,2,ヴィスマール,+8.1,15.1,7人気,+2.0調教B評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +0.4前走好走 / +1.0内枠先行 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-0.5枠番補正 / -1.0季節×性別,好気配
5,4,5,アラタマフェーヴル,+8.1,11.4,4人気,+2.0調教B評価 / +3.8近走上昇傾向 / +0.4前走好走 / +0.5枠番補正 / +2.5勝利数ボーナス / +0.5道悪適性,-0.5血統距離適性 / -1.0季節×性別,好調子
6,3,4,サウンドムーブ,+7.5,2.8,1人気,+2.0調教B評価 / +1.0距離短縮 / +0.5前々走好走 / +1.5グレード実績(3-4走前) / +1.0血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別,気配上昇
7,4,6,ナヴォーナ,+6.8,56.7,12人気,+2.0前走3F最速 / +2.0調教B評価 / +3.8近走上昇傾向 / +0.5血統距離適性 / +0.5枠番補正,-1.0長期休養明け / -1.0季節×性別,前走以上
8,8,13,モアリジット,+5.4,20.4,8人気,+2.0調教B評価 / +0.4前走好走 / +0.5血統距離適性 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-0.5枠番補正 / -1.0季節×性別,仕上上々
9,7,12,ウォーターガーベラ,+4.2,14.1,5人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +0.5血統距離適性,-0.5枠番補正,状態良好
10,7,11,レディーミコノス,+4.0,9.6,3人気,+2.0調教B評価 / +2.5勝利数ボーナス,-0.5枠番補正,出来安定
11,6,9,アルトゥーム,+3.5,57.4,13人気,+2.0調教B評価 / +1.0距離短縮 / +1.0血統距離適性 / +0.5枠番補正,-1.0季節×性別,攻め十分
12,1,1,ハギノアルデバラン,+2.5,31.4,10人気,+2.0調教B評価 / +1.0距離短縮 / +0.5血統距離適性,-1.0季節×性別,一歩前進
13,5,8,ドットクルー,+2.5,45.6,11人気,+2.0調教B評価 / +1.0距離短縮 / +0.5枠番補正,-1.0季節×性別,反応上々
14,6,10,スリリングチェイス,+0.5,59.9,14人気,+2.0調教B評価 / +0.5血統距離適性 / +0.5枠番補正 / +0.5道悪適性,-3.0距離延長,仕上良好

■レース情報,芝1800m,202610020311,稍重

■買いサイン,⚠ 見送り,乖離3.4pt（3〜5pt）

■評価コメント
,乖離3.4pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2位トーアライデン24.1倍：相手を絞り込みにくく三連複の期待値も低い。

■三連複BOX,4頭BOX (4点) ← ROI466%,"対象馬:3,7,14,2",4点
,2－3－7
,2－3－14
,2－7－14
,3－7－14

■三連複10点,軸:3番ネブラディスク,"相手(2〜6位):7,14,2,5,4",10点
,2－3－4
,2－3－5
,2－3－7
,2－3－14
,3－4－5
,3－4－7
,3－4－14
,3－5－7
,3－5－14
,3－7－14

■三連複7点,軸:3番ネブラディスク×7番トーアライデン,"相手(3〜9位):14,2,5,4,6,13,12",7点
,2－3－7
,3－4－7
,3－5－7
,3－6－7
,3－7－12
,3－7－13
,3－7－14
