順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,8,9,ゲイルライダー,+9.8,2.0,1人気,+2.0調教B評価 / +0.2前々走好走 / +1.0血統距離適性 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス / +2.0ペース適性,-1.0季節×性別 / -1.0道悪適性,好調子
2,7,7,テセラリアン,+8.4,7.0,3人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.4前走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス / +2.0ペース適性,,キビキビ
3,8,10,カネショウレジェン,+7.4,12.3,6人気,+2.0調教B評価 / +1.0距離短縮 / +0.4前々走好走 / +2.5勝利数ボーナス / +2.0道悪適性 / +0.5ペース適性,-1.0季節×性別,好気配
4,7,8,イリフィ,+7.2,6.4,2人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0叩き2戦目 / +0.2前走好走 / +2.5勝利数ボーナス / +0.5ペース適性,-1.0道悪適性,上積十分
5,1,1,ボディブロー,+5.5,11.6,4人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +5.0勝利数ボーナス / +2.0道悪適性,-0.5前走ローカル / -2.0枠番補正 / -1.0季節×性別 / -1.0ペース適性,一歩前進
6,5,5,ピックアップライン,+4.0,25.1,9人気,+2.0調教B評価 / +1.0距離短縮 / +2.5勝利数ボーナス / +0.5ペース適性,-1.0季節×性別 / -1.0道悪適性,動き軽快
7,3,3,ラストシャリナ,+3.5,13.5,8人気,+1.0調教C評価 / +1.0距離短縮 / +0.5血統距離適性 / +2.5勝利数ボーナス / +0.5ペース適性,-1.0季節×性別 / -1.0道悪適性,反応平凡
8,2,2,ゲキザル,+2.0,12.8,7人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +2.0道悪適性,-2.0枠番補正 / -1.0季節×性別 / -1.0ペース適性,実戦向き
9,4,4,メイショウコバト,+0.0,32.2,10人気,+1.0調教C評価 / +1.0叩き2戦目,-1.0道悪適性 / -1.0ペース適性,変わらず
10,6,6,アイアムユウシュン,-1.5,12.2,5人気,+0.5ペース適性,-1.0季節×性別 / -1.0道悪適性,動き一息

■レース情報,ダート1150m,202603020311,重

■買いサイン,🏇 三連単A+B推奨,3勝クラス×2.0倍 / 乖離1.4pt 10頭 / A+B 24点

■評価コメント
,3勝クラス×2.0倍：三連単A+Bフォーメーション推奨（ROI241%・ヒット率24%）。
,[A] ゲイルライダー（1着固定）× 紐4頭（2-3着）12点
,[B] 紐4頭（1着）× ゲイルライダー（2着固定）× 紐4頭（3着）12点

■三連複BOX,4頭BOX (4点) ← ROI466%,"対象馬:9,7,10,8",4点
,7－8－9
,7－8－10
,7－9－10
,8－9－10

■三連複10点,軸:9番ゲイルライダー,"相手(2〜6位):7,10,8,1,5",10点
,1－5－9
,1－7－9
,1－8－9
,1－9－10
,5－7－9
,5－8－9
,5－9－10
,7－8－9
,7－9－10
,8－9－10

■三連複7点,軸:9番ゲイルライダー×7番テセラリアン,"相手(3〜9位):10,8,1,5,3,2,4",7点
,1－7－9
,2－7－9
,3－7－9
,4－7－9
,5－7－9
,7－8－9
,7－9－10


■レース結果（実際）,TUF杯,ダート1150m,2026-07-04
着順,馬番,馬名,タイム,馬体重(増減),人気,予想順位
1,9,ゲイルライダー,1:07.1,508(-8),1人気,予想1位
2,8,イリフィ,1:07.5,430(0),2人気,予想4位
3,3,ラストシャリナ,1:07.9,488(-8),7人気,予想7位
4,7,テセラリアン,1:07.9,448(-6),3人気,予想2位
5,10,カネショウレジェン,1:07.9,486(0),4人気,予想3位
6,1,ボディブロー,1:08.0,524(-14),6人気,予想5位
7,4,メイショウコバト,1:08.2,466(-6),10人気,予想9位
8,2,ゲキザル,1:08.6,470(-12),8人気,予想8位
9,6,アイアムユウシュン,1:08.6,514(-10),5人気,予想10位
10,5,ピックアップライン,1:09.2,506(-10),9人気,予想6位
