順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,4,ゴールデンパゴーダ,+13.9,11.2,6人気,+3.0同コース実績 / +1.0調教C評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.4前走好走 / +1.0軽量馬加点 / +5.0勝利数ボーナス,,遅れ上々
2,3,3,リアルファインド,+9.1,13.3,8人気,+2.0調教B評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前々走好走 / +1.0内枠先行 / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0季節×性別,動き軽快
3,6,7,アスクデッドヒート,+8.5,8.5,3人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-1.0季節×性別,元気一杯
4,8,11,バースライト,+8.1,7.6,2人気,+2.0調教B評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0季節×性別,仕上上々
5,1,1,アルマデオロ,+6.5,1.9,1人気,+2.0調教B評価 / +0.5血統距離適性 / +1.0内枠先行 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-1.0季節×性別,素軽い
6,6,6,ジュンツバメガエシ,+4.5,13.2,7人気,+1.0調教C評価 / +2.5近走上昇傾向 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.5複勝安定ボーナス,-1.0長期休養明け / -1.0季節×性別,仕上十分
7,7,9,ブリヤディアマンテ,+4.5,55.9,11人気,+2.0調教B評価 / +1.0血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別,動き軽快
8,7,8,ラーシャローム,+3.5,10.7,5人気,+2.0調教B評価 / +2.5勝利数ボーナス,-1.0季節×性別,仕上良好
9,5,5,リギーロ,+2.5,10.4,4人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.5血統距離適性,-1.0季節×性別,動き軽快
10,2,2,アメジストブラック,+2.0,34.0,9人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-0.5前走ローカル / -1.0季節×性別,やや良化
11,8,10,ライフセービング,+1.2,36.9,10人気,+2.0調教B評価 / +0.2前走好走,-1.0季節×性別,素軽さ出

■レース情報,芝2600m,202602010810,良

■買いサイン,⚠ 見送り,乖離4.8pt（3〜5pt） / 2勝クラス（ROI47%）

■評価コメント
,乖離4.8pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位リアルファインド13.3倍（スコア差4.8pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:4,3,7,11,1",10点
,1－3－4
,1－3－7
,1－3－11
,1－4－7
,1－4－11
,1－7－11
,3－4－7
,3－4－11
,3－7－11
,4－7－11

■三連複10点,軸:4番ゴールデンパゴーダ,"相手(2〜6位):3,7,11,1,6",10点
,1－3－4
,1－4－6
,1－4－7
,1－4－11
,3－4－6
,3－4－7
,3－4－11
,4－6－7
,4－6－11
,4－7－11

■三連複7点,軸:4番ゴールデンパゴーダ×3番リアルファインド,"相手(3〜9位):7,11,1,6,9,8,5",7点
,1－3－4
,3－4－5
,3－4－6
,3－4－7
,3－4－8
,3－4－9
,3－4－11


■レース結果（実際）,横津岳特別,芝2600m,2026-07-05
着順,馬番,馬名,タイム,馬体重(増減),人気,予想順位
1,1,アルマデオロ,2:40.1,496(+4),1人気,予想5位
2,7,アスクデッドヒート,2:40.3,480(+6),3人気,予想3位
3,11,バースライト,2:40.4,516(+10),2人気,予想4位
4,8,ラーシャローム,2:40.4,478(+6),4人気,予想8位
5,6,ジュンツバメガエシ,2:40.4,514(+2),7人気,予想6位
6,3,リアルファインド,2:40.5,524(+20),8人気,予想2位
7,10,ライフセービング,2:40.8,462(-6),9人気,予想11位
8,9,ブリヤディアマンテ,2:40.9,498(+10),10人気,予想7位
9,5,リギーロ,2:40.9,480(-6),6人気,予想9位
10,2,アメジストブラック,2:41.4,528(-2),11人気,予想10位
11,4,ゴールデンパゴーダ,2:42.2,402(+2),5人気,予想1位
