順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,9,マジックローズ,+10.4,4.9,2人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-1.0道悪適性,好調持続
2,4,7,フィドルファドル,+7.5,5.3,3人気,+2.0前走3F最速 / +2.0調教B評価 / +0.2前走好走 / +0.2前々走好走 / +0.5血統距離適性 / +1.5複勝安定ボーナス / +1.0道悪適性,,状態良好
3,2,4,タマモジャスミン,+7.4,8.9,6人気,+3.0同コース実績 / +2.0調教B評価 / +0.4前々走好走 / +0.5血統距離適性 / +1.0内枠先行 / +2.5勝利数ボーナス,-2.0枠番補正,追毎良化
4,8,16,カロローザ,+5.9,8.3,5人気,+1.0調教C評価 / +1.0叩き2戦目 / +0.4前々走好走 / +2.5勝利数ボーナス / +1.0道悪適性,,完調手前
5,5,10,ツーピース,+3.9,88.8,15人気,+1.0調教C評価 / +0.4前々走好走 / +2.5勝利数ボーナス,,目立たず
6,6,12,シュヴァルツリーベ,+3.5,50.6,14人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.5血統距離適性,,動き良化
7,3,6,メイショウリリー,+1.5,8.2,4人気,+2.0調教B評価,-0.5血統距離適性,好気合
8,7,13,ワイノナオミ,+1.5,19.2,8人気,+1.0調教C評価 / +0.5血統距離適性,,変わらず
9,1,1,プウスカンドゥール,+1.0,32.7,11人気,+2.0同コース近距離実績 / +2.0調教B評価 / +1.0グレード実績(3-4走前),-2.0枠番補正 / -2.0道悪適性,攻馬良化
10,3,5,ノボリクレバー,+1.0,15.5,7人気,+2.0調教B評価 / +1.0距離短縮,-2.0道悪適性,仕上上々
11,8,15,フローラルセント,+1.0,96.9,16人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.5血統距離適性,-0.5前走ローカル / -2.0道悪適性,気配上々
12,7,14,タマモナポリ,+0.0,43.4,13人気,+1.0調教C評価 / +1.0叩き2戦目,-2.0道悪適性,平行線
13,1,2,ホウショウマリス,-0.5,4.9,1人気,+2.0調教B評価 / +0.5血統距離適性,-2.0枠番補正 / -1.0道悪適性,動き軽快
14,2,3,ユウェンタース,-1.0,28.2,10人気,+2.0調教B評価,-2.0枠番補正 / -1.0道悪適性,出来安定
15,4,8,ジャルディニエ,-2.0,28.0,9人気,+2.0調教B評価 / +1.0血統距離適性,-5.0初馬場種別 / -0.5前走ローカル / -1.0道悪適性,末脚良し
16,6,11,ファミリーツリー,-2.0,39.6,12人気,+2.0前走3F最速 / +1.0調教C評価,-5.0初馬場種別 / -0.5前走ローカル / -1.0道悪適性,多少良化

■レース情報,ダート1700m,202610020410,不良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位フィドルファドル5.3倍（スコア差2.9pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:9,7,4,16,10",10点
,4－7－9
,4－7－10
,4－7－16
,4－9－10
,4－9－16
,4－10－16
,7－9－10
,7－9－16
,7－10－16
,9－10－16

■三連複10点,軸:9番マジックローズ,"相手(2〜6位):7,4,16,10,12",10点
,4－7－9
,4－9－10
,4－9－12
,4－9－16
,7－9－10
,7－9－12
,7－9－16
,9－10－12
,9－10－16
,9－12－16

■三連複7点,軸:9番マジックローズ×7番フィドルファドル,"相手(3〜9位):4,16,10,12,6,13,1",7点
,1－7－9
,4－7－9
,6－7－9
,7－9－10
,7－9－12
,7－9－13
,7－9－16
