順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,5,ベストミーエヴァー,+9.6,1.6,1人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +0.4前走好走 / +0.4前々走好走 / +0.5枠番補正 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス,,態勢整う
2,7,10,リアンベーレ,+7.6,12.1,4人気,+2.5同コース実績 / +1.0調教C評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +1.0距離短縮 / +0.4前々走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0長期休養明け / -0.5枠番補正 / -1.0ペース適性,伸び一息
3,8,11,グランカンタンテ,+7.0,7.9,3人気,+3.0同コース実績 / +2.0調教B評価 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5ペース適性,-0.5枠番補正,態勢整う
4,6,8,シャイニースイフト,+5.8,24.8,9人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +0.5枠番補正 / +2.0ペース適性,-1.0季節×性別,仕上上々
5,7,9,バセリーナ,+4.0,23.4,8人気,+3.0同コース実績 / +1.0調教C評価 / +2.5勝利数ボーナス,-0.5枠番補正 / -1.0季節×性別 / -1.0ペース適性,前走並み
6,2,2,マイネルフォルツァ,+3.1,7.4,2人気,+2.0前走3F最速 / +2.0調教B評価 / +0.6近走上昇傾向 / +0.5ペース適性,-0.5血統距離適性 / -0.5枠番補正 / -1.0季節×性別,元気一杯
7,4,4,ペッレグリーニ,+2.6,22.7,7人気,+1.0調教C評価 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +0.5血統距離適性 / +0.5枠番補正,-1.0ペース適性,変わらず
8,1,1,ワザモノ,+1.5,14.9,6人気,+2.0調教B評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前),-0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,出来は良
9,3,3,ロゼル,+1.5,51.6,10人気,+2.0調教B評価 / +0.5ペース適性,-1.0季節×性別,キビキビ
10,8,12,ビッグデイメイク,-0.5,110.5,12人気,+1.0血統距離適性,-0.5枠番補正 / -1.0ペース適性,いま一息
11,6,7,レッドダンルース,-2.0,13.4,5人気,+2.0調教B評価 / +1.0血統距離適性 / +0.5枠番補正,-5.0初馬場種別 / -1.0季節×性別,気配上昇
12,5,6,ヨシヒロ,-4.0,71.4,11人気,+1.0調教C評価 / +0.5枠番補正,-5.0初馬場種別 / -1.0季節×性別,反応平凡

■レース情報,芝1800m,202603020410,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位リアンベーレ12.1倍（スコア差2.0pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:5,10,11,8,9",10点
,5－8－9
,5－8－10
,5－8－11
,5－9－10
,5－9－11
,5－10－11
,8－9－10
,8－9－11
,8－10－11
,9－10－11

■三連複10点,軸:5番ベストミーエヴァー,"相手(2〜6位):10,11,8,9,2",10点
,2－5－8
,2－5－9
,2－5－10
,2－5－11
,5－8－9
,5－8－10
,5－8－11
,5－9－10
,5－9－11
,5－10－11

■三連複7点,軸:5番ベストミーエヴァー×10番リアンベーレ,"相手(3〜9位):11,8,9,2,4,1,3",7点
,1－5－10
,2－5－10
,3－5－10
,4－5－10
,5－8－10
,5－9－10
,5－10－11
