順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,2,2,ピコアーガイル,+8.5,4.7,2人気,+2.0同コース近距離実績 / +2.0調教B評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.2前走好走 / +0.5枠番補正 / +1.0内枠先行,-1.0季節×性別 / -1.0ペース適性,気合乗る
2,6,9,レイユール,+8.5,16.0,8人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0距離短縮 / +2.5勝利数ボーナス / +1.5ペース適性,-0.5血統距離適性,元気一杯
3,7,12,ヴィヴァクラウン,+7.8,9.2,4人気,+2.0同コース近距離実績 / +2.0調教B評価 / +0.2前々走好走 / +2.5勝利数ボーナス / +2.0ペース適性,-1.0季節×性別,出来安定
4,3,3,ライツユーアップ,+7.0,19.8,9人気,+2.0調教B評価 / +0.5血統距離適性 / +0.5枠番補正 / +2.5勝利数ボーナス / +1.5ペース適性,,出来は良
5,4,6,キープサインオン,+5.0,25.4,10人気,+1.0調教C評価 / +1.0血統距離適性 / +2.5勝利数ボーナス / +0.5道悪適性 / +1.5ペース適性,-0.5枠番補正 / -1.0季節×性別,変わらず
6,1,1,トウカイエルデ,+4.0,9.0,3人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.5ペース適性,-0.5血統距離適性 / -1.0季節×性別,キビキビ
7,5,7,アスクケンタッキー,+3.9,2.9,1人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.4前走好走 / +5.0勝利数ボーナス / +0.5道悪適性,-5.0初馬場種別 / -1.0季節×性別 / -2.0ペース適性,好気配
8,3,4,キーガッツ,+3.6,13.4,6人気,+1.0調教C評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.5枠番補正 / +2.5勝利数ボーナス,-0.5血統距離適性 / -5.0初馬場種別 / -1.0季節×性別,仕上十分
9,8,14,ムチャスグラシアス,+3.0,56.3,14人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.5ペース適性,-0.5前走ローカル,気配平凡
10,7,11,ラスティングスノー,+2.0,10.8,5人気,+0.5血統距離適性 / +2.5勝利数ボーナス / +0.5道悪適性,-0.5前走ローカル / -1.0ペース適性,
11,4,5,ジーベック,+1.2,14.3,7人気,+2.0調教B評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +2.0ペース適性,-5.0初馬場種別 / -0.5枠番補正 / -1.0季節×性別,好気配
12,6,10,エルサトアナ,-0.5,42.3,13人気,+1.0調教C評価 / +1.0叩き2戦目,-0.5前走ローカル / -2.0ペース適性,やや良化
13,8,13,モレポブラーノ,-0.5,40.7,12人気,+1.0叩き2戦目 / +1.0距離短縮 / +2.5勝利数ボーナス,-5.0初馬場種別 / -0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,
14,5,8,フレッシュラン,-1.0,38.1,11人気,+1.0調教C評価 / +1.0距離短縮 / +2.0ペース適性,-5.0初馬場種別,余力有り

■レース情報,芝1200m,202602010910,稍重

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位レイユール16.0倍（スコア差0.0pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:2,9,12,3,6",10点
,2－3－6
,2－3－9
,2－3－12
,2－6－9
,2－6－12
,2－9－12
,3－6－9
,3－6－12
,3－9－12
,6－9－12

■三連複10点,軸:2番ピコアーガイル,"相手(2〜6位):9,12,3,6,1",10点
,1－2－3
,1－2－6
,1－2－9
,1－2－12
,2－3－6
,2－3－9
,2－3－12
,2－6－9
,2－6－12
,2－9－12

■三連複7点,軸:2番ピコアーガイル×9番レイユール,"相手(3〜9位):12,3,6,1,7,4,14",7点
,1－2－9
,2－3－9
,2－4－9
,2－6－9
,2－7－9
,2－9－12
,2－9－14
