順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,6,7,ネイチャーシップ,+5.6,3.4,2人気,+2.0調教B評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-4.0特殊条件 / -1.0季節×性別,元気一杯
2,6,6,シャンデルナゴル,+3.1,7.4,3人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.4前々走好走 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス,-4.0特殊条件 / -1.0季節×性別,迫力十分
3,4,4,ナックエルドラド,+1.9,90.4,11人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-4.0特殊条件 / -1.0季節×性別,動き軽快
4,7,8,グラニットピーク,+1.5,21.2,7人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-4.0特殊条件,前走並み
5,8,10,コスモチプリア,+1.0,21.2,8人気,+1.0調教C評価,,仕上十分
6,3,3,トゥラッタッタ,+0.8,2.0,1人気,+2.0調教B評価 / +3.8近走上昇傾向,-4.0特殊条件 / -1.0季節×性別,好調持続
7,8,11,クラウンセト,+0.0,52.4,10人気,+1.0調教C評価,-1.0季節×性別,仕上るも
8,5,5,フームスムート,-0.5,26.5,9人気,+2.0調教B評価 / +2.5勝利数ボーナス,-4.0特殊条件 / -1.0季節×性別,動き上々
9,1,1,ヒットアンドロール,-1.5,21.1,6人気,+1.0調教C評価 / +2.5勝利数ボーナス,-4.0特殊条件 / -1.0季節×性別,目立たず
10,2,2,ジーククローネ,-2.5,12.3,4人気,+1.0調教C評価 / +1.0叩き2戦目,-4.0特殊条件 / -0.5前走ローカル,まずまず
11,7,9,タマモエース,-2.6,18.2,5人気,+1.0調教C評価 / +1.0叩き2戦目 / +0.4前走好走,-4.0特殊条件 / -1.0季節×性別,前走並み

■レース情報,,202603020501,良

■買いサイン,⚠ 見送り,乖離4.9pt（3〜5pt）

■評価コメント
,乖離4.9pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2位トゥラッタッタ2.0倍（スコア差4.9pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:7,6,4,8,10",10点
,4－6－7
,4－6－8
,4－6－10
,4－7－8
,4－7－10
,4－8－10
,6－7－8
,6－7－10
,6－8－10
,7－8－10

■三連複10点,軸:7番ネイチャーシップ,"相手(2〜6位):6,4,8,10,3",10点
,3－4－7
,3－6－7
,3－7－8
,3－7－10
,4－6－7
,4－7－8
,4－7－10
,6－7－8
,6－7－10
,7－8－10

■三連複7点,軸:7番ネイチャーシップ×6番シャンデルナゴル,"相手(3〜9位):4,8,10,3,11,5,1",7点
,1－6－7
,3－6－7
,4－6－7
,5－6－7
,6－7－8
,6－7－10
,6－7－11
