順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,5,フォーチュンライド,+11.9,4.1,2人気,+3.0同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +1.0軽量馬加点 / +2.5勝利数ボーナス / +1.0ペース適性,,仕上良好
2,8,10,ジャスティンガルフ,+11.1,7.5,5人気,+3.0同コース実績 / +1.0調教評価 / +3.8近走上昇傾向 / +0.4前々走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス / +0.5ペース適性,-1.0季節×性別,仕上るも
3,1,1,ダノンカゼルタ,+5.0,8.7,6人気,+1.0調教評価 / +1.0枠番補正 / +2.5勝利数ボーナス / +0.5ペース適性,,動き軽快
4,8,11,オウケンボルト,+4.5,15.9,7人気,+2.0調教評価 / +2.5近走上昇傾向 / +1.0距離短縮 / +0.5ペース適性,-0.5血統距離適性 / -1.0季節×性別,出来安定
5,3,3,プリズマジコ,+4.0,7.0,4人気,+2.0前走3F最速 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0血統距離適性 / +0.5ペース適性,-0.5枠番補正 / -1.0季節×性別,一歩前進
6,7,8,コリカンチャ,+2.0,3.3,1人気,+1.0距離短縮 / +2.5勝利数ボーナス,-0.5前走ローカル / -1.0ペース適性,伸び平凡
7,6,7,レイピカケ,+1.2,6.7,3人気,+1.0叩き2戦目 / +1.2近走上昇傾向 / +0.5血統距離適性,-0.5前走ローカル / -1.0ペース適性,一歩前進
8,2,2,ショウナンハウル,+0.5,24.6,8人気,+1.0調教評価 / +1.0血統距離適性,-0.5枠番補正 / -1.0ペース適性,一週前追
9,7,9,オデット,+0.0,53.2,11人気,+1.0叩き2戦目 / +0.5ペース適性,-1.0調教評価 / -0.5前走ローカル,変わらず
10,6,6,アスクエピソード,-1.5,43.9,10人気,+0.5血統距離適性,-1.0季節×性別 / -1.0ペース適性,良化薄い
11,4,4,ハッピーダンチャン,-2.0,40.9,9人気,+1.0調教評価 / +1.0叩き2戦目 / +0.5枠番補正 / +1.0ペース適性,-5.0初馬場種別 / -1.0季節×性別,良化遅い

■レース情報,芝2000m,202610020610,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ジャスティンガルフ7.5倍（スコア差0.8pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:5,10,1,11,3",10点
,1－3－5
,1－3－10
,1－3－11
,1－5－10
,1－5－11
,1－10－11
,3－5－10
,3－5－11
,3－10－11
,5－10－11

■三連複10点,軸:5番フォーチュンライド,"相手(2〜6位):10,1,11,3,8",10点
,1－3－5
,1－5－8
,1－5－10
,1－5－11
,3－5－8
,3－5－10
,3－5－11
,5－8－10
,5－8－11
,5－10－11

■三連複7点,軸:5番フォーチュンライド×10番ジャスティンガルフ,"相手(3〜9位):1,11,3,8,7,2,9",7点
,1－5－10
,2－5－10
,3－5－10
,5－7－10
,5－8－10
,5－9－10
,5－10－11
