順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,3,リフレックス,+12.2,5.2,3人気,+3.0同コース実績 / +2.0調教評価 / +0.4前走好走 / +0.4前々走好走 / +1.0内枠先行 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別,状態良好
2,1,1,ダカラフェスティヴ,+11.0,10.4,7人気,+2.0前走3F最速 / +3.0調教評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-2.0枠番補正 / -0.5道悪適性,実戦向き
3,7,9,チギリ,+9.2,7.8,5人気,+1.0同コース実績 / +1.0調教評価 / +0.4前走好走 / +0.4前々走好走 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,動き上々
4,6,6,サトミノエンジェル,+6.1,9.2,6人気,+0.4前々走好走 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +0.5道悪適性,-1.0調教評価 / -1.0季節×性別,伸び一息
5,8,10,スマートケープ,+6.0,4.4,1人気,+2.0同コース近距離実績 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス / +0.5道悪適性,-1.0調教評価,反応平凡
6,6,7,ティンティンデオ,+4.9,40.8,10人気,+1.0叩き2戦目 / +0.4前々走好走 / +0.5血統距離適性 / +5.0勝利数ボーナス,-1.0調教評価 / -1.0季節×性別,変わらず
7,2,2,ジェイエルマスター,+4.0,6.4,4人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス / +0.5道悪適性,-2.0枠番補正 / -1.0季節×性別,気配上々
8,8,11,ドバイブルース,+2.0,4.9,2人気,+1.0調教評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +0.5道悪適性,-1.0季節×性別,元気一杯
9,7,8,オンザライン,+0.5,20.2,8人気,+0.5道悪適性,,仕上がる
10,4,4,ハッスルダンク,+0.0,42.2,11人気,,,いま一息
11,5,5,ゲキザル,-4.0,21.1,9人気,+1.0叩き2戦目 / +0.5道悪適性,-1.0調教評価 / -3.0距離延長 / -0.5前走ローカル / -1.0季節×性別,気配平凡

■レース情報,ダート1700m,202603020610,稍重

■買いサイン,三連複4頭BOX (4点),乖離1.2pt/11頭

■評価コメント
,乖離1.2pt・11頭。三連複4頭BOX(4点)推奨。

■三連複BOX,4頭BOX (4点) ← ROI466%,"対象馬:3,1,9,6",4点
,1－3－6
,1－3－9
,1－6－9
,3－6－9

■三連複10点,軸:3番リフレックス,"相手(2〜6位):1,9,6,10,7",10点
,1－3－6
,1－3－7
,1－3－9
,1－3－10
,3－6－7
,3－6－9
,3－6－10
,3－7－9
,3－7－10
,3－9－10

■三連複7点,軸:3番リフレックス×1番ダカラフェスティヴ,"相手(3〜9位):9,6,10,7,2,11,8",7点
,1－2－3
,1－3－6
,1－3－7
,1－3－8
,1－3－9
,1－3－10
,1－3－11
