順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,8,サンマルノヴェル,+12.1,4.4,1人気,+2.0前走3F最速 / +2.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +1.0騎手フォーム / +0.5道悪適性 / +1.5ペース適性,-1.0季節×性別,好調子
2,7,14,ホーリーブライト,+7.9,33.6,12人気,+3.0同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +2.5勝利数ボーナス,,追毎良化
3,1,1,ピコテンダー,+6.1,5.4,2人気,+1.0調教評価 / +0.4前々走好走 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +1.0騎手フォーム / +1.5ペース適性,-0.5前走ローカル / -2.0枠番補正,動き上々
4,4,7,ラーナローザ,+5.5,11.9,6人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0血統距離適性 / +2.5勝利数ボーナス,,まずまず
5,8,16,ホウオウプレミア,+4.5,16.4,9人気,+1.0調教評価 / +1.0距離短縮 / +1.0血統距離適性 / +0.5道悪適性 / +2.0ペース適性,-1.0季節×性別,まずまず
6,1,2,ローマンレイク,+3.4,13.8,8人気,+1.0調教評価 / +1.0距離短縮 / +0.4前走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス,-2.0枠番補正 / -0.5道悪適性,元気一杯
7,5,9,スーパーバイザー,+3.4,20.5,11人気,+2.0調教評価 / +0.4前走好走 / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0季節×性別,状態良好
8,6,12,モリノレッドスター,+3.2,7.2,3人気,+3.0調教評価 / +0.2前々走好走,,気配抜群
9,7,13,フェンダー,+3.2,8.3,4人気,+2.0調教評価 / +0.2前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.0騎手フォーム / +0.5道悪適性,-1.0季節×性別 / -1.0ペース適性,好気合
10,2,4,ペプチドクレマチス,+3.0,57.4,14人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0内枠先行 / +2.5勝利数ボーナス / +0.5道悪適性,-2.0枠番補正 / -1.0ペース適性,仕上り早
11,3,5,ラヴァグロウ,+3.0,90.9,16人気,+2.5勝利数ボーナス / +0.5道悪適性,,前走並み
12,5,10,レイワサンサン,+3.0,39.3,13人気,+1.0距離短縮 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0ペース適性,やや良化
13,8,15,クリノオリーブ,+2.9,11.2,5人気,+2.0調教評価 / +0.4前走好走 / +0.5道悪適性,,迫力十分
14,3,6,サヨノジャンボリー,+2.4,12.8,7人気,+1.0調教評価 / +0.4前走好走 / +2.5勝利数ボーナス,-1.0季節×性別 / -0.5道悪適性,遅れ上々
15,6,11,マフィン,+1.5,82.0,15人気,+1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性,-1.0調教評価,気配平凡
16,2,3,ショウナンラリー,+0.0,17.8,10人気,+1.0調教評価 / +2.5勝利数ボーナス,-2.0枠番補正 / -1.0季節×性別 / -0.5道悪適性,追毎良化

■レース情報,ダート1150m,202603020612,稍重

■買いサイン,⚠ 見送り,乖離4.2pt（3〜5pt） / 2勝クラス（ROI47%）

■評価コメント
,乖離4.2pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ホーリーブライト33.6倍：相手を絞り込みにくく三連複の期待値も低い。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:8,14,1,7,16",10点
,1－7－8
,1－7－14
,1－7－16
,1－8－14
,1－8－16
,1－14－16
,7－8－14
,7－8－16
,7－14－16
,8－14－16

■三連複10点,軸:8番サンマルノヴェル,"相手(2〜6位):14,1,7,16,2",10点
,1－2－8
,1－7－8
,1－8－14
,1－8－16
,2－7－8
,2－8－14
,2－8－16
,7－8－14
,7－8－16
,8－14－16

■三連複7点,軸:8番サンマルノヴェル×14番ホーリーブライト,"相手(3〜9位):1,7,16,2,9,12,13",7点
,1－8－14
,2－8－14
,7－8－14
,8－9－14
,8－12－14
,8－13－14
,8－14－16
