順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,6,7,ルールーリマ,+14.9,4.7,2人気,+2.0同コース近距離実績 / +2.0調教評価 / +3.8近走上昇傾向 / +0.4前走好走 / +0.2前々走好走 / +1.0血統距離適性 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス / +1.0騎手フォーム / +0.5ペース適性,,好気配
2,4,4,アロンズロッド,+14.1,2.5,1人気,+2.0前走3F最速 / +2.0調教評価 / +1.0距離短縮 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +2.0騎手フォーム / +0.5ペース適性,-1.0季節×性別,状態良好
3,5,6,コスモイシュタル,+13.5,5.0,3人気,+3.0同コース実績 / +1.0調教評価 / +2.5近走上昇傾向 / +0.2前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +0.5ペース適性,,気配上々
4,7,10,クラヴァンス,+8.5,5.7,4人気,+1.0調教評価 / +1.0叩き2戦目 / +5.0勝利数ボーナス / +1.0騎手フォーム / +2.0ペース適性,-0.5血統距離適性 / -1.0季節×性別,仕上良好
5,7,9,ヤマニンガラッシア,+6.5,23.2,6人気,+2.0調教評価 / +3.8近走上昇傾向 / +0.2前々走好走 / +1.0血統距離適性 / +0.5ペース適性,-1.0季節×性別,好気配
6,2,2,ゴーソーファー,+2.5,26.7,8人気,+2.0調教評価 / +1.0叩き2戦目 / +1.0血統距離適性,-0.5枠番補正 / -1.0ペース適性,前走以上
7,8,12,バードウォッチャー,+1.6,23.5,7人気,+1.0叩き2戦目 / +0.6近走上昇傾向 / +1.0血統距離適性 / +0.5ペース適性,-0.5前走ローカル / -1.0季節×性別,前走並み
8,6,8,レッセパッセ,-0.5,30.9,9人気,+1.0調教評価,-0.5前走ローカル / -1.0ペース適性,出来は良
9,1,1,ジェットブレード,-1.0,14.5,5人気,+1.0枠番補正 / +0.5ペース適性,-1.0調教評価 / -0.5前走ローカル / -1.0季節×性別,動き平凡
10,3,3,ビッグデイメイク,-2.5,127.4,12人気,+0.5血統距離適性,-1.0調教評価 / -0.5前走ローカル / -0.5枠番補正 / -1.0ペース適性,目立たず
11,5,5,バセリーナ,-2.5,38.7,10人気,+1.0叩き2戦目,-1.0調教評価 / -0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,目立たず
12,8,11,ヨシヒロ,-2.5,58.1,11人気,+1.0叩き2戦目,-1.0調教評価 / -0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,気配平凡

■レース情報,芝2000m,202603020810,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位アロンズロッド2.5倍（スコア差0.8pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:7,4,6,10,9",10点
,4－6－7
,4－6－9
,4－6－10
,4－7－9
,4－7－10
,4－9－10
,6－7－9
,6－7－10
,6－9－10
,7－9－10

■三連複10点,軸:7番ルールーリマ,"相手(2〜6位):4,6,10,9,2",10点
,2－4－7
,2－6－7
,2－7－9
,2－7－10
,4－6－7
,4－7－9
,4－7－10
,6－7－9
,6－7－10
,7－9－10

■三連複7点,軸:7番ルールーリマ×4番アロンズロッド,"相手(3〜9位):6,10,9,2,12,8,1",7点
,1－4－7
,2－4－7
,4－6－7
,4－7－8
,4－7－9
,4－7－10
,4－7－12
