順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,7,9,ノクナレア,+16.9,6.4,2人気,+3.0同コース実績 / +2.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +1.0血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +1.8急坂パワー / +0.5ペース適性,,末脚良し
2,7,8,テラメリタ,+11.4,9.8,4人気,+2.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス / +2.5勝利数ボーナス / +2.5急坂パワー / +0.5ペース適性,,好気配
3,2,2,アンドゥーリル,+8.5,1.8,1人気,+3.0調教評価 / +1.0グレード実績(3-4走前) / +5.0勝利数ボーナス / +0.5ペース適性,-1.0季節×性別,態勢整う
4,3,3,オールセインツ,+4.2,32.2,9人気,+1.0調教評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +0.5血統距離適性 / +0.5ペース適性,,仕上上々
5,6,6,ハワイアンティアレ,+3.0,16.1,7人気,+2.0前走3F最速 / +0.5血統距離適性 / +0.5ペース適性,,前走並み
6,8,11,アイルシャイン,+2.9,38.8,10人気,+2.0調教評価 / +3.8近走上昇傾向 / +0.5血統距離適性 / +0.6急坂パワー,-3.0距離延長 / -1.0ペース適性,動き軽快
7,1,1,ケーブパール,+2.5,8.7,3人気,+2.0調教評価 / +1.0叩き2戦目 / +1.0急坂パワー,-0.5枠番補正 / -1.0ペース適性,伸び上々
8,4,4,ミエスペランサ,+2.5,16.2,8人気,+1.0同コース実績 / +1.0距離短縮 / +1.0血統距離適性 / +0.5枠番補正 / +0.5ペース適性,-1.0調教評価 / -0.5前走ローカル,目立たず
9,5,5,キングメーカー,+2.5,12.5,5人気,+1.0調教評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +0.2前々走好走 / +1.0血統距離適性,-1.0季節×性別 / -1.0ペース適性,乗込十分
10,8,10,エポックヴィーナス,+1.7,15.2,6人気,+1.0調教評価 / +0.6近走上昇傾向 / +0.2前々走好走 / +0.5血統距離適性 / +0.3急坂パワー,-1.0ペース適性,出来は良
11,6,7,ミストレス,+0.0,53.8,11人気,+1.0叩き2戦目 / +0.5血統距離適性,-0.5前走ローカル / -1.0ペース適性,前走並み

■レース情報,芝1600m,202607020307,良

■買いサイン,三連複1軸4頭 (6点),乖離5.6pt/11頭

■評価コメント
,乖離5.6pt・11頭。三連複1軸4頭(6点)推奨（ROI117.5%）。

■三連複BOX,1軸4頭 (6点) ← ROI117.5%,"対象馬:9,8,2,3,6",6点
,2－3－9
,2－6－9
,2－8－9
,3－6－9
,3－8－9
,6－8－9

■三連複10点,軸:9番ノクナレア,"相手(2〜6位):8,2,3,6,11",10点
,2－3－9
,2－6－9
,2－8－9
,2－9－11
,3－6－9
,3－8－9
,3－9－11
,6－8－9
,6－9－11
,8－9－11

■三連複7点,軸:9番ノクナレア×8番テラメリタ,"相手(3〜9位):2,3,6,11,1,4,5",7点
,1－8－9
,2－8－9
,3－8－9
,4－8－9
,5－8－9
,6－8－9
,8－9－11
