順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,3,セイロンジェムズ,+11.4,5.1,2人気,+2.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.2前々走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス / +2.0騎手フォーム,-1.0季節×性別,動き軽快
2,7,10,コンフォルツァ,+9.8,3.0,1人気,+3.0同コース実績 / +1.0調教評価 / +2.5近走上昇傾向 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.2複勝安定ボーナス,-0.5枠番補正 / -1.0季節×性別,出来は良
3,1,1,タイセイプランセス,+9.6,5.2,3人気,+1.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス,,動き上々
4,5,6,エリカアンディーヴ,+8.1,9.2,5人気,+1.0調教評価 / +3.8近走上昇傾向 / +0.4前走好走 / +0.5枠番補正 / +2.5勝利数ボーナス,,仕上上々
5,8,11,スピンザブラッド,+6.4,35.7,10人気,+3.0同コース実績 / +1.0調教評価 / +1.0距離短縮 / +0.4前々走好走 / +2.5勝利数ボーナス,-0.5枠番補正 / -1.0季節×性別,気配上昇
6,2,2,ホウオウトランプ,+3.5,8.0,4人気,+2.0調教評価 / +2.5勝利数ボーナス / +1.0騎手フォーム,-0.5血統距離適性 / -0.5枠番補正 / -1.0季節×性別,前走以上
7,7,9,リカントロポ,+3.2,19.0,8人気,+1.0調教評価 / +2.5近走上昇傾向 / +0.2前々走好走 / +1.0騎手フォーム,-0.5枠番補正 / -1.0季節×性別,仕上良好
8,4,4,クラッシファイド,+3.0,10.0,6人気,+1.0調教評価 / +1.0血統距離適性 / +0.5枠番補正 / +1.5複勝安定ボーナス,-1.0季節×性別,動き上々
9,8,12,ミーントゥビー,+1.8,11.5,7人気,+1.0調教評価 / +1.2近走上昇傾向,-0.5枠番補正,元気一杯
10,6,7,ツルマウカタチ,+1.5,30.0,9人気,+2.0前走3F最速 / +0.5枠番補正,-1.0季節×性別,平行線
11,6,8,キーウェーブ,-0.4,206.5,11人気,+0.6近走上昇傾向 / +0.5枠番補正,-0.5前走ローカル / -1.0季節×性別,前走並み
12,5,5,コスモスプモーニ,-0.5,260.7,12人気,+0.5枠番補正,-1.0季節×性別,伸び平凡

■レース情報,芝1800m,202604020306,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位コンフォルツァ3.0倍（スコア差1.6pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:3,10,1,6,11",10点
,1－3－6
,1－3－10
,1－3－11
,1－6－10
,1－6－11
,1－10－11
,3－6－10
,3－6－11
,3－10－11
,6－10－11

■三連複10点,軸:3番セイロンジェムズ,"相手(2〜6位):10,1,6,11,2",10点
,1－2－3
,1－3－6
,1－3－10
,1－3－11
,2－3－6
,2－3－10
,2－3－11
,3－6－10
,3－6－11
,3－10－11

■三連複7点,軸:3番セイロンジェムズ×10番コンフォルツァ,"相手(3〜9位):1,6,11,2,9,4,12",7点
,1－3－10
,2－3－10
,3－4－10
,3－6－10
,3－9－10
,3－10－11
,3－10－12
