順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,1,1,ブレトワルダ,+10.1,6.4,3人気,+3.0同コース実績 / +2.0調教評価 / +1.0叩き2戦目 / +0.2前走好走 / +0.4前々走好走 / +1.0内枠先行 / +2.5勝利数ボーナス,,好気配
2,3,4,マッドゲイル,+9.6,6.4,4人気,+2.0調教評価 / +1.0距離短縮 / +0.4前走好走 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別,前走以上
3,4,6,ヘリオトロープ,+7.1,5.3,1人気,+1.0調教評価 / +0.4前々走好走 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +2.0騎手フォーム,-1.0季節×性別,動き上々
4,6,11,ニシノケンタマン,+6.4,10.5,7人気,+3.0同コース実績 / +0.4前走好走 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-1.0季節×性別,仕上がる
5,6,10,フィールオーサム,+5.5,5.3,2人気,+2.0調教評価 / +2.5勝利数ボーナス / +1.0騎手フォーム,,好気配
6,2,2,カレンワッツアップ,+5.0,19.6,9人気,+1.0同コース実績 / +2.0調教評価 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別,好気配
7,2,3,シーニックビュー,+4.0,31.6,11人気,+1.0調教評価 / +0.5血統距離適性 / +1.0内枠先行 / +2.5勝利数ボーナス,-1.0季節×性別,動き上々
8,5,8,セザンワールド,+2.5,24.7,10人気,+3.0調教評価,-0.5前走ローカル,態勢整う
9,5,9,フクチャントウメイ,+2.0,70.8,14人気,+1.0調教評価 / +1.0叩き2戦目,,出来は良
10,8,15,ロードソルスティス,+1.9,12.4,8人気,+0.4前走好走 / +2.5勝利数ボーナス / +1.0騎手フォーム,-1.0調教評価 / -1.0季節×性別,目立たず
11,4,7,ルーラーリッチ,+1.5,62.5,13人気,+1.0距離短縮 / +0.5血統距離適性,,平行線
12,7,13,エリカヴェネチア,+1.5,39.8,12人気,+2.5勝利数ボーナス,-1.0調教評価,気配平凡
13,3,5,ナイトスラッガー,-1.2,9.3,5人気,+2.0前走3F最速 / +1.0調教評価 / +0.2前々走好走 / +0.5血統距離適性,-5.0初馬場種別 / -1.0季節×性別,気配上々
14,7,12,ユイノマチブセ,-1.8,10.2,6人気,+0.2前走好走,-1.0調教評価 / -1.0季節×性別,反応平凡
15,8,14,スプレーフォール,-2.0,105.9,15人気,,-1.0調教評価 / -1.0季節×性別,目立たず

■レース情報,ダート1800m,202604020406,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位マッドゲイル6.4倍（スコア差0.5pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:1番ブレトワルダ / 相手(予想2〜6位):4,6,11,10,2",10点
,1－2－4
,1－2－6
,1－2－10
,1－2－11
,1－4－6
,1－4－10
,1－4－11
,1－6－10
,1－6－11
,1－10－11

■参考:2軸型(3〜9位相手),軸:1番ブレトワルダ×4番マッドゲイル,"相手(3〜9位):6,11,10,2,3,8,9",7点
,1－2－4
,1－3－4
,1－4－6
,1－4－8
,1－4－9
,1－4－10
,1－4－11
